Date,ZRX,ETC,TRX,KAVA,TRU,FUN,HIVE,SUN,HARD,COS
2022-03-10 06:00:00,4670.767751341248,8966.700822714953,985.1532469053391,4732.952806701703,4049.5269380840073,2977.584369031084,1555.182535810844,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-10 07:00:00,4670.767751341248,8966.700822714953,984.0208868514253,4732.952806701703,4049.5269380840073,2981.010818247459,1556.972158982087,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-10 08:00:00,4670.767751341248,8966.700822714953,984.0208868514253,4732.952806701703,4049.5269380840073,2977.584369031084,1555.182535810844,1364.198116103036,2707.3362762910747,4174.752311825484
2022-03-10 09:00:00,4670.767751341248,8966.700822714953,984.0208868514253,4732.952806701703,4049.5269380840073,2998.2620382604655,1565.982414531752,1373.6717141315291,2707.3362762910747,4174.752311825484
2022-03-10 10:00:00,4670.767751341248,8966.700822714953,984.0208868514253,4732.952806701703,4049.5269380840073,2970.755047083764,1551.615603389259,1361.0692213413315,2707.3362762910747,4174.752311825484
2022-03-10 11:00:00,4670.767751341248,8966.700822714953,984.0208868514253,4732.952806701703,4049.5269380840073,2957.1899555445693,1544.530600634057,1354.8542933900017,2707.3362762910747,4174.752311825484
2022-03-10 12:00:00,4670.767751341248,8966.700822714953,984.0208868514253,4732.952806701703,4101.023812441144,2994.795839372303,1564.1720302374958,1372.0836543464059,2707.3362762910747,4174.752311825484
2022-03-10 13:00:00,4670.767751341248,8966.700822714953,984.0208868514253,4732.952806701703,4068.102749726593,2970.755047083764,1551.615603389259,1361.0692213413315,2707.3362762910747,4174.752311825484
2022-03-10 14:00:00,4670.767751341248,8966.700822714953,984.0208868514253,4732.952806701703,4077.4547100707937,2977.584369031084,1555.182535810844,1364.198116103036,2707.3362762910747,4174.752311825484
2022-03-10 15:00:00,4670.767751341248,8966.700822714953,984.0208868514253,4732.952806701703,4096.288219124237,2991.337645562405,1562.3658269693233,1370.4992621358444,2707.3362762910747,4174.752311825484
2022-03-10 16:00:00,4670.767751341248,8966.700822714953,988.5871090641931,4732.952806701703,4115.296517124815,3005.218562711187,1569.615784403056,1376.8588874821828,2707.3362762910747,4174.752311825484
2022-03-10 17:00:00,4670.767751341248,8966.700822714953,987.4415851834693,4732.952806701703,4110.527923246336,3001.7362700545095,1567.7969943863657,1375.2634542406038,2707.3362762910747,4174.752311825484
2022-03-10 18:00:00,4649.218649835638,8966.700822714953,982.885914663592,4732.952806701703,4091.5635498980273,2987.887429131537,1560.563790260016,1368.9185248092745,2707.3362762910747,4174.752311825484
2022-03-10 19:00:00,4643.862407151496,8966.700822714953,981.7535576190487,4732.952806701703,4086.84976700644,2984.4451625081138,1558.7659057090252,1368.9185248092745,2707.3362762910747,4174.752311825484
2022-03-10 20:00:00,4654.587262595264,8966.700822714953,984.0208868514253,4732.952806701703,4096.288219124237,2991.337645562405,1562.3658269693233,1368.9185248092745,2707.3362762910747,4174.752311825484
