time_entered,time_exited,log_return,trade_type,reference_coin,trading_coin,strategy_type
2024-04-12 00:00:00,2024-04-12 16:00:00,0.06243814802667734,short,1000LUNC,IOTA,both
2024-04-12 18:00:00,2024-04-13 01:00:00,0.020170106949132436,short,1000LUNC,IOTA,both
2024-04-14 08:00:00,2024-04-16 04:00:00,-0.08382329693047831,long,1000LUNC,IOTA,both
2024-04-20 17:00:00,2024-04-21 05:00:00,-0.004527688327485017,long,1000LUNC,IOTA,both
2024-04-23 06:00:00,2024-04-23 17:00:00,0.024326080993281,long,1000LUNC,IOTA,both
2024-04-23 20:00:00,2024-04-24 17:00:00,0.02269141120207067,short,1000LUNC,IOTA,both
2024-04-25 20:00:00,2024-04-26 18:00:00,-0.03613838627766771,long,1000LUNC,IOTA,both
2024-04-27 04:00:00,2024-04-27 15:00:00,0.0182296714916612,short,1000LUNC,IOTA,both
2024-05-05 20:00:00,2024-05-06 09:00:00,0.04426071505673622,long,1000LUNC,IOTA,both
2024-05-06 16:00:00,2024-05-07 22:00:00,0.02769270307846239,short,1000LUNC,IOTA,both
2024-05-08 01:00:00,2024-05-08 16:00:00,0.011866866779899482,long,1000LUNC,IOTA,both
2024-05-08 19:00:00,2024-05-09 10:00:00,0.02563069366189319,short,1000LUNC,IOTA,both
2024-05-10 16:00:00,2024-05-12 10:00:00,-0.020212203948589674,long,1000LUNC,IOTA,both
2024-05-13 00:00:00,2024-05-13 14:00:00,0.0028901754222332024,long,1000LUNC,IOTA,both
2024-05-15 12:00:00,2024-05-15 22:00:00,-0.02786484887625168,short,1000LUNC,IOTA,both
2024-05-16 04:00:00,2024-05-16 09:00:00,0.005089069507471228,long,1000LUNC,IOTA,both
2024-05-17 10:00:00,2024-05-18 04:00:00,-0.016922425321409543,short,1000LUNC,IOTA,both
2024-05-19 17:00:00,2024-05-20 04:00:00,0.014444160607908306,long,1000LUNC,IOTA,both
2024-05-20 09:00:00,2024-05-21 14:00:00,-0.0823969088678451,short,1000LUNC,IOTA,both
2024-05-22 02:00:00,2024-05-22 23:00:00,0.002587323564950954,long,1000LUNC,IOTA,both
2024-05-23 04:00:00,2024-05-23 16:00:00,0.04078618367314582,short,1000LUNC,IOTA,both
2024-05-24 11:00:00,2024-05-24 17:00:00,-0.0035180335316790613,short,1000LUNC,IOTA,both
2024-05-29 03:00:00,2024-05-29 19:00:00,-0.0197765179764566,long,1000LUNC,IOTA,both
2024-05-30 15:00:00,2024-05-31 12:00:00,-0.004526942995777069,long,1000LUNC,IOTA,both
2024-05-31 20:00:00,2024-06-01 16:00:00,0.0054869822162591985,short,1000LUNC,IOTA,both
2024-06-01 18:00:00,2024-06-02 03:00:00,0.002743485945750834,long,1000LUNC,IOTA,both
2024-06-03 16:00:00,2024-06-04 03:00:00,0.004165708407702327,long,1000LUNC,IOTA,both
2024-06-04 11:00:00,2024-06-05 07:00:00,-0.055594772031030026,short,1000LUNC,IOTA,both
2024-06-05 17:00:00,2024-06-06 04:00:00,0.011545990997060728,short,1000LUNC,IOTA,both
