Date,AXS,OG,TRB,DIA,COTI,KNC,BAL,PSG,BEL,AAVE
2022-01-11 17:00:00,282181.67838422826,50700.12918125257,123002.1326750218,44205.223011518065,42317.1042481093,12827.70821177186,33346.92474278269,15637.889414959283,37240.33919666438,12182.408899657477
2022-01-11 18:00:00,282181.67838422826,50800.393115032224,123245.38013581614,44292.64270105962,42400.79001788142,12853.07612517681,33412.87119909669,15668.814707144433,37313.98522012515,12182.408899657477
2022-01-11 19:00:00,282181.67838422826,50867.235737552,123407.54510967908,44350.922494087325,42456.58053106285,12869.988067446782,33456.83550330603,15689.431568601203,37363.082569099,12182.408899657477
2022-01-11 20:00:00,282181.67838422826,50967.49967133167,123650.79257047345,44438.3421836289,42540.266300834985,12895.355980851737,33522.78195962004,15720.356860786358,37436.728592559775,12182.408899657477
2022-01-11 21:00:00,282181.67838422826,50800.393115032224,123245.38013581614,44292.64270105962,42400.79001788142,12853.07612517681,33412.87119909669,15668.814707144433,37313.98522012515,12182.408899657477
2022-01-11 22:00:00,282181.67838422826,51401.97671771022,124704.86490058243,44817.160838309,42902.90463651422,13005.283605606533,33808.54993698072,15854.36646025535,37755.86136088977,12182.408899657477
2022-01-11 23:00:00,282181.67838422826,51401.97671771022,124704.86490058243,44817.160838309,42902.90463651422,13005.283605606533,33808.54993698072,15854.36646025535,37755.86136088977,12182.408899657477
2022-01-12 00:00:00,282181.67838422826,51234.870161410785,124299.4524659251,44671.46135573974,42902.90463651422,12963.003749931613,33698.639176457385,15802.824306613433,37633.11798845516,12182.408899657477
2022-01-12 01:00:00,282181.67838422826,50934.078360071784,123569.710083542,44409.20228711504,42902.90463651422,12886.900009716752,33500.799807515374,15710.048430057974,37633.11798845516,12182.408899657477
2022-01-12 02:00:00,282181.67838422826,51201.44885015092,124218.36997899371,44642.321459225896,42678.86858097107,12954.547778796634,33676.65702435274,15792.515875885056,37633.11798845516,12182.408899657477
2022-01-12 03:00:00,282181.67838422826,51168.02753889102,124137.28749206218,44613.181562712045,42706.74504640606,12946.091807661649,33654.67487224806,15782.20744515667,37633.11798845516,12182.408899657477
2022-01-12 04:00:00,282181.67838422826,51134.60622763114,124137.28749206218,44584.041666198194,42734.65795166514,12937.635836526666,33632.6927201434,15771.899014428289,37633.11798845516,12182.408899657477
2022-01-12 05:00:00,282181.67838422826,51234.87016141081,124137.28749206218,44671.46135573975,42651.02848404937,12963.003749931619,33698.6391764574,15802.82430661344,37633.11798845516,12182.408899657477
2022-01-12 06:00:00,282181.67838422826,50833.81442629213,124137.28749206218,44321.78259757349,42987.52575019572,12861.5320963118,33434.85335120137,15679.123137872823,37633.11798845516,12182.408899657477
2022-01-12 07:00:00,282181.67838422826,51234.870161410785,123165.56704202652,44321.78259757349,42651.028484049384,12963.003749931613,33698.639176457385,15802.824306613433,37338.53389461208,12182.408899657477
2022-01-12 08:00:00,282181.67838422826,51569.08327400968,122367.34560947941,44321.78259757349,42374.61222686177,13047.563461281461,33918.46069750407,15905.908613897278,37096.54728479606,12182.408899657477
2022-01-12 09:00:00,282181.67838422826,51301.71278393058,123005.09073317703,44321.78259757349,42595.457111431715,12979.915692201588,33742.60348066674,15823.441168070207,37289.88433904905,12182.408899657477
2022-01-12 10:00:00,282181.67838422826,51836.453764088794,121736.17941678067,44321.78259757349,42156.04556160394,12979.915692201588,34094.31791434142,15988.376059724353,36905.204681134965,12182.408899657477
2022-01-12 11:00:00,282181.67838422826,52404.61605550692,120416.33563483847,44321.78259757349,41698.99659824471,12979.915692201588,34468.01450012079,16163.61938210689,36505.08447732164,12182.408899657477
2022-01-12 12:00:00,282181.67838422826,53006.19965818495,119049.69374238762,44321.78259757349,41698.99659824471,12979.915692201588,34863.693238004846,16349.171135217815,36090.77708728897,12182.408899657477
2022-01-12 13:00:00,282181.67838422826,53273.57014826405,118452.20468972824,44321.78259757349,41698.99659824471,12979.915692201588,35039.55045484219,16431.638581044885,36090.77708728897,12182.408899657477
2022-01-12 14:00:00,282181.67838422826,53708.04719464264,118452.20468972824,44321.78259757349,41698.99659824471,13085.77447764615,35325.3184322029,16565.648180513894,36090.77708728897,12281.763551913155
2022-01-12 15:00:00,282181.67838422826,53674.62588338276,118452.20468972824,44294.20214791726,41673.048249397005,13077.631494150417,35303.336280098236,16555.33974978551,36090.77708728897,12274.12088635503
2022-01-12 16:00:00,282181.67838422826,53741.46850590255,118452.20468972824,44349.363047229745,41724.9449470924,13093.91746114189,35347.30058430758,16575.956611242284,36090.77708728897,12289.406217471289
2022-01-12 17:00:00,282181.67838422826,53674.62588338276,118452.20468972824,44294.20214791726,41673.048249397005,13077.631494150417,35303.336280098236,16555.33974978551,36090.77708728897,12274.12088635503
2022-01-12 18:00:00,282181.67838422826,53407.25539330364,118452.20468972824,44073.55855066737,41465.46145861545,13012.487626184535,35127.479063260886,16555.33974978551,36090.77708728897,12212.979561889997
2022-01-12 19:00:00,282181.67838422826,53106.46359196463,118452.20468972824,43825.334503761216,41231.9263189862,12939.20077472292,34929.63969431887,16555.33974978551,36090.77708728897,12144.195571866836
2022-01-12 20:00:00,281120.17990754766,53306.99145952397,118452.20468972824,43825.334503761216,41387.61641207237,12988.05867569733,35061.53260694688,16555.33974978551,36090.77708728897,12190.05156521561
2022-01-12 21:00:00,279542.8222896124,53607.783260862976,118452.20468972824,43825.334503761216,41621.151551701616,13061.345527158945,35259.3719758889,16555.33974978551,36090.77708728897,12258.835555238767
2022-01-12 22:00:00,279542.8222896124,54409.894731100314,118452.20468972824,43825.334503761216,42243.911924046275,13256.777131056582,35786.94362640094,16555.33974978551,36090.77708728897,12442.25952863386
2022-01-12 23:00:00,279542.8222896124,54309.63079732066,118233.92667125826,43825.334503761216,42166.066877503195,13232.34818056938,35720.997170086936,16555.33974978551,36024.27074130502,12419.331531959477
2022-01-13 00:00:00,280230.9276983253,54443.316042360224,118524.9640292183,43825.334503761216,42269.86027289398,13264.920114552322,35808.925778505625,16596.091355323446,36112.94586928363,12449.902194191995
