Date,PSG,CELR,TRU,ASR,COTI,OG,EOS,DCR,BTC,MDT
2022-11-26 03:00:00,246.70499021713385,320.8549025370066,217.51634801983772,117.3512250337457,148.4208245674654,97.73728023800413,111.67946168472727,61.53181147737352,89.2323154020385,79.15495498940282
2022-11-26 04:00:00,246.70499021713385,320.8549025370066,217.51634801983772,117.61414786802591,148.4208245674654,97.95625846109151,111.67946168472727,61.394258992699825,89.2323154020385,79.15495498940282
2022-11-26 05:00:00,246.70499021713385,320.8549025370066,217.51634801983772,118.9466344375277,148.4208245674654,99.06603480317334,111.67946168472727,60.70649656933128,89.2323154020385,79.15495498940282
2022-11-26 06:00:00,246.70499021713385,320.8549025370066,217.51634801983772,118.6330274917414,148.4208245674654,98.8048437509616,111.67946168472727,60.86697446811726,89.2323154020385,79.15495498940282
2022-11-26 07:00:00,246.70499021713385,320.8549025370066,217.51634801983772,118.6777272006682,148.4208245674654,98.84207240346761,111.67946168472727,60.84404905400498,89.2323154020385,79.15495498940282
2022-11-26 08:00:00,246.70499021713385,320.8549025370066,215.08509226700798,117.3512250337457,148.4208245674654,97.73728023800413,111.67946168472727,61.53181147737352,89.2323154020385,79.15495498940282
2022-11-26 09:00:00,246.70499021713385,320.8549025370066,214.76502516542013,117.17659523458832,148.4208245674654,97.73728023800413,111.67946168472727,61.62351313382268,89.2323154020385,79.15495498940282
2022-11-26 10:00:00,246.70499021713385,320.8549025370066,214.28670662384906,117.17659523458832,148.4208245674654,97.73728023800413,111.67946168472727,61.76106561849639,89.2323154020385,79.15495498940282
2022-11-26 11:00:00,246.70499021713385,320.8549025370066,216.456088355699,117.17659523458832,148.4208245674654,97.73728023800413,111.67946168472727,61.14207943746471,89.2323154020385,79.15495498940282
2022-11-26 12:00:00,246.70499021713385,320.8549025370066,216.781219543616,117.17659523458832,148.4208245674654,97.73728023800413,111.67946168472727,61.14207943746471,89.2323154020385,79.15495498940282
2022-11-26 13:00:00,246.70499021713385,320.8549025370066,218.17399381883945,116.4285658996323,148.4208245674654,97.73728023800413,111.67946168472727,61.14207943746471,89.2323154020385,79.15495498940282
2022-11-26 14:00:00,246.70499021713385,320.8549025370066,217.92691115313303,116.56057107638921,148.4208245674654,97.73728023800413,111.67946168472727,61.14207943746471,89.2323154020385,79.15495498940282
2022-11-26 15:00:00,246.70499021713385,320.8549025370066,218.17399381883945,116.4285658996323,148.4208245674654,97.73728023800413,111.67946168472727,61.211401522994684,89.2323154020385,79.15495498940282
2022-11-26 16:00:00,246.70499021713385,320.8549025370066,218.5043102364305,116.25255899728964,148.4208245674654,97.73728023800413,111.67946168472727,61.30407586292355,89.2323154020385,79.15495498940282
2022-11-26 17:00:00,246.70499021713385,320.8549025370066,218.33902709706857,116.34056244846097,148.4208245674654,97.73728023800413,111.67946168472727,61.257703642149764,89.2323154020385,79.15495498940282
2022-11-26 18:00:00,246.70499021713385,320.8549025370066,218.42163739865654,116.29656072287533,148.4208245674654,97.73728023800413,111.67946168472727,61.280880979887996,89.2323154020385,79.15495498940282
2022-11-26 19:00:00,246.70499021713385,320.8549025370066,218.83562837173963,116.07655209494709,148.4208245674654,97.73728023800413,111.67946168472727,61.39703124709777,89.2323154020385,79.15495498940282
