coin,earliest_date,latest_date,data_span_days
DCR,2020-07-30 05:00:00,2025-08-29 07:00:00,1856
STORJ,2020-07-30 05:00:00,2025-08-29 07:00:00,1856
MANA,2020-08-06 10:00:00,2025-08-29 07:00:00,1848
YFI,2020-08-10 12:00:00,2025-08-29 07:00:00,1844
JST,2020-08-11 06:00:00,2025-08-29 07:00:00,1844
SOL,2020-08-11 06:00:00,2025-08-29 07:00:00,1844
SAND,2020-08-14 13:00:00,2025-08-29 07:00:00,1840
CRV,2020-08-15 04:00:00,2025-08-29 07:00:00,1840
DOT,2020-08-18 23:00:00,2025-08-29 07:00:00,1836
NMR,2020-08-19 12:00:00,2025-08-29 07:00:00,1835
LUNA,2020-08-21 10:00:00,2025-08-29 07:00:00,1833
RSR,2020-08-27 07:00:00,2025-08-29 07:00:00,1828
PAXG,2020-08-28 12:00:00,2025-08-29 07:00:00,1826
TRB,2020-08-29 07:00:00,2025-08-29 07:00:00,1826
SUSHI,2020-09-01 11:00:00,2025-08-29 07:00:00,1822
EGLD,2020-09-03 03:00:00,2025-08-29 07:00:00,1821
RUNE,2020-09-04 06:00:00,2025-08-29 07:00:00,1820
FIO,2020-09-04 06:00:00,2025-08-29 07:00:00,1820
KSM,2020-09-04 11:00:00,2025-08-29 07:00:00,1819
DIA,2020-09-04 13:00:00,2025-08-29 07:00:00,1819
UMA,2020-09-09 09:00:00,2025-08-29 07:00:00,1814
BEL,2020-09-15 08:00:00,2025-08-29 07:00:00,1808
UNI,2020-09-17 03:00:00,2025-08-29 07:00:00,1807
OXT,2020-09-21 08:00:00,2025-08-29 07:00:00,1802
SUN,2020-09-21 14:00:00,2025-08-29 07:00:00,1802
AVAX,2020-09-22 06:00:00,2025-08-29 07:00:00,1802
FLM,2020-09-28 07:00:00,2025-08-29 07:00:00,1796
UTK,2020-10-02 06:00:00,2025-08-29 07:00:00,1792
XVS,2020-10-06 05:00:00,2025-08-29 07:00:00,1788
NEAR,2020-10-14 05:00:00,2025-08-29 07:00:00,1780
