Date,KNC,1INCH,CELO,TRU,UNI,STORJ,FIO,RUNE,BNT,DOT
2022-04-25 10:00:00,6168.403778168089,3066.326135297026,3939.7325453987446,3776.242494804645,2513.608355216987,5507.067469000271,2406.5299673775617,2424.9456535427703,2020.6930725871573,3006.110228692492
2022-04-25 11:00:00,6182.502986803903,3073.3348807491343,3948.7376483596563,3784.8739062213417,2519.3537457431976,5519.655051786558,2412.030607302996,2430.4883864651542,2025.311799610214,3006.110228692492
2022-04-25 12:00:00,6182.502986803903,3073.3348807491343,3948.7376483596563,3784.8739062213417,2519.3537457431976,5519.655051786558,2412.030607302996,2430.4883864651542,2025.311799610214,3006.110228692492
2022-04-25 13:00:00,6126.489369709417,3045.490397118338,3912.9619958263866,3750.582862903368,2496.528343743259,5469.646851996872,2390.1775553682014,2408.4681066330804,2006.9624288323182,2978.8748019319714
2022-04-25 14:00:00,6126.489369709417,3045.490397118338,3912.9619958263866,3750.582862903368,2496.528343743259,5469.646851996872,2390.1775553682014,2408.4681066330804,2006.9624288323182,2978.8748019319714
2022-04-25 15:00:00,6034.2332553858505,2999.629693982702,3854.0384186443944,3694.104481811126,2458.934219213941,5387.281840840199,2354.18492068056,2372.2000425621973,1976.7404625308839,2934.0172338047196
2022-04-25 16:00:00,6040.9716509809205,3002.979364216071,3858.342202473142,3698.2296682788096,2461.6800977390258,5393.297789294515,2356.813826231292,2374.849065501965,1978.9478778994269,2937.293634959163
2022-04-25 17:00:00,5984.170479483866,2974.7433856808543,3822.0635423835174,3698.2296682788096,2438.5337693863917,5342.58647158544,2334.6535192368606,2352.5191793772233,1960.3405140032492,2937.293634959163
2022-04-25 18:00:00,5947.98253265906,2956.754283293559,3798.9504588396917,3698.2296682788096,2423.787276003626,5342.58647158544,2334.6535192368606,2338.2928401946233,1948.485788519997,2937.293634959163
2022-04-25 19:00:00,5947.98253265906,2969.8155943186002,3815.732128453561,3681.9647769394855,2434.4942324961876,5342.58647158544,2334.6535192368606,2348.6221293837766,1957.0931249684563,2937.293634959163
2022-04-25 20:00:00,5947.98253265906,2951.8858624099807,3792.6953263608116,3704.329002531056,2419.7964078214027,5342.58647158544,2334.6535192368606,2334.442742214061,1945.2775243237509,2937.293634959163
2022-04-25 21:00:00,5947.98253265906,2961.6387892681632,3805.2262580558354,3692.1303340265636,2427.7913298736757,5342.58647158544,2334.6535192368606,2342.1556587632263,1951.7046527080804,2937.293634959163
2022-04-25 22:00:00,5947.98253265906,2961.6387892681632,3805.2262580558354,3692.1303340265636,2427.7913298736757,5342.58647158544,2334.6535192368606,2342.1556587632263,1951.7046527080804,2937.293634959163
2022-04-25 23:00:00,5947.98253265906,2955.1296930280137,3796.8631234227464,3692.1303340265636,2422.4555247530748,5342.58647158544,2334.6535192368606,2337.008063908802,1947.4151919328976,2937.293634959163
2022-04-26 00:00:00,6010.731931948633,2986.305408834528,3836.9188698664066,3692.1303340265636,2448.0116907554666,5342.58647158544,2334.6535192368606,2361.6627852937368,1967.9598274946552,2937.293634959163
2022-04-26 01:00:00,6014.071227466383,2987.964467394991,3839.050491460777,3692.1303340265636,2449.3716972503307,5342.58647158544,2334.6535192368606,2362.974820174455,1969.05313850993,2937.293634959163
2022-04-26 02:00:00,6007.396342641226,2984.6481916265175,3834.7896141117635,3692.1303340265636,2446.653193701773,5342.58647158544,2334.6535192368606,2360.3522066115534,1966.8677299211286,2937.293634959163
2022-04-26 03:00:00,5957.803087198398,2960.0088284595404,3803.1320223607036,3692.1303340265636,2426.45517614232,5342.58647158544,2334.6535192368606,2340.866635285646,1950.6305169608554,2937.293634959163
2022-04-26 04:00:00,5934.938711315509,2948.649145455583,3788.5366692047137,3692.1303340265636,2417.1431222865103,5342.58647158544,2334.6535192368606,2331.883046224791,1943.1445445821676,2937.293634959163
2022-04-26 05:00:00,5984.150475090929,2973.09897253233,3788.5366692047137,3692.1303340265636,2417.1431222865103,5342.58647158544,2334.6535192368606,2351.2187265417465,1959.2568542387364,2937.293634959163
2022-04-26 06:00:00,5941.453462919588,2951.8858624099807,3788.5366692047137,3692.1303340265636,2417.1431222865103,5342.58647158544,2334.6535192368606,2334.442742214061,1945.2775243237509,2937.293634959163
2022-04-26 07:00:00,5967.656124277557,2951.8858624099807,3788.5366692047137,3692.1303340265636,2417.1431222865103,5342.58647158544,2334.6535192368606,2334.442742214061,1953.8564770219812,2937.293634959163
2022-04-26 08:00:00,6004.064453377421,2951.8858624099807,3788.5366692047137,3692.1303340265636,2417.1431222865103,5342.58647158544,2334.6535192368606,2334.442742214061,1965.7768437703132,2937.293634959163
2022-04-26 09:00:00,6010.731931948633,2951.8858624099807,3788.5366692047137,3692.1303340265636,2417.1431222865103,5342.58647158544,2334.6535192368606,2334.442742214061,1967.9598274946552,2937.293634959163
2022-04-26 10:00:00,6010.731931948633,2951.8858624099807,3788.5366692047137,3692.1303340265636,2417.1431222865103,5342.58647158544,2334.6535192368606,2334.442742214061,1967.9598274946552,2937.293634959163
2022-04-26 11:00:00,6061.214003045627,2951.8858624099807,3788.5366692047137,3692.1303340265636,2417.1431222865103,5342.58647158544,2334.6535192368606,2334.442742214061,1984.4880455307245,2937.293634959163
2022-04-26 12:00:00,6147.261902009932,2951.8858624099807,3788.5366692047137,3692.1303340265636,2417.1431222865103,5342.58647158544,2334.6535192368606,2334.442742214061,2012.660788936896,2937.293634959163
2022-04-26 13:00:00,6228.612318434689,2951.8858624099807,3788.5366692047137,3692.1303340265636,2417.1431222865103,5342.58647158544,2334.6535192368606,2334.442742214061,2039.2955404590757,2937.293634959163
2022-04-26 14:00:00,6293.795470604355,2951.8858624099807,3788.5366692047137,3730.768907289633,2417.1431222865103,5342.58647158544,2359.085939787014,2334.442742214061,2060.6370054173685,2937.293634959163
2022-04-26 15:00:00,6257.415149965023,2951.8858624099807,3788.5366692047137,3709.203769097207,2417.1431222865103,5311.704468859513,2345.44960487495,2334.442742214061,2048.7258088542626,2937.293634959163
2022-04-26 16:00:00,6297.456782687312,2951.8858624099807,3788.5366692047137,3732.9392207900914,2417.1431222865103,5345.694433465363,2360.4582992633295,2334.442742214061,2061.835747130817,2937.293634959163
2022-04-26 17:00:00,6293.795470604355,2951.8858624099807,3788.5366692047137,3730.768907289633,2417.1431222865103,5342.58647158544,2359.085939787014,2334.442742214061,2060.6370054173685,2937.293634959163
2022-04-26 18:00:00,6352.892141689841,2951.8858624099807,3788.5366692047137,3765.7996012547933,2417.1431222865103,5392.751602774037,2381.2369814751546,2334.442742214061,2060.6370054173685,2937.293634959163
2022-04-26 19:00:00,6386.624312353681,2951.8858624099807,3788.5366692047137,3785.7949973676505,2417.1431222865103,5421.3856820808005,2393.8807176599785,2334.442742214061,2060.6370054173685,2937.293634959163
2022-04-26 20:00:00,6360.357349846939,2951.8858624099807,3788.5366692047137,3770.2247476722487,2417.1431222865103,5399.0885611791755,2384.035144790637,2334.442742214061,2060.6370054173685,2937.293634959163
2022-04-26 21:00:00,6379.097353824096,2951.8858624099807,3788.5366692047137,3781.3332472234342,2417.1431222865103,5414.9963059086385,2391.059408623255,2334.442742214061,2060.6370054173685,2937.293634959163
2022-04-26 22:00:00,6459.02637794719,2951.8858624099807,3788.5366692047137,3828.712721084826,2417.1431222865103,5482.845304968352,2421.0189835523056,2363.6929197716363,2060.6370054173685,2937.293634959163
2022-04-26 23:00:00,6466.743255340197,2951.8858624099807,3788.5366692047137,3833.2870493059545,2417.1431222865103,5489.39589673056,2423.9114793510535,2366.516925649499,2060.6370054173685,2937.293634959163
2022-04-27 00:00:00,6405.519650555911,2951.8858624099807,3788.5366692047137,3796.9955742829393,2417.1431222865103,5437.4252846905065,2400.963204990333,2344.112031678853,2060.6370054173685,2937.293634959163
2022-04-27 01:00:00,6375.340523815954,2951.8858624099807,3770.687262047094,3779.106313626718,2417.1431222865103,5411.807262147796,2389.6512464273637,2333.0679231668205,2060.6370054173685,2937.293634959163
2022-04-27 02:00:00,6409.312142948188,2951.8858624099807,3790.7797341361556,3799.2436474471097,2417.1431222865103,5440.6446010224745,2402.384734418984,2345.4999014430205,2060.6370054173685,2937.293634959163
2022-04-27 03:00:00,6386.624312353681,2951.8858624099807,3777.3610448117793,3785.7949973676505,2417.1431222865103,5421.3856820808005,2393.8807176599785,2337.197246924638,2060.6370054173685,2937.293634959163
2022-04-27 04:00:00,6360.357349846939,2951.8858624099807,3761.825482347806,3770.2247476722487,2417.1431222865103,5399.0885611791755,2384.035144790637,2327.5848023133144,2060.6370054173685,2937.293634959163
2022-04-27 05:00:00,6297.456782687312,2951.8858624099807,3724.6230197533255,3732.9392207900914,2417.1431222865103,5345.694433465363,2360.4582992633295,2304.5662207895643,2060.6370054173685,2937.293634959163
2022-04-27 06:00:00,6217.879499965245,2951.8858624099807,3677.5571343802217,3732.9392207900914,2417.1431222865103,5278.144015581252,2330.6305665902723,2275.444763662988,2060.6370054173685,2937.293634959163
2022-04-27 07:00:00,6297.456782687312,2951.8858624099807,3677.5571343802217,3732.9392207900914,2417.1431222865103,5278.144015581252,2330.6305665902723,2304.5662207895643,2060.6370054173685,2937.293634959163
2022-04-27 08:00:00,6290.138413387268,2951.8858624099807,3677.5571343802217,3732.9392207900914,2417.1431222865103,5278.144015581252,2330.6305665902723,2301.888049702069,2060.6370054173685,2937.293634959163
2022-04-27 09:00:00,6293.795470604355,2951.8858624099807,3677.5571343802217,3732.9392207900914,2417.1431222865103,5278.144015581252,2330.6305665902723,2303.2263567077102,2060.6370054173685,2937.293634959163
2022-04-27 10:00:00,6367.840123199699,2951.8858624099807,3677.5571343802217,3732.9392207900914,2417.1431222865103,5278.144015581252,2330.6305665902723,2303.2263567077102,2060.6370054173685,2937.293634959163
2022-04-27 11:00:00,6360.357349846939,2951.8858624099807,3677.5571343802217,3732.9392207900914,2417.1431222865103,5278.144015581252,2330.6305665902723,2303.2263567077102,2060.6370054173685,2937.293634959163
2022-04-27 12:00:00,6261.034244904275,2951.8858624099807,3677.5571343802217,3732.9392207900914,2417.1431222865103,5278.144015581252,2330.6305665902723,2303.2263567077102,2060.6370054173685,2937.293634959163
2022-04-27 13:00:00,6261.034244904275,2951.8858624099807,3677.5571343802217,3732.9392207900914,2417.1431222865103,5278.144015581252,2330.6305665902723,2303.2263567077102,2060.6370054173685,2937.293634959163
2022-04-27 14:00:00,6261.034244904275,2951.8858624099807,3677.5571343802217,3732.9392207900914,2417.1431222865103,5278.144015581252,2323.831760970114,2303.2263567077102,2060.6370054173685,2937.293634959163
2022-04-27 15:00:00,6261.034244904275,2951.8858624099807,3677.5571343802217,3732.9392207900914,2417.1431222865103,5278.144015581252,2347.1111598719954,2303.2263567077102,2060.6370054173685,2937.293634959163
2022-04-27 16:00:00,6261.034244904275,2951.8858624099807,3677.5571343802217,3732.9392207900914,2417.1431222865103,5278.144015581252,2362.424459254315,2303.2263567077102,2060.6370054173685,2937.293634959163
2022-04-27 17:00:00,6317.2374248405795,2951.8858624099807,3710.569316915054,3766.4485495224985,2438.840995915654,5278.144015581252,2383.631142012433,2303.2263567077102,2079.1346446042394,2937.293634959163
2022-04-27 18:00:00,6362.931728094398,2951.8858624099807,3737.4088779777303,3793.6923003327875,2456.481798779419,5316.322272475147,2400.8725969275315,2303.2263567077102,2094.173593208972,2937.293634959163
2022-04-27 19:00:00,6302.151484721555,2923.6887437242726,3701.7082558597335,3757.4540455236383,2433.0168980149588,5265.539492558966,2377.93888853897,2303.2263567077102,2074.1695469454826,2909.2359047147766
2022-04-27 20:00:00,6264.749992230627,2906.337475215524,3679.7396608694685,3735.154614986406,2418.577628590538,5234.290000021525,2363.826491574347,2303.2263567077102,2061.859935390911,2891.970409731307
2022-04-27 21:00:00,6264.749992230627,2906.337475215524,3679.7396608694685,3735.154614986406,2418.577628590538,5234.290000021525,2363.826491574347,2303.2263567077102,2061.859935390911,2891.970409731307
2022-04-27 22:00:00,6231.466196522199,2890.89648508746,3660.1896862839753,3715.310228011862,2405.7280426062907,5206.480903209132,2351.2677912058884,2303.2263567077102,2050.905543762505,2876.6057499393455
2022-04-27 23:00:00,6231.466196522199,2890.89648508746,3660.1896862839753,3715.310228011862,2405.7280426062907,5206.480903209132,2351.2677912058884,2303.2263567077102,2050.905543762505,2876.6057499393455
2022-04-28 00:00:00,6268.470152558556,2908.0633288231343,3681.924779432931,3737.372640292218,2420.013838583763,5237.398248240065,2365.2301890158997,2303.2263567077102,2063.084317775347,2893.687731827347
2022-04-28 01:00:00,6231.466196522199,2890.89648508746,3660.1896862839753,3715.310228011862,2405.7280426062907,5206.480903209132,2351.2677912058884,2303.2263567077102,2050.905543762505,2876.6057499393455
2022-04-28 02:00:00,6238.83199580887,2890.89648508746,3664.516151634193,3719.7018476667226,2408.5716927748563,5212.635135955243,2354.0470675548313,2303.2263567077102,2053.329781993903,2880.005993142584
2022-04-28 03:00:00,6224.11776940366,2890.89648508746,3655.873424861471,3710.928965950528,2402.8910991598214,5200.341185162895,2354.0470675548313,2303.2263567077102,2048.487023074106,2873.213526177625
2022-04-28 04:00:00,6242.521429277708,2890.89648508746,3666.6832220964247,3721.9015530763418,2409.996040316414,5215.717711434813,2354.0470675548313,2303.2263567077102,2054.544051527903,2881.7091309268194
2022-04-28 05:00:00,6238.83199580887,2890.89648508746,3664.516151634193,3719.7018476667226,2409.996040316414,5212.635135955243,2354.0470675548313,2303.2263567077102,2053.329781993903,2880.005993142584
2022-04-28 06:00:00,6155.162528809682,2890.89648508746,3615.3710370641716,3669.816633383145,2409.996040316414,5142.728075822897,2354.0470675548313,2303.2263567077102,2053.329781993903,2880.005993142584
2022-04-28 07:00:00,6155.162528809682,2890.89648508746,3615.3710370641716,3644.317038941572,2409.996040316414,5106.994006969467,2354.0470675548313,2303.2263567077102,2053.329781993903,2880.005993142584
2022-04-28 08:00:00,6155.162528809682,2890.89648508746,3615.3710370641716,3644.317038941572,2409.996040316414,5106.994006969467,2354.0470675548313,2303.2263567077102,2053.329781993903,2880.005993142584
2022-04-28 09:00:00,6108.8295161434835,2890.89648508746,3615.3710370641716,3644.317038941572,2409.996040316414,5145.72850060459,2336.3269680306785,2303.2263567077102,2053.329781993903,2880.005993142584
2022-04-28 10:00:00,6144.470295117482,2890.89648508746,3615.3710370641716,3644.317038941572,2409.996040316414,5115.880887492035,2349.9578138184884,2303.2263567077102,2053.329781993903,2880.005993142584
2022-04-28 11:00:00,6091.009126656483,2890.89648508746,3615.3710370641716,3644.317038941572,2409.996040316414,5160.783294345389,2329.5115451367733,2303.2263567077102,2053.329781993903,2880.005993142584
2022-04-28 12:00:00,5984.086789734485,2890.89648508746,3615.3710370641716,3644.317038941572,2409.996040316414,5252.99502682327,2288.6190077733427,2303.2263567077102,2053.329781993903,2880.005993142584
2022-04-28 13:00:00,5980.522711837086,2890.89648508746,3615.3710370641716,3644.317038941572,2409.996040316414,5256.125536374416,2287.255923194561,2303.2263567077102,2053.329781993903,2880.005993142584
2022-04-28 14:00:00,5980.522711837086,2890.89648508746,3615.3710370641716,3644.317038941572,2409.996040316414,5259.2597793895475,2287.255923194561,2303.2263567077102,2053.329781993903,2880.005993142584
2022-04-28 15:00:00,5966.291842802374,2890.89648508746,3615.3710370641716,3644.317038941572,2409.996040316414,5246.745181461195,2287.255923194561,2303.2263567077102,2053.329781993903,2880.005993142584
2022-04-28 16:00:00,5899.609757500465,2890.89648508746,3615.3710370641716,3603.5864367416366,2409.996040316414,5188.105088256629,2287.255923194561,2303.2263567077102,2030.3808020775004,2880.005993142584
2022-04-28 17:00:00,5920.505659829274,2890.89648508746,3615.3710370641716,3616.350025065397,2409.996040316414,5206.480903209132,2287.255923194561,2303.2263567077102,2037.5722334898176,2880.005993142584
