trading_coin,reference_coin,trade_type,time_entered,time_exited,log_return
1000LUNC,IOTA,short,2024-07-25 00:00:00,2024-07-25 20:00:00,0.0537842511348979
1000LUNC,IOTA,short,2024-07-28 15:00:00,2024-07-28 18:00:00,0.009386393396264
1000LUNC,IOTA,short,2024-07-29 16:00:00,2024-07-30 18:00:00,0.0258386994646094
1000LUNC,IOTA,short,2024-08-01 04:00:00,2024-08-02 22:00:00,0.0457030959999166
1000LUNC,IOTA,short,2024-08-05 01:00:00,2024-08-05 17:00:00,-0.0715329952404538
1000LUNC,IOTA,long,2024-08-08 03:00:00,2024-08-08 22:00:00,0.0657513775627804
1000LUNC,IOTA,short,2024-08-10 16:00:00,2024-08-11 14:00:00,-0.0639534569727774
1000LUNC,IOTA,long,2024-08-11 15:00:00,2024-08-12 05:00:00,0.0050562615622847
1000LUNC,IOTA,long,2024-08-12 12:00:00,2024-08-13 00:00:00,0.0071920062700549
1000LUNC,IOTA,long,2024-08-14 15:00:00,2024-08-14 16:00:00,0.0060454232610311
1000LUNC,IOTA,short,2024-08-14 19:00:00,2024-08-15 05:00:00,0.050694582565709
1000LUNC,IOTA,long,2024-08-15 13:00:00,2024-08-15 18:00:00,-0.0346136051888949
1000LUNC,IOTA,short,2024-08-15 23:00:00,2024-08-17 06:00:00,-0.0075629516831253
1000LUNC,IOTA,short,2024-08-20 16:00:00,2024-08-21 09:00:00,-0.0100289169520762
1000LUNC,IOTA,short,2024-08-21 18:00:00,2024-08-21 19:00:00,0.0054593062246267
1000LUNC,IOTA,short,2024-08-23 19:00:00,2024-08-24 10:00:00,0.0017595957470839
1000LUNC,IOTA,short,2024-08-25 05:00:00,2024-08-25 18:00:00,0.0287742232361304
1000LUNC,IOTA,short,2024-08-25 20:00:00,2024-08-26 07:00:00,0.0481185032113133
1000LUNC,IOTA,long,2024-08-26 17:00:00,2024-08-27 06:00:00,-0.0012869261793698
1000LUNC,IOTA,short,2024-08-27 18:00:00,2024-08-29 06:00:00,0.0323943682195143
1000LUNC,IOTA,long,2024-08-29 15:00:00,2024-08-29 20:00:00,-0.0296992250797208
1000LUNC,IOTA,long,2024-09-01 18:00:00,2024-09-03 10:00:00,0.0190506636219098
1000LUNC,IOTA,short,2024-09-03 16:00:00,2024-09-04 14:00:00,-0.0084078267237461
1000LUNC,IOTA,short,2024-09-10 04:00:00,2024-09-10 10:00:00,0.008130619391645
1000LUNC,IOTA,short,2024-09-10 13:00:00,2024-09-11 02:00:00,0.0166441009244794
1000LUNC,IOTA,short,2024-09-11 09:00:00,2024-09-11 11:00:00,0.018391046627296
1000LUNC,IOTA,long,2024-09-12 20:00:00,2024-09-13 04:00:00,0.0276482639563842
1000LUNC,IOTA,long,2024-09-13 04:00:00,2024-09-13 04:00:00,0.0
1000LUNC,IOTA,short,2024-09-14 07:00:00,2024-09-15 04:00:00,-0.0181981260860092
1000LUNC,IOTA,long,2024-09-15 15:00:00,2024-09-16 00:00:00,-0.0400600305577707
1000LUNC,IOTA,long,2024-09-19 06:00:00,2024-09-19 20:00:00,0.038102073009489
1000LUNC,IOTA,long,2024-09-19 23:00:00,2024-09-22 05:00:00,-0.0193702129528143
1000LUNC,IOTA,short,2024-09-22 21:00:00,2024-09-23 03:00:00,-0.0308046001791014
1000LUNC,IOTA,short,2024-09-24 02:00:00,2024-09-24 08:00:00,-0.011190232167884
1000LUNC,IOTA,short,2024-09-24 14:00:00,2024-09-24 17:00:00,-0.0021969136430418
1000LUNC,IOTA,short,2024-09-25 12:00:00,2024-09-25 14:00:00,0.0006752194719739
1000LUNC,IOTA,short,2024-09-26 17:00:00,2024-09-27 02:00:00,0.0080276939082173
1000LUNC,IOTA,short,2024-09-27 13:00:00,2024-09-29 00:00:00,0.0477027657419446
1000LUNC,IOTA,short,2024-09-29 07:00:00,2024-09-30 05:00:00,-0.0696915935894799
1000LUNC,IOTA,long,2024-09-30 07:00:00,2024-09-30 14:00:00,-0.0209306334125707
1000LUNC,IOTA,short,2024-10-01 02:00:00,2024-10-03 01:00:00,0.0844007881248349
1000LUNC,IOTA,long,2024-10-03 19:00:00,2024-10-04 04:00:00,0.019267035300193
1000LUNC,IOTA,short,2024-10-04 07:00:00,2024-10-04 11:00:00,0.025145500183723
1000LUNC,IOTA,long,2024-10-05 05:00:00,2024-10-05 11:00:00,0.0011380449617945
1000LUNC,IOTA,short,2024-10-05 15:00:00,2024-10-06 11:00:00,0.0111285368388572
1000LUNC,IOTA,long,2024-10-06 14:00:00,2024-10-07 11:00:00,0.0
1000LUNC,IOTA,long,2024-10-07 16:00:00,2024-10-07 19:00:00,0.01246676876513
1000LUNC,IOTA,short,2024-10-08 00:00:00,2024-10-08 10:00:00,0.0338439861228922
1000LUNC,IOTA,short,2024-10-10 23:00:00,2024-10-11 07:00:00,-0.0022396425935049
1000LUNC,IOTA,long,2024-10-13 05:00:00,2024-10-14 02:00:00,-0.0254154819085898
1000LUNC,IOTA,short,2024-10-14 17:00:00,2024-10-14 20:00:00,0.0159044746812117
1000LUNC,IOTA,long,2024-10-15 09:00:00,2024-10-15 14:00:00,-0.0159254994499124
1000LUNC,IOTA,short,2024-10-15 15:00:00,2024-10-18 10:00:00,-0.008252528156078
1000LUNC,IOTA,long,2024-10-19 06:00:00,2024-10-19 09:00:00,0.0070229631351377
1000LUNC,IOTA,long,2024-10-20 02:00:00,2024-10-20 14:00:00,0.0394053389752297
1000LUNC,IOTA,short,2024-10-21 01:00:00,2024-10-21 04:00:00,0.0115484602544632
1000LUNC,IOTA,short,2024-10-21 06:00:00,2024-10-21 10:00:00,0.0191886206258663
1000LUNC,IOTA,short,2024-10-21 16:00:00,2024-10-22 19:00:00,0.0113528048079808
1000LUNC,IOTA,short,2024-10-25 04:00:00,2024-10-26 13:00:00,0.0626960316603889
1000LUNC,IOTA,short,2024-10-27 11:00:00,2024-10-27 21:00:00,-0.0039582239694995
1000LUNC,IOTA,long,2024-10-29 03:00:00,2024-10-30 05:00:00,0.0305658943249881
1000LUNC,IOTA,long,2024-10-30 08:00:00,2024-10-30 21:00:00,0.0018276627137733
1000LUNC,IOTA,short,2024-10-30 23:00:00,2024-10-31 19:00:00,0.0331426934290025
1000LUNC,IOTA,long,2024-11-01 05:00:00,2024-11-01 17:00:00,0.0012222902794037
1000LUNC,IOTA,short,2024-11-04 09:00:00,2024-11-05 03:00:00,0.00501134565058
1000LUNC,IOTA,long,2024-11-06 05:00:00,2024-11-07 11:00:00,0.0184191355183668
1000LUNC,IOTA,long,2024-11-07 17:00:00,2024-11-09 02:00:00,-0.0077469722501736
1000LUNC,IOTA,short,2024-11-09 12:00:00,2024-11-09 13:00:00,0.017944327805215
1000LUNC,IOTA,long,2024-11-10 03:00:00,2024-11-10 13:00:00,0.1116827175554781
1000LUNC,IOTA,long,2024-11-10 13:00:00,2024-11-10 13:00:00,0.0
1000LUNC,IOTA,long,2024-11-11 04:00:00,2024-11-12 15:00:00,-0.0304254331982616
