Date,1INCH,KMD,FUN,AXS,BNT,CKB,NMR,TWT,BTC,HARD
2022-11-05 02:00:00,728.9738359823706,404.6055748989329,449.71478714949427,479.67185520413085,251.99444476712273,227.0487815213647,242.78090516430527,172.45785424942747,156.60938919146525,175.89826678405532
2022-11-05 03:00:00,737.2108284793464,404.6055748989329,454.7963101681326,485.0918761668894,254.8418396232484,227.0487815213647,242.78090516430527,172.45785424942747,158.3789868094479,175.89826678405532
2022-11-05 04:00:00,737.2108284793464,404.6055748989329,454.7963101681326,485.0918761668894,254.8418396232484,227.0487815213647,242.78090516430527,172.45785424942747,158.3789868094479,175.89826678405532
2022-11-05 05:00:00,731.0157795005285,404.6055748989329,450.9744924356273,481.0154738461593,252.70031155918755,227.0487815213647,240.74072949065564,172.45785424942747,157.04807095390635,175.89826678405532
2022-11-05 06:00:00,731.0157795005285,404.6055748989329,450.9744924356273,481.0154738461593,252.70031155918755,227.0487815213647,240.74072949065564,172.45785424942747,157.04807095390635,175.89826678405532
2022-11-05 07:00:00,737.2108284793464,404.6055748989329,454.7963101681326,485.0918761668894,254.8418396232484,227.0487815213647,242.78090516430527,172.45785424942747,158.3789868094479,175.89826678405532
2022-11-05 08:00:00,737.2108284793464,404.6055748989329,445.97754515102196,475.6856625016034,249.9003081070081,227.0487815213647,242.78090516430527,172.45785424942747,155.30792612339212,175.89826678405532
2022-11-05 09:00:00,753.5479105509108,404.6055748989329,455.8607040463354,465.37269420888583,255.43826507336837,232.08033346643649,248.16109142833415,176.2796349530159,155.30792612339212,179.79628931666593
2022-11-05 10:00:00,753.5479105509108,404.6055748989329,455.8607040463354,465.37269420888583,255.43826507336837,232.08033346643649,248.16109142833415,176.2796349530159,155.30792612339212,179.79628931666593
2022-11-05 11:00:00,731.0844227025099,404.6055748989329,442.2713605652794,479.67185520413085,247.82357424462302,225.16194954196277,240.7633353152944,171.0246864855818,150.67815054789807,174.4365083343263
2022-11-05 12:00:00,741.2950989972375,404.6055748989329,448.44833487485033,473.06480485696653,251.28479734859815,225.16194954196277,240.7633353152944,173.41329942532454,150.67815054789807,176.87277241720795
2022-11-05 13:00:00,776.011398399312,404.6055748989329,469.4500475273915,451.9013793765233,263.05295590211375,225.16194954196277,252.0387532226222,181.53458342044996,150.67815054789807,185.15607029900556
2022-11-05 14:00:00,767.8428573635298,400.3465688473652,464.5084680797347,447.1445227515073,260.2839774189336,222.79182375731054,249.38571371501567,179.6236930686557,149.09206475265705,183.20705903270024
2022-11-05 15:00:00,773.9692631403664,403.540823386041,468.2146526654773,450.71216522026936,262.36071128131874,224.56941809579973,251.37549334572063,181.05686083250143,150.2816290990878,184.66881748242926
2022-11-05 16:00:00,763.7585868456388,398.2170658215814,462.03767835590645,444.76609443899935,258.8994881773436,221.60676086498447,248.05919396121246,178.66824789275867,148.29902185503656,182.2325533995476
2022-11-05 17:00:00,759.6743163277476,396.08756279579757,459.5668886320781,442.38766612649135,257.5149989357535,220.42169797265834,246.7326742074092,177.71280271686155,147.50597895741603,181.25804776639495
2022-11-05 18:00:00,755.5900458098565,393.9580597700137,457.0960989082497,440.0092378139833,256.13050969416344,219.23663508033223,245.40615445360592,176.75735754096448,146.7129360597955,180.2835421332423
2022-11-05 19:00:00,759.6743163277476,396.08756279579757,459.5668886320781,442.38766612649135,257.5149989357535,220.42169797265834,246.7326742074092,177.71280271686155,147.50597895741603,181.25804776639495
2022-11-05 20:00:00,765.8007221045842,399.2818173344733,463.27307321782064,445.9553085952533,259.59173279813865,222.19929231114753,248.7224538381141,179.1459704807072,148.6955433038468,182.71980621612394
2022-11-05 21:00:00,757.6321810688021,395.0228112829056,458.33149377016383,441.19845197023733,256.8227543149585,219.82916652649527,246.06941433050753,177.235080128913,147.10945750860577,180.77079494981862
2022-11-05 22:00:00,751.5057752919654,391.82855674422984,454.6253091844213,437.6308095014753,254.7460204525734,218.0515721880061,244.07963469980263,175.80191236506735,145.91989316217501,179.30903650008963
2022-11-05 23:00:00,747.4215047740743,389.69905371844595,452.15451946059295,435.25238118896726,253.36153121098332,216.86650929567998,242.75311494599936,174.84646718917023,145.1268502645545,179.30903650008963
2022-11-06 00:00:00,753.5985420036122,386.5047991797701,448.44833487485033,431.6847387202052,251.28479734859815,215.08891495719075,240.7633353152944,173.41329942532454,143.93728591812368,179.30903650008963
2022-11-06 01:00:00,749.4692349241403,388.6343022055539,450.91912459867865,434.0631670327132,252.66928659018822,216.2739778495169,242.0898550690977,174.36874460122166,144.7303288157442,179.30903650008963
2022-11-06 02:00:00,733.3948277407808,397.1523143086894,460.80228349399215,443.57688028274526,258.2072435565485,221.01422941882137,247.3959340843108,178.19052530481008,147.90250040622627,179.30903650008963
2022-11-06 03:00:00,735.366319213202,396.08756279579757,459.5668886320781,442.38766612649135,257.5149989357535,220.42169797265834,246.7326742074092,177.71280271686155,147.50597895741603,179.30903650008963
2022-11-06 04:00:00,714.246137721439,407.79982943760876,473.15623211313414,455.46902184528545,265.1296897644989,226.93954388045202,254.02853285332722,182.96775118429565,151.86771489432888,179.30903650008963
2022-11-06 05:00:00,704.921775610193,402.476071873149,466.9792578035631,449.5229510640153,261.6684666605237,223.97688664963667,250.71223346881894,180.5791382445528,149.88510765027755,176.96818745961846
2022-11-06 06:00:00,708.6515204546914,404.6055748989329,469.4500475273915,451.9013793765233,263.05295590211375,225.16194954196277,252.0387532226222,181.53458342044996,150.67815054789807,177.90452707580693
2022-11-06 07:00:00,716.1110101436883,408.8645809505007,474.39162697504827,456.6582360015394,265.82193438529396,227.53207532661506,254.6917927302288,183.44547377224418,152.26423634313912,179.77720630818385
2022-11-06 08:00:00,716.1110101436883,408.8645809505007,474.39162697504827,456.6582360015394,265.82193438529396,227.53207532661506,254.6917927302288,183.44547377224418,152.26423634313912,179.77720630818385
2022-11-06 09:00:00,704.921775610193,402.476071873149,466.9792578035631,449.5229510640153,261.6684666605237,223.97688664963667,250.71223346881894,180.5791382445528,149.88510765027755,176.96818745961846
2022-11-06 10:00:00,708.6515204546914,404.6055748989329,469.4500475273915,451.9013793765233,263.05295590211375,225.16194954196277,252.0387532226222,181.53458342044996,150.67815054789807,176.96818745961846
2022-11-06 11:00:00,710.5163928769407,405.6703264118249,470.6854423893057,453.09059353277735,263.7452005229088,225.75448098812586,252.7020130995239,182.01230600839853,151.07467199670836,176.96818745961846
2022-11-06 12:00:00,708.6515204546914,404.6055748989329,469.4500475273915,451.9013793765233,263.05295590211375,225.16194954196277,252.0387532226222,181.53458342044996,150.67815054789807,177.43389321609115
2022-11-06 13:00:00,717.9758825659374,409.92933246339254,475.6270218369624,457.8474501577934,266.51417900608897,228.1246067727781,255.35505260713043,183.92319636019272,152.66075779194938,175.12955694055748
2022-11-06 14:00:00,706.7866480324421,403.540823386041,468.2146526654773,450.71216522026936,262.36071128131874,224.56941809579973,251.37549334572063,181.05686083250143,150.2816290990878,177.90205652272988
2022-11-06 15:00:00,701.1920307656945,400.3465688473652,464.5084680797347,447.1445227515073,260.2839774189336,224.56941809579973,249.38571371501567,179.6236930686557,149.09206475265705,179.321487824773
2022-11-06 16:00:00,697.4622859211964,398.2170658215814,462.03767835590645,444.76609443899935,258.8994881773436,224.56941809579973,248.05919396121246,178.66824789275867,148.29902185503656,180.28042626233855
2022-11-06 17:00:00,695.597413498947,397.1523143086894,460.80228349399215,443.57688028274526,258.2072435565485,224.56941809579973,248.05919396121246,178.19052530481008,148.29902185503656,180.7637518019159
2022-11-06 18:00:00,691.8676686544488,395.0228112829056,460.80228349399215,441.19845197023733,256.8227543149585,224.56941809579973,248.05919396121246,177.235080128913,148.29902185503656,181.73821946661624
2022-11-06 19:00:00,691.8676686544488,395.0228112829056,460.80228349399215,454.2798076890313,264.4374451437038,224.56941809579973,248.05919396121246,182.49002859634706,148.29902185503656,176.5049199531797
2022-11-06 20:00:00,693.6788405619213,396.05690241191854,462.00857219423835,455.46902184528545,265.1296897644989,225.1572961536422,248.05919396121246,182.96775118429565,148.68723918973564,176.96697471745506
2022-11-06 21:00:00,686.4341529320317,391.92053789586714,457.1834173932541,450.71216522026936,262.36071128131874,222.80578392227252,245.46849741853657,181.05686083250143,147.1343698509394,175.11875566035368
2022-11-06 22:00:00,653.833058597529,373.306897573636,435.47022078882515,429.30631040769725,249.9003081070081,212.22397888110922,233.81036297649527,172.45785424942747,140.14645782635654,166.80176990339757
2022-11-06 23:00:00,650.2107147825841,373.306897573636,433.057643388333,426.92788209518915,248.51581886541803,211.04822276542438,233.81036297649527,172.45785424942747,139.37002315695847,165.8776603748469
2022-11-07 00:00:00,659.2665743199461,373.306897573636,433.057643388333,426.92788209518915,251.97704196939324,211.04822276542438,233.81036297649527,172.45785424942747,139.37002315695847,168.1879341962236
2022-11-07 01:00:00,670.1336057647804,373.306897573636,433.057643388333,426.92788209518915,256.13050969416344,211.04822276542438,233.81036297649527,172.45785424942747,139.37002315695847,170.96026278187566
2022-11-07 02:00:00,668.3224338573078,373.306897573636,433.057643388333,426.92788209518915,255.43826507336837,211.04822276542438,233.81036297649527,172.45785424942747,139.37002315695847,170.49820801760026
2022-11-07 03:00:00,664.7000900423632,373.306897573636,433.057643388333,426.92788209518915,254.0537758317783,211.04822276542438,233.81036297649527,172.45785424942747,139.37002315695847,169.5740984890496
2022-11-07 04:00:00,653.833058597529,373.306897573636,433.057643388333,426.92788209518915,254.0537758317783,211.04822276542438,233.81036297649527,172.45785424942747,139.37002315695847,166.80176990339757
2022-11-07 05:00:00,655.6492615380777,374.3438611780072,434.26058128663396,426.92788209518915,254.0537758317783,211.04822276542438,233.81036297649527,172.9369038445648,139.37002315695847,166.3397151391222
2022-11-07 06:00:00,668.6508049680112,381.76711054980905,442.87198091554734,426.92788209518915,254.0537758317783,211.04822276542438,233.81036297649527,176.36624754686494,139.37002315695847,163.10533178919485
2022-11-07 07:00:00,664.883758179459,379.61630992699327,440.37692750193867,426.92788209518915,254.0537758317783,211.04822276542438,233.81036297649527,175.3726348846291,139.37002315695847,164.02944131774552
2022-11-07 08:00:00,663.016107173337,378.5499719777601,439.13991366064107,426.92788209518915,254.0537758317783,211.04822276542438,233.81036297649527,174.88001512371721,139.37002315695847,164.02944131774552
2022-11-07 09:00:00,657.4755826008578,375.3866017383917,435.47022078882515,426.92788209518915,254.0537758317783,211.04822276542438,233.81036297649527,173.418622239675,139.37002315695847,164.02944131774552
2022-11-07 10:00:00,657.4755826008578,375.3866017383917,435.47022078882515,426.92788209518915,254.0537758317783,211.04822276542438,233.81036297649527,173.418622239675,139.37002315695847,164.02944131774552
2022-11-07 11:00:00,655.6492615380777,374.3438611780072,434.26058128663396,426.92788209518915,254.0537758317783,211.04822276542438,233.81036297649527,173.418622239675,139.37002315695847,164.02944131774552
2022-11-07 12:00:00,668.6508049680112,381.76711054980905,442.87198091554734,426.92788209518915,259.09166940351327,211.04822276542438,233.81036297649527,173.418622239675,139.37002315695847,164.02944131774552
2022-11-07 13:00:00,668.6508049680112,381.76711054980905,442.87198091554734,426.92788209518915,259.09166940351327,211.04822276542438,233.81036297649527,173.418622239675,139.37002315695847,164.02944131774552
2022-11-07 14:00:00,655.6492615380777,374.3438611780072,434.26058128663396,426.92788209518915,254.0537758317783,211.04822276542438,233.81036297649527,173.418622239675,139.37002315695847,164.02944131774552
2022-11-07 15:00:00,646.6677648046793,369.21586307967834,428.31180620051566,426.92788209518915,250.57358712175392,211.04822276542438,233.81036297649527,173.418622239675,139.37002315695847,164.02944131774552
2022-11-07 16:00:00,646.6677648046793,369.21586307967834,428.31180620051566,426.92788209518915,248.53086766152222,212.7828656922635,233.81036297649527,173.418622239675,140.51553019660471,164.02944131774552
2022-11-07 17:00:00,646.6677648046793,367.2092551281583,428.31180620051566,426.92788209518915,249.888959834536,211.62643707437076,232.53965448205778,173.418622239675,139.75185883684054,164.02944131774552
2022-11-07 18:00:00,646.6677648046793,364.19934320087833,428.31180620051566,426.92788209518915,251.95415784969748,209.8917941475316,230.63359174040156,173.418622239675,138.60635179719426,164.02944131774552
2022-11-07 19:00:00,648.4541398455762,364.19934320087833,428.31180620051566,426.92788209518915,252.65016381060823,209.3135798385853,230.63359174040156,173.418622239675,138.60635179719426,164.02944131774552
2022-11-07 20:00:00,655.699437497482,364.19934320087833,428.31180620051566,426.92788209518915,255.4730706688273,209.3135798385853,230.63359174040156,173.418622239675,138.60635179719426,164.02944131774552
2022-11-07 21:00:00,659.3831422025241,364.19934320087833,428.31180620051566,426.92788209518915,256.9083126388769,209.3135798385853,230.63359174040156,173.418622239675,138.60635179719426,164.02944131774552
2022-11-07 22:00:00,659.3831422025241,364.19934320087833,428.31180620051566,426.92788209518915,251.26197609736312,209.3135798385853,230.63359174040156,173.418622239675,141.72110127578293,164.02944131774552
2022-11-07 23:00:00,659.3831422025241,364.19934320087833,428.31180620051566,426.92788209518915,258.3597720323169,209.3135798385853,230.63359174040156,173.418622239675,137.82766442754712,164.02944131774552
2022-11-08 00:00:00,659.3831422025241,364.19934320087833,428.31180620051566,424.5294108474634,256.9083126388769,209.3135798385853,230.63359174040156,173.418622239675,138.60635179719426,164.02944131774552
2022-11-08 01:00:00,659.3831422025241,364.19934320087833,428.31180620051566,433.0443273974124,262.0612014310607,209.3135798385853,235.25948039995112,173.418622239675,135.88094600342924,164.02944131774552
2022-11-08 02:00:00,659.3831422025241,378.290389217579,428.31180620051566,449.7990186360029,272.20047410547676,209.3135798385853,244.36178172494925,173.418622239675,130.8194781007227,164.02944131774552
2022-11-08 03:00:00,659.3831422025241,384.0047455501708,428.31180620051566,456.59356574530807,276.3122637445323,212.4754163920382,248.05304730991827,173.418622239675,128.8727596766048,164.02944131774552
2022-11-08 04:00:00,653.4068599469122,380.5243400013777,428.31180620051566,460.7697264076127,276.3122637445323,214.41878910294102,250.32182518165536,173.418622239675,127.70472862213406,162.5427696441708
2022-11-08 05:00:00,663.3673303729322,386.3250159160329,428.31180620051566,453.851262047138,276.3122637445323,211.19928776505898,246.56323921796678,173.418622239675,129.65144704625197,165.02055576679535
2022-11-08 06:00:00,673.327800798952,392.12569183068797,428.31180620051566,447.13748598135203,276.3122637445323,208.0750379460493,242.9158540224348,170.85325800536032,131.59816547036988,167.4983418894199
2022-11-08 07:00:00,673.327800798952,392.12569183068797,428.31180620051566,447.13748598135203,276.3122637445323,208.0750379460493,242.9158540224348,170.85325800536032,131.59816547036988,167.4983418894199
2022-11-08 08:00:00,689.2645534805841,401.40677329413626,428.31180620051566,447.13748598135203,276.3122637445323,203.26405440972442,237.29930248434377,170.85325800536032,134.71291494895854,171.4627996856192
2022-11-08 09:00:00,675.3198948841563,393.2858270136191,419.64653844501396,438.09135187190276,276.3122637445323,203.26405440972442,237.29930248434377,170.85325800536032,131.9875091551935,167.99389911394482
2022-11-08 10:00:00,673.327800798952,392.12569183068797,418.40864305137075,436.7990469991242,276.3122637445323,203.26405440972442,237.29930248434377,170.85325800536032,131.59816547036988,167.4983418894199
2022-11-08 11:00:00,677.3119889693602,394.44596219655006,420.88443383865706,439.38365674468116,276.3122637445323,203.26405440972442,237.29930248434377,170.85325800536032,132.37685284001708,168.4894563384697
2022-11-08 12:00:00,665.3594244581361,387.4851510989639,413.4570614767984,431.6298275080103,276.3122637445323,203.26405440972442,237.29930248434377,170.85325800536032,130.0407907310756,165.51611299132026
2022-11-08 13:00:00,657.3910481173202,382.8446103672398,413.4570614767984,426.46060801689646,276.3122637445323,203.26405440972442,237.29930248434377,172.92420658724348,128.4834159917813,163.53388409322062
2022-11-08 14:00:00,653.4068599469122,380.5243400013777,413.4570614767984,426.46060801689646,276.3122637445323,203.26405440972442,237.29930248434377,173.97862248106813,127.70472862213411,162.5427696441708
2022-11-08 15:00:00,653.4068599469122,396.76623256241214,413.4570614767984,426.46060801689646,276.3122637445323,194.94330364441404,227.58529594989693,166.85669056663843,133.15554020966425,169.48057078751955
2022-11-08 16:00:00,653.4068599469122,396.76623256241214,435.08404623096936,426.46060801689646,290.7655206173232,205.14033798889108,239.48975758419925,175.58457899627797,140.12059923601592,161.05609797059606
2022-11-08 17:00:00,653.4068599469122,396.76623256241214,406.97092324373745,426.46060801689646,290.7655206173232,219.31121659996583,256.03345794363406,187.71377688746824,131.0666528238426,150.64939625557292
2022-11-08 18:00:00,653.4068599469122,396.76623256241214,384.2126808255022,426.46060801689646,274.5056066354334,232.30177646825643,256.03345794363406,198.83271140693498,123.73726763303563,142.22492343864945
2022-11-08 19:00:00,657.9921712447853,394.001311081141,381.53524054100393,423.4887570899494,272.5926755787405,233.93196437329686,256.03345794363406,200.22802867996612,122.87498702235244,141.23380898959962
2022-11-08 20:00:00,642.2183863176842,403.6785362655901,381.53524054100393,433.89023533426393,279.28793427716573,228.32400632325206,262.32199901593384,195.42804169106282,125.89296915974352,144.70270956127402
2022-11-08 21:00:00,644.4253223531401,402.2960755249545,381.53524054100393,432.4043098707905,278.3314687488193,229.10862490168248,261.4236360056054,196.09961571749258,125.46182885440196,144.20715233674912
2022-11-08 22:00:00,620.9528768369662,417.5031436719459,381.53524054100393,448.749489968999,288.8525895606303,220.76360876287947,271.3056291192193,188.95691448274948,130.2043722131594,149.65828180652312
2022-11-08 23:00:00,620.9528768369662,416.1206829313103,381.53524054100393,447.26356450552544,287.8961240322838,221.49704267903525,270.4072661088907,189.58467831824035,129.77323190781775,149.16272458199816
2022-11-09 00:00:00,620.9528768369662,410.59083996876797,381.53524054100393,441.3198626516314,284.070261918898,221.49704267903525,266.8138140675765,192.1380073191594,128.04867068645143,147.18049568389856
2022-11-09 01:00:00,620.9528768369662,395.3837718217766,381.53524054100393,424.9746825534229,273.549141107087,221.49704267903525,256.9318209539626,199.5279306775886,123.30612732769397,141.72936621412455
