total_cumulative_return,growth_factor,profit_factor,max_drawdown,sharpe_ratio,volatility,num_trades,trading_coin,reference_coin,trading_type
5.087250,6.087250,1.502503,0.424512,2.076336,1.150747,312,FLM,HIGH,both
12.877802,13.877802,1.670994,0.312622,2.422973,1.095668,317,FLM,ILV,both
10.331031,11.331031,1.539132,0.477679,2.197492,1.166991,388,FLM,INJ,both
10.324428,11.324428,1.619159,0.471933,2.315946,1.073445,313,FLM,IOTX,both
4.130576,5.130576,1.659091,0.397070,2.294142,1.168867,234,FLM,KDA,both
9.244506,10.244506,1.613385,0.491803,2.222549,1.085446,318,FLM,LRC,both
9.268373,10.268373,1.570966,0.390258,2.190881,1.103178,323,FLM,LTC,both
10.730679,11.730679,1.512539,0.483458,2.201768,1.185318,419,FLM,MDT,both
15.259636,16.259636,1.610770,0.410560,2.476586,1.140710,399,FLM,MLN,both
7.393877,8.393877,1.851233,0.388208,2.993449,1.366657,218,FLM,NEXO,both
10.405044,11.405044,1.520798,0.304540,2.363959,1.038919,452,FLM,OXT,both
8.809931,9.809931,1.676333,0.480009,2.109659,1.526523,278,FLM,PEOPLE,both
11.160766,12.160766,1.552079,0.341564,2.271019,1.184459,424,FLM,RAD,both
2.278591,3.278591,1.530038,0.347282,2.167297,1.120565,203,FLM,REI,both
17.924403,18.924403,1.699627,0.437089,2.657581,1.100323,382,FLM,REQ,both
6.569780,7.569780,1.794880,0.352183,2.681413,1.120779,253,FLM,T,both
4.994507,5.994507,1.531034,0.343848,2.160821,1.102936,309,FLM,TROY,both
7.886349,8.886349,1.506324,0.465251,2.075399,1.127050,382,FLM,TRU,both
13.960356,14.960356,1.609098,0.485252,2.434527,1.131083,388,FLM,UTK,both
11.291575,12.291575,1.613321,0.418299,2.342565,1.095785,359,FLM,WIN,both
8.648951,9.648951,1.579454,0.436017,2.130543,1.125964,326,FLM,XLM,both
0.160153,1.160153,1.854370,0.064311,3.687086,0.737356,23,FLOW,HOOK,both
0.137761,1.137761,1.523980,0.114607,2.328683,0.666896,30,FLOW,PHB,both
3.311913,4.311913,5.585985,0.409711,4.583474,14.857781,20,FTT,APT,both
5.764849,6.764849,7.377180,0.433535,3.708414,15.205224,37,FTT,GMX,both
2.878236,3.878236,7.207627,0.252315,2.318050,11.417671,60,FTT,LUNC,both
2.639778,3.639778,4.936941,0.189670,2.064979,8.017756,69,FTT,STG,both
2.399144,3.399144,1.396846,0.242684,2.080448,0.711473,401,FTT,USDP,both
75.646943,76.646943,2.354717,0.265964,4.129357,1.276909,329,FXS,ACH,both
