Date,ASR,CTK,TRX,CHR,BTC,FUN,OG,TRU,HBAR,MDT
2022-09-28 02:00:00,1409.7237110810115,1157.938554598421,955.3912856325105,753.8166513456491,1182.9079988832711,958.2075316119963,615.2969819031068,637.2764447498262,794.6892037929888,613.863060414763
2022-09-28 03:00:00,1402.5312431673328,1152.0307048300615,950.5168402976507,753.8166513456491,1188.9741937493393,953.3187176752002,612.1577115872747,634.0250343174291,790.6346670389429,610.7311060248918
2022-09-28 04:00:00,1397.7768999701555,1148.1255160001292,947.294749313591,753.8166513456491,1193.0183236600512,950.0871288017249,610.0826007005381,631.8757969129631,787.9545495235567,608.6608310892141
2022-09-28 05:00:00,1421.876501693779,1167.920783517373,963.6274174052045,753.8166513456491,1172.7976741064908,966.467941367272,620.6012662298576,642.770207204566,801.5399727912043,619.154983349373
2022-09-28 06:00:00,1416.9903281484392,1163.9073100344951,960.3159829811316,751.2262161176571,1172.7976741064908,963.1467456924703,618.4686158304423,640.5613748774025,798.7855398950145,617.0273029942205
2022-09-28 07:00:00,1419.4292099524814,1165.9105928400622,961.9688504217188,752.5192044414397,1172.7976741064908,964.804485358034,619.5331057027838,641.6638901525787,800.1603859189302,618.0893121215771
2022-09-28 08:00:00,1424.332246947136,1169.9379178585082,965.2917134628991,755.1185799317383,1172.7976741064908,968.1371433385452,621.6731164306001,643.8803457316897,802.9243250758177,620.2243356522217
2022-09-28 09:00:00,1416.9903281484392,1163.9073100344951,960.3159829811316,751.2262161176571,1172.7976741064908,963.1467456924703,618.4686158304423,640.5613748774025,798.7855398950145,617.0273029942205
2022-09-28 10:00:00,1414.5598130058177,1161.9108995541617,958.6687857547489,749.937663431349,1170.7860142881266,961.4946929554335,617.4077777243867,639.4626418158632,797.4154103240111,615.9689371228753
2022-09-28 11:00:00,1414.5598130058177,1161.9108995541617,958.6687857547489,749.937663431349,1170.7860142881266,961.4946929554335,617.4077777243867,639.4626418158632,797.4154103240111,615.9689371228753
2022-09-28 12:00:00,1414.5598130058177,1161.9108995541617,958.6687857547489,749.937663431349,1170.7860142881266,961.4946929554335,617.4077777243867,639.4626418158632,797.4154103240111,615.9689371228753
2022-09-28 13:00:00,1402.5312431673328,1152.0307048300615,950.5168402976507,743.5606424838035,1160.8303509013226,953.3187176752002,612.1577115872747,634.0250343174291,790.6346670389429,610.7311060248918
2022-09-28 14:00:00,1407.3180392190984,1155.962550239038,953.7609250768237,746.098392116854,1164.792229232044,956.5723651757983,614.2469870534427,636.1889422843827,793.3330788718404,612.8155125300962
2022-09-28 15:00:00,1421.876501693779,1167.920783517373,963.6274174052045,753.8166513456491,1176.841804017203,966.467941367272,620.6012662298576,642.770207204566,801.5399727912043,619.154983349373
2022-09-28 16:00:00,1409.7237110810115,1157.938554598421,955.3912856325105,747.3737739837205,1166.7833270597912,958.2075316119963,615.2969819031068,637.2764447498262,794.6892037929888,613.863060414763
