Date,DOT,SOL,SKL,ARDR,KNC,1INCH,ATM,AXS,AVA,STPT
2022-04-04 19:00:00,14089.362380531116,6712.083686553863,14917.709406397016,6683.823536030374,6065.735592425306,6433.143332663422,16428.22421629289,8934.412620960087,10259.898622488745,8265.572084051231
2022-04-04 20:00:00,14159.066690006748,6745.2903814970205,14917.709406397016,6716.890419516866,6065.735592425306,6464.970025855777,16428.22421629289,8978.613844939884,10259.898622488745,8306.464352911882
2022-04-04 21:00:00,14219.67913302904,6774.165768404116,14917.709406397016,6745.6442312442505,6065.735592425306,6492.645411240435,16428.22421629289,9017.049691878841,10259.898622488745,8342.022847573324
2022-04-04 22:00:00,14219.67913302904,6748.17792018773,14917.709406397016,6719.7658006896045,6065.735592425306,6467.737564394243,16428.22421629289,8982.45742963378,10259.898622488745,8310.020202378028
2022-04-04 23:00:00,14219.67913302904,6681.764530301415,14917.709406397016,6653.632033716622,6065.735592425306,6404.084178009533,16428.22421629289,8894.054981674184,10259.898622488745,8228.23566465672
2022-04-05 00:00:00,14128.096828608503,6725.077610662055,14917.709406397016,6696.762751307697,6065.735592425306,6445.5972560865175,16428.22421629289,8951.708752082615,10259.898622488745,8281.573406648877
2022-04-05 01:00:00,14149.360358559103,6714.971225244573,14917.709406397016,6686.698917203114,6065.735592425306,6435.910871201889,16428.22421629289,8938.256205653983,10259.898622488745,8281.573406648877
2022-04-05 02:00:00,14170.687990451854,6704.864839827089,14917.709406397016,6676.6350830985275,6065.735592425306,6426.224486317257,16428.22421629289,8924.803659225345,10259.898622488745,8281.573406648877
2022-04-05 03:00:00,14115.974909407636,6704.864839827089,14917.709406397016,6702.5135136531735,6065.735592425306,6426.224486317257,16428.22421629289,8959.395921470406,10259.898622488745,8281.573406648877
2022-04-05 04:00:00,14155.447413994063,6704.864839827089,14917.709406397016,6683.823536030374,6065.735592425306,6426.224486317257,16428.22421629289,8934.412620960087,10259.898622488745,8281.573406648877
2022-04-05 05:00:00,14235.058409616784,6704.864839827089,14917.709406397016,6646.443580784776,6065.735592425306,6426.224486317257,16428.22421629289,8884.446019939445,10259.898622488745,8281.573406648877
2022-04-05 06:00:00,14140.239584799825,6704.864839827089,14917.709406397016,6691.011988962221,6065.735592425306,6426.224486317257,16428.22421629289,8944.021582694824,10259.898622488745,8281.573406648877
2022-04-05 07:00:00,14158.49290612272,6704.864839827089,14917.709406397016,6682.385845444004,6065.735592425306,6426.224486317257,16428.22421629289,8932.490828613138,10259.898622488745,8281.573406648877
2022-04-05 08:00:00,14238.138257823108,6704.864839827089,15001.625556238281,6645.005890198405,6065.735592425306,6426.224486317257,16428.22421629289,8932.490828613138,10259.898622488745,8281.573406648877
2022-04-05 09:00:00,14235.058409616784,6704.864839827089,14998.380558281056,6646.443580784776,6065.735592425306,6426.224486317257,16428.22421629289,8932.490828613138,10257.679306325539,8281.573406648877
2022-04-05 10:00:00,14198.203889462437,6704.864839827089,14959.549799554115,6629.23595986365,6065.735592425306,6426.224486317257,16428.22421629289,8932.490828613138,10231.122207797835,8281.573406648877
2022-04-05 11:00:00,14176.79341397208,6694.754100085858,14936.991236737038,6619.239266257652,6065.735592425306,6426.224486317257,16428.22421629289,8932.490828613138,10215.693975256994,8281.573406648877
2022-04-05 12:00:00,14349.907332677365,6776.504259179798,15119.387989736879,6700.067307886616,6065.735592425306,6426.224486317257,16230.037969823175,8932.490828613138,10340.438602953112,8281.573406648877
2022-04-05 13:00:00,14349.907332677365,6831.622012002318,15242.363886773646,6754.563348860851,6065.735592425306,6426.224486317257,16099.09348554855,8932.490828613138,10424.544170838199,8281.573406648877
2022-04-05 14:00:00,14349.907332677365,6831.622012002318,15208.930318256922,6739.74746083966,6065.735592425306,6426.224486317257,16134.483886703858,8932.490828613138,10401.67831391598,8281.573406648877
2022-04-05 15:00:00,14349.907332677365,6831.622012002318,15306.29433133186,6782.893747012807,6065.735592425306,6426.224486317257,16031.85172335347,8932.490828613138,10468.26742453487,8281.573406648877
2022-04-05 16:00:00,14349.907332677365,6810.5738808033675,15259.135854078635,6761.9957469119745,6065.735592425306,6426.224486317257,16081.3982849709,8932.490828613138,10436.014840040265,8281.573406648877
2022-04-05 17:00:00,14349.907332677365,6812.07301659047,15262.494677731303,6763.48418973542,6065.735592425306,6426.224486317257,16077.859244855365,8932.490828613138,10438.31200377349,8281.573406648877
2022-04-05 18:00:00,14349.907332677365,6794.126830816796,15222.286129732891,6745.666009652693,6065.735592425306,6426.224486317257,16120.327726241732,8932.490828613138,10410.812608812945,8281.573406648877
2022-04-05 19:00:00,14349.907332677365,6815.073268965099,15222.286129732891,6766.463042054179,6065.735592425306,6426.224486317257,16070.7811646243,8932.490828613138,10442.909366470596,8281.573406648877
2022-04-05 20:00:00,14349.907332677365,6815.073268965099,15222.286129732891,6750.111747356769,6065.735592425306,6426.224486317257,16109.710605895141,8932.490828613138,10417.673864925957,8281.573406648877
2022-04-05 21:00:00,14349.907332677365,6815.073268965099,15222.286129732891,6773.921665336865,6065.735592425306,6426.224486317257,16053.085964046648,8932.490828613138,10454.420509952153,8281.573406648877
2022-04-05 22:00:00,14349.907332677365,6815.073268965099,15222.286129732891,6921.94383283803,6065.735592425306,6426.224486317257,15709.799072840186,8932.490828613138,10682.868085862348,8281.573406648877
2022-04-05 23:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7157.35119356348,6065.735592425306,6426.224486317257,15193.099215972725,8932.490828613138,11046.180161458879,8281.573406648877
2022-04-06 00:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6110.949554446646,6426.224486317257,15306.348499669703,8932.490828613138,10964.451198414556,8281.573406648877
2022-04-06 01:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6091.168446062308,6426.224486317257,15256.801938052271,8932.490828613138,11000.058323623978,8281.573406648877
2022-04-06 02:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6062.909719798972,6426.224486317257,15186.02113574166,8932.490828613138,11051.32869567536,8281.573406648877
2022-04-06 03:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6122.253044951979,6426.224486317257,15334.660820593943,8932.490828613138,10944.20757746203,8281.573406648877
2022-04-06 04:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6122.253044951979,6426.224486317257,15285.114258976517,8932.490828613138,10979.683128766606,8281.573406648877
2022-04-06 05:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6122.253044951979,6426.224486317257,15260.3409781678,8932.490828613138,10997.50728968993,8281.573406648877
2022-04-06 06:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6162.267770735976,6426.224486317257,15161.24785493295,8932.490828613138,11069.386422302277,8281.573406648877
2022-04-06 07:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6126.5154629456765,6426.224486317257,15249.723857821215,8932.490828613138,11005.163943639582,8281.573406648877
2022-04-06 08:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6142.195237280812,6426.224486317257,15210.794416550374,8932.490828613138,11033.32978900488,8281.573406648877
2022-04-06 09:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6270.583166231099,6426.224486317257,14899.358886383685,9119.203225980822,11263.955209772677,8281.573406648877
2022-04-06 10:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6390.499910392866,6426.224486317257,14619.774717256769,9293.59612233824,11263.955209772677,8281.573406648877
2022-04-06 11:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6385.8623923156565,6426.224486317257,14630.391837603363,9286.851858098515,11263.955209772677,8281.573406648877
2022-04-06 12:00:00,14349.907332677365,6815.073268965099,15222.286129732891,7104.395069125551,6609.703337464428,6426.224486317257,14630.391837603363,9612.379965292754,10882.495671947767,8571.863911639071
