Date,ZRX,FUN,SUN,ATOM,EOS,ETC,ZEC,XRP,DASH,YFI
2021-11-14 23:00:00,31333.258070340948,18045.766780661055,10442.138498315446,28802.87500051696,13025.53550902582,3924.3228421323693,14825.604881962969,15994.048090039,6855.553166745326,17893.984023344983
2021-11-15 00:00:00,31333.258070340948,18045.766780661055,10442.138498315446,27828.595377473495,13025.53550902582,3924.3228421323693,14825.604881962969,15453.036988063152,6623.658754991944,17288.706112417778
2021-11-15 01:00:00,31333.258070340948,18045.766780661055,10442.138498315446,27640.849751718913,13025.53550902582,3924.3228421323693,14825.604881962969,15348.783070113657,6578.972239525647,17172.067852256423
2021-11-15 02:00:00,31333.258070340948,18045.766780661055,10442.138498315446,27925.3311143955,13025.53550902582,3924.3228421323693,14825.604881962969,15348.783070113657,6578.972239525647,17348.803853734848
2021-11-15 03:00:00,31333.258070340948,18045.766780661055,10442.138498315446,27809.706122168922,13025.53550902582,3924.3228421323693,14825.604881962969,15348.783070113657,6578.972239525647,17276.97103275553
2021-11-15 04:00:00,31333.258070340948,18045.766780661055,10442.138498315446,27662.311487735707,13025.53550902582,3924.3228421323693,14825.604881962969,15348.783070113657,6578.972239525647,17185.40110323886
2021-11-15 05:00:00,31333.258070340948,18045.766780661055,10442.138498315446,27662.311487735707,13025.53550902582,3924.3228421323693,14825.604881962969,15348.783070113657,6578.972239525647,17360.636752042483
2021-11-15 06:00:00,31333.258070340948,18045.766780661055,10650.254858647088,27662.311487735707,13025.53550902582,3924.3228421323693,14825.604881962969,15348.783070113657,6710.0940166821065,17706.641790613623
2021-11-15 07:00:00,31333.258070340948,18126.468972958046,10697.883697369287,27786.01967970098,13025.53550902582,3924.3228421323693,14825.604881962969,15348.783070113657,6740.102123527724,17785.82738732938
2021-11-15 08:00:00,31333.258070340948,18070.908914803385,10665.093249254745,27700.851803288107,12985.610495971336,3924.3228421323693,14825.604881962969,15348.783070113657,6719.442806674,17731.31144131458
2021-11-15 09:00:00,31333.258070340948,18031.96840483822,10642.11132997719,27641.15999139446,12957.62815721316,3924.3228421323693,14825.604881962969,15348.783070113657,6704.963262185824,17693.1027207056
2021-11-15 10:00:00,31333.258070340948,17767.66421041114,10486.124218702185,27236.008742205537,12767.701278744416,3924.3228421323693,14825.604881962969,15348.783070113657,6606.685033548306,17433.76546164869
2021-11-15 11:00:00,31333.258070340948,18108.75375022706,10687.428523075176,27758.864058373525,13012.805491774412,3924.3228421323693,14825.604881962969,15348.783070113657,6733.514938206302,17768.445077840894
2021-11-15 12:00:00,31333.258070340948,18141.681059654707,10706.861570253299,27809.338249961595,13036.466792759527,3924.3228421323693,14825.604881962969,15348.783070113657,6745.758548835951,17800.75360095607
2021-11-15 13:00:00,31333.258070340948,18394.46179556835,10856.047764088062,28196.825217954323,13218.113006181065,3924.3228421323693,14825.604881962969,15348.783070113657,6839.751922694931,18048.78395604119
2021-11-15 14:00:00,31333.258070340948,18582.227612607643,10966.863437897702,28484.65097680522,13353.040019317228,3924.3228421323693,14825.604881962969,15348.783070113657,6909.570307292642,18233.02118481883
2021-11-15 15:00:00,31333.258070340948,18677.89159894897,11023.32243172783,28631.29406604032,13421.783394151173,3924.3228421323693,14825.604881962969,15348.783070113657,6945.141771235574,18326.88740613248
2021-11-15 16:00:00,31333.258070340948,18562.946615049037,10955.484174249666,28455.09518309785,13339.184848808081,3924.3228421323693,14825.604881962969,15348.783070113657,6902.400908068645,18214.10252531904
2021-11-15 17:00:00,31333.258070340948,18686.637190030448,11028.48390671747,28644.700161086363,13339.184848808081,3924.3228421323693,14825.604881962969,15348.783070113657,6948.393710546409,18335.46864573339
2021-11-15 18:00:00,31333.258070340948,18686.637190030448,10923.825443671205,28372.866759629036,13339.184848808081,3924.3228421323693,14825.604881962969,15348.783070113657,6882.4546193225315,18161.468122730712
2021-11-15 19:00:00,31333.258070340948,18686.637190030448,11083.574429381883,28372.866759629036,13339.184848808081,3924.3228421323693,14825.604881962969,15348.783070113657,6983.102981959406,18427.05970752703
2021-11-15 20:00:00,31333.258070340948,18686.637190030448,11065.949663393709,28372.866759629036,13339.184848808081,3924.3228421323693,14825.604881962969,15348.783070113657,6983.102981959406,18427.05970752703
2021-11-15 21:00:00,31333.258070340948,18686.637190030448,11027.68951905582,28372.866759629036,13339.184848808081,3924.3228421323693,14825.604881962969,15348.783070113657,6983.102981959406,18427.05970752703
2021-11-15 22:00:00,31333.258070340948,18686.637190030448,10959.797665763617,28372.866759629036,13339.184848808081,3924.3228421323693,14825.604881962969,15348.783070113657,6983.102981959406,18427.05970752703
2021-11-15 23:00:00,31333.258070340948,17760.26477582069,11531.458862881933,26966.308650169292,12677.907340912052,3924.3228421323693,14825.604881962969,15348.783070113657,6636.922237811158,17513.55560218932
2021-11-16 00:00:00,31333.258070340948,17616.459671809793,11625.591433901738,26747.96208444089,12575.25415376574,3924.3228421323693,14825.604881962969,15348.783070113657,6583.182988719553,17371.748105692855
2021-11-16 01:00:00,31333.258070340948,17367.64339882349,11625.591433901738,26370.171747459644,12397.640267168394,3868.895395201196,14825.604881962969,15348.783070113657,6490.201590291286,17126.388158266407
2021-11-16 02:00:00,31068.990046101364,17221.162851017038,11625.591433901738,26147.762920043257,12293.07725328447,3836.2647207981663,14825.604881962969,15348.783070113657,6435.462541216581,16981.94238276536
2021-11-16 03:00:00,31556.49818214149,17491.382674367756,11625.591433901738,26558.051350528265,12485.969753782663,3896.4601201535265,14825.604881962969,15589.623104305057,6536.442339509644,17248.40856222849
