Date,WING,AVA,KMD,HIVE,DOT,OXT,STORJ,SC,OG,DATA
2021-09-23 23:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6055.812278349115,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
2021-09-24 00:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6105.568488428314,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
2021-09-24 01:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6121.793756800433,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
2021-09-24 02:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6144.654549703932,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4561.125424336619,3427.9828447415052
2021-09-24 03:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6144.654549703932,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4561.125424336619,3427.9828447415052
2021-09-24 04:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6177.610594486469,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4585.588419371947,3427.9828447415052
2021-09-24 05:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6209.247953326156,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4609.072564915899,3427.9828447415052
2021-09-24 06:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6113.670357441623,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4538.126118852968,3427.9828447415052
2021-09-24 07:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6149.5755223812175,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4564.778220992522,3427.9828447415052
2021-09-24 08:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6634.881885610607,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4925.017055252873,3427.9828447415052
2021-09-24 09:00:00,6148.923855191236,14194.358966852098,8772.521061973395,6683.002583939668,6298.492439269674,4309.4549386820545,4828.977527533014,5396.12430485015,4960.73664515172,3452.8449193334814
2021-09-24 10:00:00,6140.017534427636,14173.799350735573,8759.814629380737,6673.322684484369,6289.369478030872,4303.212970346769,4828.977527533014,5396.12430485015,4953.551337148895,3447.843695522165
2021-09-24 11:00:00,6228.42801317784,14377.888733099964,8885.947722780571,6769.412255903623,6379.930484326347,4365.175190607417,4828.977527533014,5396.12430485015,5024.877818347922,3497.4894025690587
2021-09-24 12:00:00,6120.514157910539,14128.777175495004,8731.989633445655,6652.125297961317,6269.391694531496,4289.544087102815,4745.310576435129,5396.12430485015,4937.816695304068,3436.8918385626666
2021-09-24 13:00:00,6019.693419154841,13896.039579306784,8588.151122017125,6542.5475452542,6166.11855670621,4218.884173143153,4667.143006587575,5396.12430485015,4856.478050507805,3380.2773180751237
2021-09-24 14:00:00,6095.8701549738835,14071.88822511912,8696.830630032297,6625.340784250801,6244.148242209539,4272.272411169699,4726.203775149511,5396.12430485015,4917.934775909687,3423.0533324539865
2021-09-24 15:00:00,6048.898552752336,13963.45757954885,8629.817380314578,6574.289356974894,6196.034086233607,4239.35250389185,4689.786109073872,5396.12430485015,4880.039730547368,3396.677065337474
2021-09-24 16:00:00,6083.622425041387,14043.615200556596,8679.357089730853,6612.029249954086,6231.602594191321,4263.688626187441,4716.707958150072,5396.12430485015,4908.0537358892025,3416.1757855747733
2021-09-24 17:00:00,6064.475115549127,13999.414981041256,8652.040086014964,6591.218857464962,6211.989538816186,4250.269291455521,4701.862811500673,5396.12430485015,4892.606356462943,3405.4238732310478
2021-09-24 18:00:00,6019.693419154841,13896.039579306784,8588.151122017125,6542.5475452542,6166.11855670621,4218.884173143153,4667.143006587575,5396.12430485015,4856.478050507805,3380.2773180751237
2021-09-24 19:00:00,5948.734361168734,13732.235576407298,8486.915548869578,6465.42517733372,6093.433465664489,4169.152729058952,4612.127568395974,5396.12430485015,4799.230765040132,3340.4312200231584
2021-09-24 20:00:00,5948.734361168734,13674.666114795742,8451.335969989457,6438.320264628292,6067.888048675952,4151.674447634723,4592.792209668765,5396.12430485015,4779.11101616489,3326.427176339437
2021-09-24 21:00:00,5948.734361168734,13674.666114795742,8456.062667959251,6441.92111488815,6071.281722081251,4151.674447634723,4595.360885401243,5396.12430485015,4781.783897046414,3328.287594223296
2021-09-24 22:00:00,5948.734361168734,13674.666114795742,8517.994394541489,6489.101382208461,6115.747447369736,4151.674447634723,4629.017049632352,5396.12430485015,4816.8054129121065,3352.6637850542274
2021-09-24 23:00:00,5948.734361168734,13674.666114795742,8451.335969989457,6438.320264628292,6067.888048675952,4151.674447634723,4592.792209668765,5396.12430485015,4779.11101616489,3326.427176339437
2021-09-25 00:00:00,5948.734361168734,13674.666114795742,8451.335969989457,6487.273981087028,6114.025186753749,4151.674447634723,4627.713468373656,5396.12430485015,4815.448948419596,3351.719638677136
2021-09-25 01:00:00,5948.734361168734,13674.666114795742,8451.335969989457,6512.951627605324,6138.225456082148,4151.674447634723,4646.030683119831,5396.12430485015,4834.509249600786,3364.986269986572
2021-09-25 02:00:00,5948.734361168734,13674.666114795742,8451.335969989457,6449.134912329239,6078.080469810351,4151.674447634723,4600.506866235963,5396.12430485015,4787.138638252516,3332.0146799951053
2021-09-25 03:00:00,5948.734361168734,13674.666114795742,8451.335969989457,6434.723437664815,6064.498167084515,4151.674447634723,4600.506866235963,5396.12430485015,4776.441121742453,3332.0146799951053
2021-09-25 04:00:00,5948.734361168734,13674.666114795742,8451.335969989457,6505.594438531499,6131.291566834952,4151.674447634723,4600.506866235963,5396.12430485015,4829.0480699909585,3332.0146799951053
2021-09-25 05:00:00,5948.734361168734,13674.666114795742,8451.335969989457,6449.134912329239,6078.080469810351,4151.674447634723,4600.506866235963,5396.12430485015,4787.138638252516,3332.0146799951053
2021-09-25 06:00:00,5948.734361168734,13674.666114795742,8451.335969989457,6546.265958181315,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4859.238197169078,3332.0146799951053
2021-09-25 07:00:00,5948.734361168734,13674.666114795742,8451.335969989457,6548.126750096659,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4860.61944736725,3332.0146799951053
2021-09-25 08:00:00,5948.734361168734,13674.666114795742,8451.335969989457,6511.1107707292385,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4833.142797014695,3332.0146799951053
2021-09-25 09:00:00,5948.734361168734,13674.666114795742,8451.335969989457,6518.48044902095,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4827.678531557359,3332.0146799951053
2021-09-25 10:00:00,5948.734361168734,13674.666114795742,8451.335969989457,6568.665499526674,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4790.7947397203325,3332.0146799951053
2021-09-25 11:00:00,5948.734361168734,13674.666114795742,8451.335969989457,6574.289356974894,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4786.696540627331,3332.0146799951053
2021-09-25 12:00:00,5948.734361168734,13674.666114795742,8451.335969989457,6574.289356974894,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4786.696540627331,3332.0146799951053
2021-09-25 13:00:00,5948.734361168734,13674.666114795742,8451.335969989457,6629.153930025911,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4747.080616061635,3359.821421209454
2021-09-25 14:00:00,5948.734361168734,13674.666114795742,8371.833664684538,6566.793017913351,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4792.1608060846675,3328.2153474067422
2021-09-25 15:00:00,5948.734361168734,13674.666114795742,8388.572549475397,6579.922852567848,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4782.598341534327,3334.869876807441
2021-09-25 16:00:00,5948.734361168734,13674.666114795742,8417.424045776255,6602.553713625691,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4782.598341534327,3346.3397646038547
2021-09-25 17:00:00,5948.734361168734,13702.156827835257,8434.345920652891,6615.8270841011035,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4782.598341534327,3353.0670415573964
2021-09-25 18:00:00,5948.734361168734,13631.688592720677,8390.969284489536,6581.802830525727,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4782.598341534327,3335.822696772245
2021-09-25 19:00:00,5948.734361168734,13678.58660393416,8419.837298082959,6604.446647603222,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4782.598341534327,3335.822696772245
2021-09-25 20:00:00,5948.734361168734,13662.918119851765,8410.192581819407,6596.88141662086,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4782.598341534327,3335.822696772245
2021-09-25 21:00:00,5948.734361168734,13612.24253196073,8378.999285510232,6572.4136681426635,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4782.598341534327,3335.822696772245
2021-09-25 22:00:00,5948.734361168734,13647.285490424016,8400.569935844784,6589.333497379874,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4782.598341534327,3335.822696772245
2021-09-25 23:00:00,5948.734361168734,13765.409715672928,8473.281158601665,6646.367543808437,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4782.598341534327,3335.822696772245
2021-09-26 00:00:00,5948.734361168734,13873.483592475242,8539.805901632268,6646.367543808437,6169.623028747535,4151.674447634723,4600.506866235963,5396.12430485015,4782.598341534327,3335.822696772245
2021-09-26 01:00:00,5948.734361168734,14065.716413479468,8658.134580104175,6646.367543808437,6169.623028747535,4209.20059711551,4600.506866235963,5396.12430485015,4782.598341534327,3335.822696772245
2021-09-26 02:00:00,5948.734361168734,13962.8065772673,8594.788555959429,6646.367543808437,6169.623028747535,4178.404572846302,4600.506866235963,5396.12430485015,4782.598341534327,3335.822696772245
2021-09-26 03:00:00,5948.734361168734,13987.367362803381,8609.906917535429,6646.367543808437,6169.623028747535,4185.754448963883,4600.506866235963,5396.12430485015,4782.598341534327,3335.822696772245
2021-09-26 04:00:00,5948.734361168734,13999.680186186142,8617.48606094876,6646.367543808437,6169.623028747535,4189.439091964735,4600.506866235963,5396.12430485015,4782.598341534327,3335.822696772245
2021-09-26 05:00:00,5948.734361168734,14098.968698144909,8678.602983366836,6646.367543808437,6169.623028747535,4219.1514259503,4600.506866235963,5396.12430485015,4782.598341534327,3335.822696772245
2021-09-26 06:00:00,5948.734361168734,14684.798422444554,9039.20975552889,6646.367543808437,6169.623028747535,4394.462427028565,4600.506866235963,5396.12430485015,4782.598341534327,3335.822696772245
2021-09-26 07:00:00,5948.734361168734,14666.741492321662,9028.09483421868,6646.367543808437,6169.623028747535,4389.058845808734,4600.506866235963,5389.489045944711,4776.717495126049,3331.7208551530975
2021-09-26 08:00:00,5948.734361168734,13857.3656911189,8529.884547113963,6646.367543808437,6169.623028747535,4146.851125592743,4600.506866235963,5092.073153197253,4513.117052467335,3147.8617315750876
2021-09-26 09:00:00,5948.734361168734,14049.149020766294,8647.93654172949,6646.367543808437,6169.623028747535,4146.851125592743,4600.506866235963,5162.546486000627,4513.117052467335,3147.8617315750876
2021-09-26 10:00:00,5948.734361168734,13930.192722488275,8574.713137434557,6646.367543808437,6169.623028747535,4146.851125592743,4600.506866235963,5118.834413564419,4513.117052467335,3147.8617315750876
2021-09-26 11:00:00,5948.734361168734,13781.314290734366,8574.713137434557,6646.367543808437,6169.623028747535,4146.851125592743,4600.506866235963,5064.127055591608,4513.117052467335,3147.8617315750876
2021-09-26 12:00:00,5948.734361168734,13801.246767290238,8574.713137434557,6646.367543808437,6169.623028747535,4146.851125592743,4600.506866235963,5071.451508955204,4513.117052467335,3147.8617315750876
2021-09-26 13:00:00,5948.734361168734,13713.972427284376,8574.713137434557,6646.367543808437,6169.623028747535,4146.851125592743,4600.506866235963,5039.381393060688,4513.117052467335,3147.8617315750876
2021-09-26 14:00:00,5948.734361168734,13639.482582767969,8574.713137434557,6646.367543808437,6169.623028747535,4146.851125592743,4600.506866235963,5012.009109907986,4513.117052467335,3147.8617315750876
2021-09-26 15:00:00,5948.734361168734,13761.439306178934,8574.713137434557,6646.367543808437,6169.623028747535,4146.851125592743,4600.506866235963,5056.8237284275,4513.117052467335,3147.8617315750876
2021-09-26 16:00:00,5948.734361168734,13757.471186425126,8574.713137434557,6646.367543808437,6169.623028747535,4146.851125592743,4600.506866235963,5055.3655900975,4513.117052467335,3147.8617315750876
2021-09-26 17:00:00,5948.734361168734,13713.972427284376,8547.601368388345,6646.367543808437,6169.623028747535,4146.851125592743,4600.506866235963,5039.381393060688,4513.117052467335,3147.8617315750876
2021-09-26 18:00:00,5948.734361168734,13655.097331002386,8510.90588455153,6646.367543808437,6169.623028747535,4146.851125592743,4600.506866235963,5017.7469566279715,4513.117052467335,3147.8617315750876
2021-09-26 19:00:00,5948.734361168734,13655.097331002386,8460.058367175832,6646.367543808437,6169.623028747535,4146.851125592743,4600.506866235963,4987.768952050679,4513.117052467335,3147.8617315750876
2021-09-26 20:00:00,5948.734361168734,13655.097331002386,8460.058367175832,6646.367543808437,6169.623028747535,4146.851125592743,4600.506866235963,4987.768952050679,4513.117052467335,3147.8617315750876
2021-09-26 21:00:00,5948.734361168734,13655.097331002386,8460.058367175832,6646.367543808437,6169.623028747535,4146.851125592743,4600.506866235963,4987.768952050679,4513.117052467335,3147.8617315750876
2021-09-26 22:00:00,5948.734361168734,13655.097331002386,8460.058367175832,6646.367543808437,6169.623028747535,4146.851125592743,4600.506866235963,4987.768952050679,4513.117052467335,3147.8617315750876
2021-09-26 23:00:00,5948.734361168734,13655.097331002386,8460.058367175832,6646.367543808437,6169.623028747535,4146.851125592743,4600.506866235963,4987.768952050679,4513.117052467335,3147.8617315750876
2021-09-27 00:00:00,5948.734361168734,13655.097331002386,8460.058367175832,6646.367543808437,6169.623028747535,4146.851125592743,4600.506866235963,4987.768952050679,4513.117052467335,3147.8617315750876
2021-09-27 01:00:00,5902.090686536218,13548.028519669972,8460.058367175832,6594.253768611958,6169.623028747535,4114.335910942339,4600.506866235963,4987.768952050679,4513.117052467335,3147.8617315750876
