Date,NMR,STRAX,TROY,CKB,DENT,KMD,FET,DASH,UTK,DGB
2022-11-01 23:00:00,779.9656071429785,788.9947055284904,338.8755204142481,334.5182625581464,532.9962403514709,251.00388567199838,347.605269911264,211.7377728330271,202.68629490319606,286.5717930282301
2022-11-02 00:00:00,779.9656071429785,781.0250620383036,338.8755204142481,334.5182625581464,527.6124399438803,251.00388567199838,344.0941055687259,209.5990074508753,204.75452240220824,283.6771284521874
2022-11-02 01:00:00,779.9656071429785,778.7480210411073,338.8755204142481,334.5182625581464,526.0742112559972,251.73781516226745,344.0941055687259,208.98793162740333,205.35321983613287,283.6771284521874
2022-11-02 02:00:00,779.9656071429785,782.1635825369017,338.8755204142481,334.5182625581464,528.3815542878217,250.6385233929999,344.0941055687259,209.90454536261123,204.45648088488335,283.6771284521874
2022-11-02 03:00:00,779.9656071429785,783.3021030354997,338.8755204142481,334.5182625581464,529.1506686317632,250.2742232136496,344.0941055687259,210.2100832743472,204.15930576731813,283.6771284521874
2022-11-02 04:00:00,779.9656071429785,783.3021030354997,338.8755204142481,334.5182625581464,529.1506686317632,250.2742232136496,344.0941055687259,210.2100832743472,204.15930576731813,283.6771284521874
2022-11-02 05:00:00,779.9656071429785,785.5791440326961,338.8755204142481,334.5182625581464,530.6888973196463,249.54879068259552,344.0941055687259,210.8211590978192,203.5675396636447,283.6771284521874
2022-11-02 06:00:00,778.836858073307,786.7176645312942,338.8755204142481,334.5182625581464,531.4580116635879,249.18764916207078,344.0941055687259,211.12669700955513,203.27294119814016,283.6771284521874
2022-11-02 07:00:00,778.836858073307,786.7176645312942,338.8755204142481,334.5182625581464,531.4580116635879,249.18764916207078,344.0941055687259,211.12669700955513,203.27294119814016,283.6771284521874
2022-11-02 08:00:00,790.2735226558814,775.332459545313,338.8755204142481,334.5182625581464,523.7668682241726,252.8467923215726,339.11445136367917,211.12669700955513,206.2578595710938,279.57181544998497
2022-11-02 09:00:00,794.942790145724,770.7783775509206,338.8755204142481,334.5182625581464,520.6904108484066,254.34071723927758,337.12258968166054,211.12669700955513,207.4765175301549,277.929690249104
2022-11-02 10:00:00,792.6012797181961,773.0554185481168,338.8755204142481,334.5182625581464,522.2286395362896,253.59155459645206,337.12258968166054,211.12669700955513,206.86539376717948,278.7507528495445
2022-11-02 11:00:00,800.857543048594,765.08577505793,338.8755204142481,334.5182625581464,516.844839128699,256.2331332901651,337.12258968166054,211.12669700955513,209.02024161892095,275.8770337480028
2022-11-02 12:00:00,800.857543048594,765.08577505793,338.8755204142481,334.5182625581464,516.844839128699,256.2331332901651,337.12258968166054,211.12669700955513,209.02024161892095,275.8770337480028
2022-11-02 13:00:00,796.1187410187207,769.6398570523224,338.8755204142481,332.53886455484377,519.9212965044651,254.71696090383273,337.12258968166054,211.12669700955513,207.78343545549538,275.8770337480028
2022-11-02 14:00:00,796.1187410187207,770.7783775509206,338.8755204142481,332.04766977706703,520.6904108484066,254.71696090383273,337.12258968166054,211.12669700955513,207.4765175301549,275.8770337480028
2022-11-02 15:00:00,796.1187410187207,771.9168980495186,338.8755204142481,331.55792395143715,521.4595251923481,254.71696090383273,337.12258968166054,211.12669700955513,207.17050496742607,275.8770337480028
2022-11-02 16:00:00,796.1187410187207,766.2242955565282,338.8755204142481,334.02120719030364,521.4595251923481,254.71696090383273,337.12258968166054,211.12669700955513,208.70966176510382,275.8770337480028
2022-11-02 17:00:00,796.1187410187207,776.4709800439111,338.8755204142481,329.61330269659,521.4595251923481,254.71696090383273,337.12258968166054,211.12669700955513,205.95542869195725,275.8770337480028
2022-11-02 18:00:00,796.1187410187207,776.4709800439111,338.8755204142481,329.61330269659,521.4595251923481,254.71696090383273,337.12258968166054,211.12669700955513,205.95542869195725,275.8770337480028
2022-11-02 19:00:00,794.9514114864351,775.332459545313,338.8755204142481,329.61330269659,521.4595251923481,254.71696090383273,336.6282750340335,211.12669700955513,206.2578595710938,275.8770337480028
2022-11-02 20:00:00,797.2860705510062,777.6095005425093,338.8755204142481,329.61330269659,521.4595251923481,254.71696090383273,337.61690432928765,211.12669700955513,205.6538834083673,276.6872453008604
2022-11-02 21:00:00,794.9514114864351,775.332459545313,338.8755204142481,329.61330269659,521.4595251923481,254.71696090383273,336.6282750340335,211.12669700955513,206.2578595710938,275.8770337480028
2022-11-02 22:00:00,799.620729615577,779.8865415397054,338.8755204142481,329.61330269659,521.4595251923481,254.71696090383273,338.6055336245417,211.12669700955513,205.05343411374434,277.4974568537179
2022-11-02 23:00:00,817.1306725998598,796.9643490186771,338.8755204142481,329.61330269659,521.4595251923481,254.71696090383273,346.0202533389478,211.12669700955513,200.65943195416412,283.5740435001497
