Date,ASR,BNT,SUSHI,KNC,TRU,AAVE,1INCH,SNX,DCR,UNI
2022-11-20 17:00:00,4475.389764835105,3091.1984544458405,2919.5107359923113,2760.842774430432,2915.423872210434,2899.163338378012,2842.5734889661917,2675.859685487182,2726.089388422108,2257.1605834560646
2022-11-20 18:00:00,4475.389764835105,3114.5062656009463,2941.524012041264,2760.842774430432,2915.423872210434,2899.163338378012,2864.006653821734,2675.859685487182,2726.089388422108,2274.179701898712
2022-11-20 19:00:00,4475.389764835105,3114.5062656009463,2941.524012041264,2760.842774430432,2915.423872210434,2899.163338378012,2864.006653821734,2675.859685487182,2726.089388422108,2274.179701898712
2022-11-20 20:00:00,4404.218926666541,3064.9771668963485,2894.7458004372415,2716.937884659322,2869.060723634591,2853.0587764019365,2818.4611785037096,2633.3062573737297,2682.737171768063,2238.0140752080883
2022-11-20 21:00:00,4391.659366989734,3056.2367377131827,2886.4908219188833,2709.1899629350078,2860.8789915329703,2844.9226772296865,2810.42374168288,2625.796828883119,2675.086780593818,2231.6319057920946
2022-11-20 22:00:00,4387.472847097465,3053.3232613187947,2883.7391624127645,2706.607322360236,2858.1517474990974,2842.21064417227,2807.7445960759374,2623.2936860529157,2672.5366502024035,2229.504515986764
2022-11-20 23:00:00,4467.016725050569,3108.6793128121703,2936.0206930290265,2755.6774932808903,2909.9693841426883,2893.7392722631803,2858.6483626078493,2670.8533998267762,2720.9891276392796,2269.9249222880508
2022-11-21 00:00:00,4370.726767528393,3041.6693557412436,2872.7325243882897,2696.2767600611533,2847.242771363606,2831.3625119426065,2797.0280136481683,2613.2811147321045,2662.3361286367467,2220.9949567654417
2022-11-21 01:00:00,4320.488528821168,3006.707639008585,2839.71261031486,2665.2850731638973,2814.515842957127,2798.81811525361,2764.878266364855,2583.243400769665,2631.734563939772,2195.4662791014703
2022-11-21 02:00:00,4307.928969144362,2997.967209825419,2831.457631796502,2657.5371514395833,2806.334110855507,2790.6820160813604,2756.8408295440263,2575.7339722790557,2624.0841727655275,2189.084109685477
2022-11-21 03:00:00,4295.369409467557,2989.226780642255,2831.457631796502,2649.78922971527,2798.152378753887,2782.5459169091114,2748.8033927231986,2568.224543788446,2616.4337815912845,2182.701940269484
2022-11-21 04:00:00,4358.167207851588,3032.928926558079,2831.457631796502,2688.5288383368393,2839.061039261986,2823.2264127703575,2788.99057682734,2605.771686241495,2616.4337815912845,2214.6127873494484
2022-11-21 05:00:00,4320.488528821168,3006.707639008585,2831.457631796502,2665.2850731638973,2814.515842957127,2798.81811525361,2764.878266364855,2583.243400769665,2616.4337815912845,2195.4662791014703
2022-11-21 06:00:00,4299.555929359827,2992.140257036645,2831.457631796502,2652.3718702900424,2814.515842957127,2785.2579499665294,2751.4825383301422,2570.7276866186508,2616.4337815912845,2184.8293300748164
2022-11-21 07:00:00,4295.369409467557,2989.226780642255,2831.457631796502,2649.78922971527,2814.515842957127,2785.2579499665294,2748.8033927231986,2568.224543788446,2616.4337815912845,2182.701940269484
2022-11-21 08:00:00,4299.555929359827,2992.140257036645,2831.457631796502,2652.3718702900424,2814.515842957127,2785.2579499665294,2751.4825383301422,2570.7276866186508,2616.4337815912845,2184.8293300748164
2022-11-21 09:00:00,4295.369409467557,2989.226780642255,2831.457631796502,2649.78922971527,2817.259035786521,2785.2579499665294,2748.8033927231986,2568.224543788446,2616.4337815912845,2184.8293300748164
2022-11-21 10:00:00,4303.742449252096,2995.0537334310334,2831.457631796502,2654.9545108648135,2811.777987078764,2785.2579499665294,2748.8033927231986,2573.230829448854,2616.4337815912845,2184.8293300748164
2022-11-21 11:00:00,4295.369409467557,2989.226780642255,2831.457631796502,2649.78922971527,2817.259035786521,2785.2579499665294,2748.8033927231986,2568.224543788446,2616.4337815912845,2184.8293300748164
2022-11-21 12:00:00,4299.555929359827,2989.226780642255,2831.457631796502,2652.3718702900424,2814.515842957127,2785.2579499665294,2748.8033927231986,2570.7276866186508,2616.4337815912845,2184.8293300748164
2022-11-21 13:00:00,4303.742449252096,2989.226780642255,2831.457631796502,2654.9545108648135,2811.777987078764,2785.2579499665294,2748.8033927231986,2573.230829448854,2616.4337815912845,2184.8293300748164
2022-11-21 14:00:00,4316.3020089289,2989.226780642255,2831.457631796502,2662.7024325891266,2803.596285855451,2785.2579499665294,2748.8033927231986,2580.740257939463,2616.4337815912845,2184.8293300748164
2022-11-21 15:00:00,4316.3020089289,2989.226780642255,2831.457631796502,2662.7024325891266,2803.596285855451,2785.2579499665294,2748.8033927231986,2580.740257939463,2616.4337815912845,2184.8293300748164
2022-11-21 16:00:00,4324.675048713437,2989.226780642255,2831.457631796502,2667.8677137386685,2798.168219474318,2785.2579499665294,2748.8033927231986,2585.7465435998683,2616.4337815912845,2184.8293300748164
2022-11-21 17:00:00,4282.809849790753,2989.226780642255,2831.457631796502,2642.0413079909576,2825.520792489706,2785.2579499665294,2748.8033927231986,2560.715115297838,2616.4337815912845,2163.6789977410826
2022-11-21 18:00:00,4253.504210544872,2989.226780642255,2831.457631796502,2623.9628239675585,2844.987963304104,2785.2579499665294,2748.8033927231986,2543.193115486415,2616.4337815912845,2148.873765107467
2022-11-21 19:00:00,4303.742449252096,2989.226780642255,2831.457631796502,2654.9545108648135,2811.777987078764,2785.2579499665294,2748.8033927231986,2573.230829448854,2585.891753012397,2174.25416390795
2022-11-21 20:00:00,4282.809849790753,2989.226780642255,2831.457631796502,2642.0413079909576,2811.777987078764,2785.2579499665294,2748.8033927231986,2560.715115297838,2598.5305201336696,2163.6789977410826
2022-11-21 21:00:00,4312.115489036632,2989.226780642255,2831.457631796502,2660.1197920143554,2792.668816292792,2785.2579499665294,2748.8033927231986,2560.715115297838,2598.5305201336696,2178.484230374697
2022-11-21 22:00:00,4328.8615686057055,2989.226780642255,2831.457631796502,2670.4503543134397,2781.865455301331,2785.2579499665294,2748.8033927231986,2560.715115297838,2598.5305201336696,2186.94436330819
2022-11-21 23:00:00,4349.794168067048,2989.226780642255,2831.457631796502,2683.3635571872956,2781.865455301331,2785.2579499665294,2748.8033927231986,2560.715115297838,2598.5305201336696,2197.5195294750574
2022-11-22 00:00:00,4349.794168067048,2989.226780642255,2831.457631796502,2683.3635571872956,2781.865455301331,2785.2579499665294,2748.8033927231986,2560.715115297838,2598.5305201336696,2197.5195294750574
2022-11-22 01:00:00,4370.726767528393,2989.226780642255,2845.0835106790664,2696.2767600611533,2781.865455301331,2798.661501217573,2748.8033927231986,2560.715115297838,2611.035479325845,2208.0946956419257
2022-11-22 02:00:00,4387.472847097465,2989.226780642255,2855.9842137851147,2706.607322360236,2781.865455301331,2809.384342218405,2748.8033927231986,2560.715115297838,2621.039446679582,2216.5548285754185
2022-11-22 03:00:00,4425.151526127883,2989.226780642255,2880.5107957737278,2729.851087533178,2805.7555212342627,2833.510734470281,2748.8033927231986,2560.715115297838,2643.5483732254947,2235.5901276757804
2022-11-22 04:00:00,4400.032406774272,2972.258605917702,2864.159741114653,2714.355244084551,2789.828810612309,2817.4264729690312,2748.8033927231986,2546.179362514691,2628.5424221948874,2222.89992827554
2022-11-22 05:00:00,4358.167207851588,2943.978314710112,2836.9079833495284,2688.5288383368393,2763.2842929090525,2790.619370466947,2748.8033927231986,2521.953107876112,2603.53250381054,2201.749595941805
2022-11-22 06:00:00,4391.659366989734,2966.6025476761824,2858.709389561627,2709.1899629350078,2784.5199070716567,2812.0650524686134,2748.8033927231986,2541.3341115869744,2623.540438518017,2218.669861808792
2022-11-22 07:00:00,4412.5919664510775,2980.7426932799785,2872.3352684441907,2722.1031658088646,2797.792165923286,2825.468603719656,2748.8033927231986,2553.4472389062644,2636.045397710191,2229.2450279756604
2022-11-22 08:00:00,4395.845886882002,2969.4305767969418,2861.4345653381397,2711.772603509779,2787.1743588419827,2814.745762718822,2748.8033927231986,2543.7567370508323,2626.0414303564517,2220.7848950421653
2022-11-22 09:00:00,4420.965006235614,2986.3987515214963,2877.7856199972152,2727.2684469584065,2803.101069463937,2830.8300242200726,2764.5108406816166,2558.2924898339797,2641.04738138706,2233.4750944424068
2022-11-22 10:00:00,4446.0841255892265,3003.36692624605,2894.1366746562903,2742.7642904070335,2819.0277800858917,2846.914285721323,2780.2182886400356,2572.8282426171277,2656.0533324176686,2246.1652938426478
2022-11-22 11:00:00,4467.016725050569,3017.5070718498455,2907.762553538853,2755.6774932808903,2832.3000389375197,2860.317836972365,2793.307828605384,2584.9413699364177,2668.558291609842,2256.7404600095156
2022-11-22 12:00:00,4559.120162680477,3079.7237125065426,2967.716420622128,2812.4955859258566,2890.697977884685,2919.2934624769496,2850.9018044529175,2638.2391301412913,2723.5801120554056,2303.271191143732
2022-11-22 13:00:00,4521.441483650062,3054.271450419713,2943.1898386335165,2789.251820752917,2866.807911951755,2895.1670702250753,2827.3406325152914,2616.4355009665715,2701.0711855094946,2284.235892043371
2022-11-22 14:00:00,4559.120162680477,3079.7237125065426,2967.716420622128,2812.4955859258566,2890.697977884685,2919.2934624769496,2850.9018044529175,2638.2391301412913,2723.5801120554056,2303.271191143732
2022-11-22 15:00:00,4529.814523434599,3059.9275086612315,2948.6401901865424,2794.4171019024593,2872.1168154924067,2900.5284907254922,2832.576448501431,2621.2807518942877,2706.0731691863643,2288.465958510119
2022-11-22 16:00:00,4487.949324511911,3031.6472174536398,2921.3884324214155,2768.590696154746,2845.5722977891483,2873.721388223407,2832.576448501431,2597.054497255707,2681.063250802016,2267.315626176383
2022-11-22 17:00:00,4504.695404080986,3031.6472174536398,2932.2891355274655,2778.9212584538313,2856.1901048704513,2884.4442292242406,2832.576448501431,2606.744999111139,2691.0672181557547,2275.7757591098766
2022-11-22 18:00:00,4513.068443865525,3031.6472174536398,2937.739487080492,2784.0865396033746,2861.499008411104,2884.4442292242406,2832.576448501431,2611.590250038856,2696.0692018326254,2280.0058255766244
2022-11-22 19:00:00,4496.32236429645,3031.6472174536398,2926.8387839744414,2773.755977304289,2850.8812013298007,2884.4442292242406,2832.576448501431,2601.8997481834235,2696.0692018326254,2271.54569264313
2022-11-22 20:00:00,4508.881923973254,3031.6472174536398,2935.014311303978,2781.503899028602,2858.844556640777,2884.4442292242406,2824.6862634081135,2601.8997481834235,2688.55925976624,2277.89079234325
2022-11-22 21:00:00,4534.001043326864,3031.6472174536398,2951.3653659630527,2796.999742477229,2874.7712672627304,2884.4442292242406,2809.037032031891,2601.8997481834235,2673.6641946151803,2290.580991743491
2022-11-22 22:00:00,4580.0527621418205,3031.6472174536398,2981.3422995046903,2825.4087887997125,2903.970236736314,2884.4442292242406,2780.792601179651,2601.8997481834235,2646.7809166071665,2313.846357310599
2022-11-22 23:00:00,4567.493202465013,3031.6472174536398,2973.1667721751523,2817.660867075398,2896.006881425336,2884.4442292242406,2788.4391436210253,2601.8997481834235,2646.7809166071665,2307.5012576104787
2022-11-23 00:00:00,4542.374083111404,3031.6472174536398,2956.8157175160786,2802.1650236267724,2880.0801708033828,2884.4442292242406,2803.8590835857485,2601.8997481834235,2646.7809166071665,2294.8110582102386
2022-11-23 01:00:00,4764.2596374016375,3031.6472174536398,3101.250033671241,2939.044974089646,3020.766114630644,2884.4442292242406,2673.275136810666,2601.8997481834235,2646.7809166071665,2406.907819579033
2022-11-23 02:00:00,4906.601313738771,3122.223672105156,3193.906010072669,3026.8547536318697,3111.0174748217196,2970.622703559589,2753.1445169965746,2679.636647514037,2725.858729581372,2478.818949513733
2022-11-23 03:00:00,4868.922634708351,3098.247551756224,3169.3794280840543,3003.610988458927,3087.127408888787,2947.810754470819,2732.0026222414804,2659.059232985344,2704.9263673234927,2459.78365041337
2022-11-23 04:00:00,4965.21259223053,3159.519859314603,3232.0584709438435,3063.011721678666,3148.179799606279,3006.107957697672,2786.0319088378305,2711.645959003112,2758.420181982514,2508.4294147809615
2022-11-23 05:00:00,4914.974353523307,3127.5516988493623,3199.3563616256934,3032.020034781411,3116.3263783623706,2975.6920255793148,2757.84271583104,2684.20940629819,2730.5103656386773,2483.0490159804795
2022-11-23 06:00:00,4864.736114816085,3095.5835383841227,3166.6542523075436,3001.0283478841575,3084.472957118463,2945.2760934609573,2729.653522824249,2656.772853593269,2702.6005492948416,2457.6686171799984
2022-11-23 07:00:00,4885.668714277425,3108.903605244637,3180.280131190104,3013.941550758011,3097.7452159700892,2957.9493985102713,2741.39901991041,2668.204750553651,2714.2296394381046,2468.243783346864
2022-11-23 08:00:00,4776.819197078443,3039.6392575699506,3109.425561000779,2946.79289581396,3028.729469941622,2892.0482122538306,2680.322435062364,2608.7588863596543,2653.7583706931264,2413.2529192791535
2022-11-23 09:00:00,4793.56527664752,3050.2953110583644,3120.32626410683,2957.1234581130457,3039.3472770229255,2902.1868562932837,2689.718832731295,2617.9044039279624,2653.7583706931264,2421.7130522126486
2022-11-23 10:00:00,4793.56527664752,3050.2953110583644,3120.32626410683,2957.1234581130457,3039.3472770229255,2902.1868562932837,2689.718832731295,2617.9044039279624,2653.7583706931264,2421.7130522126486
2022-11-23 11:00:00,4768.446157293909,3034.311230825745,3103.975209447756,2941.6276146644195,3023.4205664009723,2886.9788902341056,2675.6242362279004,2604.1861275755023,2653.7583706931264,2409.022852812408
2022-11-23 12:00:00,4768.446157293909,3034.311230825745,3103.975209447756,2941.6276146644195,3023.4205664009723,2886.9788902341056,2675.6242362279004,2604.1861275755023,2653.7583706931264,2409.022852812408
2022-11-23 13:00:00,4814.497876108861,3063.615377918881,3133.9521429893925,2970.036660986902,3023.4205664009723,2914.8601613425994,2701.464329817458,2629.336300888346,2679.3872926225586,2432.2882183795155
2022-11-23 14:00:00,4827.057435785665,3071.60741803519,3142.1276703189287,2977.784582711214,3023.4205664009723,2922.464144372187,2708.5116280691545,2636.1954390645756,2686.376998603312,2438.633318079635
2022-11-23 15:00:00,4772.632677186176,3036.9752441978476,3106.7003852242674,2944.21025523919,3023.4205664009723,2889.5135512439683,2677.9733356451325,2606.4725069675783,2656.0882726867108,2411.1378860457808
2022-11-23 16:00:00,4806.124836324325,3058.287351174675,3128.501791436368,2964.8713798373597,3023.4205664009723,2909.7908393228736,2696.766130982993,2624.7635421041928,2656.0882726867108,2428.058151912769
2022-11-23 17:00:00,4822.870915893399,3068.9434046630877,3139.4024945424176,2975.2019421364444,3023.4205664009723,2919.9294833623253,2706.162528651923,2633.9090596725,2646.865743962104,2436.5182848462628
2022-11-23 18:00:00,4822.870915893399,3068.9434046630877,3139.4024945424176,2975.2019421364444,3023.4205664009723,2919.9294833623253,2706.162528651923,2633.9090596725,2646.865743962104,2436.5182848462628
2022-11-23 19:00:00,4818.684396001129,3068.9434046630877,3136.6773187659046,2975.2019421364444,3026.0473436089665,2917.394822352462,2703.81342923469,2631.6226802804226,2649.1653666762336,2434.4032516128887
2022-11-23 20:00:00,4797.751796539787,3068.9434046630877,3123.0514398833425,2988.1827534023096,3039.249993450191,2904.721517303147,2703.81342923469,2620.190783320039,2660.723679794366,2434.4032516128887
2022-11-23 21:00:00,4801.938316432056,3068.9434046630877,3125.776615659855,2985.577537401087,3036.6002550077765,2907.25617831301,2703.81342923469,2620.190783320039,2658.4039555748423,2434.4032516128887
2022-11-23 22:00:00,4814.497876108861,3068.9434046630877,3133.9521429893925,2977.7890742600407,3028.6786891251472,2907.25617831301,2703.81342923469,2620.190783320039,2651.4689887342124,2434.4032516128887
2022-11-23 23:00:00,4814.497876108861,3109.5021280727324,3133.9521429893925,3017.143114889028,3068.7052797303254,2907.25617831301,2703.81342923469,2620.190783320039,2686.510429113959,2434.4032516128887
2022-11-24 00:00:00,4814.497876108861,3079.6552490074614,3133.9521429893925,2988.1827534023096,3039.249993450191,2907.25617831301,2703.81342923469,2620.190783320039,2660.723679794366,2434.4032516128887
2022-11-24 01:00:00,4814.497876108861,3071.614373683684,3125.769500318403,2980.3807096597457,3031.3146148772157,2899.6654311111497,2703.81342923469,2620.190783320039,2653.7766205781945,2434.4032516128887
2022-11-24 02:00:00,4814.497876108861,3063.615377918881,3117.6294755779895,2972.6193015616723,3023.4205664009723,2892.1142190509636,2703.81342923469,2620.190783320039,2646.865743962104,2434.4032516128887
2022-11-24 03:00:00,4814.497876108861,3063.615377918881,3117.6294755779895,2972.6193015616723,3023.4205664009723,2892.1142190509636,2703.81342923469,2620.190783320039,2646.865743962104,2434.4032516128887
2022-11-24 04:00:00,4814.497876108861,3101.3048465400284,3155.983441006894,3009.189310543979,3060.6155470069607,2927.693831587619,2703.81342923469,2620.190783320039,2679.4282399335193,2434.4032516128887
2022-11-24 05:00:00,4814.497876108861,3085.039261680553,3139.4310803023122,2993.406849125042,3044.5633675646163,2912.3387940093626,2703.81342923469,2620.190783320039,2665.375294619183,2434.4032516128887
2022-11-24 06:00:00,4814.497876108861,3082.3449042467696,3136.6892190968065,2990.7925199991673,3041.904360256698,2909.7952666783485,2703.81342923469,2620.190783320039,2663.0474559339245,2434.4032516128887
2022-11-24 07:00:00,4814.497876108861,3068.9434046630877,3123.0514398833425,2977.7890742600407,3028.6786891251472,2897.1439829101823,2703.81342923469,2608.7986494795173,2651.4689887342124,2434.4032516128887
2022-11-24 08:00:00,4814.497876108861,3053.0146326665667,3106.8418303337753,2962.3334216254734,3028.6786891251472,2882.1069034141087,2703.81342923469,2595.258172060074,2651.4689887342124,2434.4032516128887
2022-11-24 09:00:00,4868.640153262335,3053.0146326665667,3106.8418303337753,2962.3334216254734,3028.6786891251472,2882.1069034141087,2734.2196356188174,2595.258172060074,2651.4689887342124,2434.4032516128887
2022-11-24 10:00:00,4893.628896563937,3068.684511020714,3122.7879817298412,2977.537870325004,3044.223661011161,2896.8995821313742,2748.2532693345674,2608.5785732853597,2665.0778971451655,2446.898050166932
2022-11-24 11:00:00,4835.3218288601975,3032.121461527702,3085.5802951390187,2942.0608233594307,3007.9520599437947,2862.3833317910867,2715.5081239978163,2577.4976370930244,2633.3237775196067,2417.7435202074967
2022-11-24 12:00:00,4826.99224775966,3026.8981687429846,3080.2649113403277,2936.9926737929186,3002.770402648455,2857.4524388853292,2710.8302460925643,2573.0575033512605,2628.787474715954,2413.5785873561476
2022-11-24 13:00:00,4814.497876108861,3019.0632295659116,3072.2918356422956,2929.3904494431536,2994.997916705449,2850.0560995266974,2703.81342923469,2566.3973027386182,2621.983020510478,2407.3311880791266
2022-11-24 14:00:00,4847.816200511,3039.9564007047766,3093.553370837052,2949.6630477091962,3015.724545886802,2869.77967114972,2722.5249408556915,2584.1578377056676,2640.128231725084,2423.990919484519
2022-11-24 15:00:00,4851.980991061267,3042.5680470971347,3096.2110627363973,2952.1971224924523,3018.3153745344716,2872.245117602598,2724.8638798083175,2586.3779045765496,2642.3963831269098,2426.0733859101933
2022-11-24 16:00:00,4876.969734362867,3058.237925451281,3112.1572141324623,2967.401571191982,3033.8603464204834,2887.0377963198625,2738.897513524066,2599.698305801834,2656.005291537862,2438.568184464235
2022-11-24 17:00:00,4906.123268214737,3076.5194501977876,3130.761057427874,2985.1400946747694,3051.996146954167,2904.295921490007,2755.2700861924422,2615.238773898003,2671.882351350642,2453.145449443953
2022-11-24 18:00:00,4876.969734362867,3076.5194501977876,3112.1572141324623,2967.401571191982,3033.8603464204834,2887.0377963198625,2738.897513524066,2599.698305801834,2656.005291537862,2438.568184464235
2022-11-24 19:00:00,4889.464106013671,3076.5194501977876,3120.1302898304975,2975.0037955417492,3041.6328323634925,2894.434135678497,2745.9143303819433,2606.3585064144795,2662.80974574334,2444.8155837412587
2022-11-24 20:00:00,4843.65140996073,3047.6934587564106,3090.895678937706,2947.12897292594,3013.133717239132,2867.3142246968405,2720.186001903065,2581.9377708347856,2637.8600803232566,2421.908453058844
2022-11-24 21:00:00,4831.157038309929,3039.831824726944,3082.9226032396728,2939.5267485761738,3005.3612312961245,2859.9178853382073,2713.16918504519,2575.277570222142,2631.0556261177803,2415.661053781822
2022-11-24 22:00:00,4831.157038309929,3037.211280050455,3080.2649113403277,2939.5267485761738,3002.770402648455,2857.4524388853292,2710.8302460925643,2573.0575033512605,2628.787474715954,2413.5785873561476
2022-11-24 23:00:00,4831.157038309929,3037.211280050455,3064.3187599442604,2939.5267485761738,2987.2254307624407,2842.659760168063,2696.7966123768133,2559.7371021259737,2615.178566305,2401.0837888021033
2022-11-25 00:00:00,4831.157038309929,3037.211280050455,3056.3456842462283,2939.5267485761738,2979.452944819435,2835.2634208094305,2689.779795518939,2553.0769015133314,2608.3741120995237,2394.8363895250827
2022-11-25 01:00:00,4831.157038309929,3037.211280050455,3059.003376145572,2939.5267485761738,2982.043773467103,2837.728867262308,2692.1187344715636,2555.296968384212,2610.642263501349,2396.9188559507566
2022-11-25 02:00:00,4831.157038309929,3037.211280050455,3056.3456842462283,2939.5267485761738,2979.452944819435,2835.2634208094305,2689.779795518939,2553.0769015133314,2608.3741120995237,2394.8363895250827
2022-11-25 03:00:00,4831.157038309929,3037.211280050455,3048.3726085481944,2939.5267485761738,2971.6804588764276,2827.8670814507977,2682.7629786610637,2546.416700900688,2601.5696578940474,2388.588990248061
2022-11-25 04:00:00,4831.157038309929,3037.211280050455,3051.0303004475395,2939.5267485761738,2974.271287524097,2830.332527903676,2685.101917613689,2548.636767771569,2603.837809295873,2390.671456673735
