Date,KNC,ASR,HIVE,DIA,ATM,CRV,MDT,STRAX,RIF,SAND
2021-12-13 07:00:00,511.89466613321645,1650.1528064594684,282.6803524227649,610.1597324314903,1731.2833162416443,917.441689533984,537.5391827244362,297.9355306533283,200.46685151791777,1994.61839296196
2021-12-13 08:00:00,543.0037119002553,1750.4364831121882,299.85950392162806,647.240577959339,1836.4974852571427,973.1967840808665,570.206706227405,316.0417753007562,212.64969473008392,2115.836055461071
2021-12-13 09:00:00,533.7438287120732,1720.5861579546895,294.7459772212976,636.2031356450295,1805.1795553495194,956.6007860384833,560.4829283285279,310.6522911080436,209.02336347295088,2079.754543881068
2021-12-13 10:00:00,524.9001200492025,1692.077420444719,289.8622719457011,625.661758153835,1775.2691728534746,940.750675548567,551.196174155443,305.50503092399225,205.56001339591367,2045.2946732709524
2021-12-13 11:00:00,503.46713199565727,1622.9856565970258,278.0264685719024,600.1144197634109,1702.780481157178,902.3374665965342,528.6894522771436,293.0304944779382,197.16648262097647,1961.7801633217325
2021-12-13 12:00:00,493.4789433881799,1590.7875530563533,272.51075437828746,588.20886400865,1668.9993432792924,884.4361653373346,518.2008828581303,287.21711827006845,193.25493429867566,1922.860780044426
2021-12-13 13:00:00,467.36399192487966,1506.60292817397,258.0894599762318,557.0807963581817,1580.675743202737,837.631721420052,490.7776440646681,272.0175617265755,183.02786524765995,1821.102809183968
2021-12-13 14:00:00,464.45077024769876,1497.2118146412738,256.4807100030942,553.6083425963765,1570.8229113216871,832.4105085527856,487.7184779841226,270.3219936659468,181.8869969869889,1809.751322394754
2021-12-13 15:00:00,471.73382444065106,1520.6895984730143,260.50258493593844,562.2894770008896,1595.454991024312,845.463540720952,495.3663931854865,274.56091381751855,184.7391676386666,1838.13003936779
2021-12-13 16:00:00,446.45122202797387,1439.1881488856866,246.54093338335056,532.1535389966513,1509.9464857709138,800.1508719086027,468.8172018436088,259.84580529134803,174.83806094784256,1739.6153504471076
2021-12-13 17:00:00,437.815600627759,1439.1881488856866,246.54093338335056,521.8601939170144,1509.9464857709138,784.6737051949196,459.7489595334202,254.8196571116273,171.45620146085332,1739.6153504471076
2021-12-13 18:00:00,438.4398624157264,1439.1881488856866,246.54093338335056,522.604291151687,1509.9464857709138,785.7925365236197,459.7489595334202,255.18299312461917,171.45620146085332,1739.6153504471076
2021-12-13 19:00:00,437.6075133651033,1439.1881488856866,246.54093338335056,521.6121615054568,1509.9464857709138,784.3007614186863,459.7489595334202,254.69854510729667,171.13070321413127,1739.6153504471076
2021-12-13 20:00:00,457.5838905800581,1439.1881488856866,246.54093338335056,545.4232730149785,1509.9464857709138,820.1033639370859,459.7489595334202,254.69854510729667,178.94266113546112,1739.6153504471076
2021-12-13 21:00:00,501.38625936909955,1439.1881488856866,246.54093338335056,597.6340956478357,1509.9464857709138,898.6080288342011,503.7585802618353,254.69854510729667,196.07200636921036,1739.6153504471076
2021-12-13 22:00:00,511.0623170825933,1466.962479212802,251.29883062440712,609.1676027852602,1539.0863536224795,915.9499144290509,513.4804204702501,259.6138729128535,199.85592348735446,1773.1875080714242
2021-12-13 23:00:00,501.28221573777165,1438.889500172492,246.48977319796282,597.510079442057,1509.6331538585312,898.4215569460844,503.6540443456158,254.64569212014004,196.03131908837005,1739.2543595049106
