Date,BTC,FET,STORJ,KMD,TRU,HBAR,FUN,CKB,TROY,NMR
2021-12-28 12:00:00,89.7339478521302,74.85401479177426,162.62056187359357,91.73813446846304,33.12319909533638,69.1176978896948,132.69606917493152,78.76073812353124,85.59613296114328,38.599688380366324
2021-12-28 13:00:00,89.8298174545363,74.93398702979965,162.7943017901252,91.8361452958866,33.1585871285579,69.19154158402138,132.83783847960555,78.84488421127003,85.68758182114449,38.599688380366324
2021-12-28 14:00:00,89.63807824972406,74.77404255374887,162.44682195706196,91.64012364103947,33.08781106211487,69.0438541953682,132.55429987025744,78.67659203579241,85.50468410114205,38.51729843718518
2021-12-28 15:00:00,88.58351262325671,73.89434793546947,160.53568287521418,90.56200453938017,32.698542696678224,68.23157355777562,130.99483751884264,77.75098507066544,84.4987466411286,38.97583770429453
2021-12-28 16:00:00,86.95372938235266,72.53481988903768,157.58210429417667,88.89582047317947,32.0969461319125,66.9762307542235,128.58475933938342,76.32050157910558,82.94411602110786,39.70636608463962
2021-12-28 17:00:00,86.57025097272816,72.21493093693607,156.88714462805024,88.50377716348518,31.95539399902645,66.68085597691709,128.0176821206871,75.98391722815032,82.57832058110297,39.88225253462696
2021-12-28 18:00:00,86.3785117679159,72.05498646088526,156.53966479498695,88.30775550863801,31.95539399902645,66.53316858826389,127.73414351133897,75.81562505267269,82.3954228611005,39.88225253462696
2021-12-28 19:00:00,87.72068620160164,73.17459779324088,158.97202362642966,89.67990709256804,31.95539399902645,67.56698030883626,129.71891377677602,76.99367028101611,83.67570690111764,39.88225253462696
2021-12-28 20:00:00,86.95372938235266,72.53481988903768,157.58210429417667,88.89582047317947,31.95539399902645,66.9762307542235,128.58475933938342,76.99367028101611,82.94411602110786,39.88225253462696
2021-12-28 21:00:00,87.04959898475876,72.61479212706307,157.75584421070832,88.99383130060303,31.95539399902645,67.05007444855008,128.72652864405748,76.99367028101611,83.03556488110908,39.88225253462696
2021-12-28 22:00:00,87.04959898475876,72.61479212706307,157.75584421070832,88.99383130060303,31.95539399902645,67.05007444855008,128.72652864405748,76.99367028101611,83.03556488110908,39.88225253462696
2021-12-28 23:00:00,86.85785977994652,72.45484765101226,157.40836437764506,88.79780964575589,31.95539399902645,66.90238705989687,128.44299003470934,76.99367028101611,82.85266716110664,39.88225253462696
2021-12-29 00:00:00,86.95372938235266,72.53481988903768,157.58210429417667,88.89582047317947,31.95539399902645,66.9762307542235,128.58475933938342,76.99367028101611,82.85266716110664,39.88225253462696
2021-12-29 01:00:00,87.43307739438326,72.93468107916468,158.45080387683478,89.38587461029732,31.95539399902645,67.34544922585647,129.2936058627538,76.99367028101611,82.85266716110664,39.88225253462696
2021-12-29 02:00:00,88.20003421363224,73.57445898336786,159.8407232090877,90.16996122968588,31.95539399902645,67.93619878046924,130.42776030014636,76.99367028101611,82.85266716110664,39.88225253462696
2021-12-29 03:00:00,87.24133818957101,72.77473660311387,158.10332404377152,89.18985295545018,31.95539399902645,67.19776183720327,129.01006725340562,76.99367028101611,82.85266716110664,39.44874978968536
2021-12-29 04:00:00,86.95372938235266,72.53481988903768,157.58210429417667,88.89582047317947,31.95539399902645,66.9762307542235,128.58475933938342,76.99367028101611,82.85266716110664,39.31869896620288
2021-12-29 05:00:00,86.57025097272816,72.21493093693607,156.88714462805024,88.50377716348518,31.95539399902645,66.68085597691709,128.0176821206871,76.99367028101611,82.85266716110664,39.145297868226244
2021-12-29 06:00:00,86.28264216550981,71.97501422285988,156.36592487845542,88.20974468121447,31.95539399902645,66.68085597691709,127.59237420666494,76.99367028101611,82.85266716110664,39.01524704474377
2021-12-29 07:00:00,86.47438137032204,72.13495869891067,156.7134047115186,88.40576633606159,31.95539399902645,66.68085597691709,127.87591281601304,76.99367028101611,82.85266716110664,39.10194759373208
2021-12-29 08:00:00,86.66612057513429,72.29490317496149,157.06088454458185,88.40576633606159,31.95539399902645,66.68085597691709,127.87591281601304,76.99367028101611,82.85266716110664,39.1886481427204
2021-12-29 09:00:00,86.66612057513429,71.73509750878367,155.8447051288605,88.40576633606159,31.95539399902645,66.68085597691709,127.87591281601304,76.99367028101611,82.85266716110664,38.885196221261275
2021-12-29 10:00:00,86.66612057513429,71.49518079470747,155.32348537926566,88.40576633606159,32.06262686479499,66.68085597691709,127.87591281601304,76.99367028101611,82.85266716110664,38.755145397778804
