Date,FUN,NULS,BTC,PAXG,DIA,KMD,WIN,DCR,LRC,UTK
2021-11-08 06:00:00,413.9687249328248,332.24301070736965,397.1127495193088,31.82558227375977,202.591700898527,103.80236532443354,191.86293871417735,165.96306524893006,411.90496224912243,158.32590757610413
2021-11-08 07:00:00,411.28554029890756,330.0895404392931,394.53881877703907,31.619301199419482,201.27858010927346,103.12955867304223,190.61935759809276,164.88735706216792,409.2351541240753,157.29970048176835
2021-11-08 08:00:00,412.7394625991724,331.25642936901346,395.9335402800687,31.73107757526584,201.9901135514018,103.4941286626952,191.29320996516748,165.47024506083227,410.68182817004555,157.85576559942166
2021-11-08 09:00:00,413.3239138347985,331.72549822963225,396.4941938346992,31.776009715700937,202.27613750148876,103.64067939713685,191.56408678471598,165.7045558015018,411.26336573471565,158.07929401290144
2021-11-08 10:00:00,407.0981142958643,326.7287961642487,390.521896354344,31.297375259732224,199.22930028389314,102.07956456102937,188.67860263231023,163.2085875969604,405.0686037403853,155.6981833081046
2021-11-08 11:00:00,408.46536237074554,327.82612209595067,391.8334728324442,31.4024881909152,199.89841632179034,102.4224010498993,189.31228391738938,163.7567272698301,406.4290356589088,156.22109912106217
2021-11-08 12:00:00,410.47580923939637,329.43966650227304,393.7620583406899,31.55704972750386,200.88230671291151,102.92651918191258,190.24406987395085,164.56273000565406,408.4294598254201,156.99001185756015
2021-11-08 13:00:00,409.0950917310928,328.33153027297317,392.43756087745567,31.450901277124036,200.20659888374405,102.58030524212761,189.6041458827841,164.00919033920195,407.0556256227838,156.46194454367347
2021-11-08 14:00:00,407.4959485552628,327.04808997594074,390.90353160137465,31.327960437286063,199.42399595637497,102.17932122051943,188.86298769700747,163.36808223791792,405.46445467242256,155.85033845024574
2021-11-08 15:00:00,406.81442223015296,326.50111059200884,390.2497556600204,31.275565242129634,199.0904645345664,102.00842897596945,188.54711928552817,163.09485338957575,404.78632596774395,155.58968283193173
2021-11-08 16:00:00,408.2368502799087,327.6427228668061,391.61426529519525,31.38492036535385,199.0904645345664,102.36510180455672,189.20637494736565,163.6651151147141,406.2016627718269,156.13370270197345
2021-11-08 17:00:00,409.49684055855033,328.6539658386172,392.82295129919277,31.481787403518528,199.0904645345664,102.68104347679302,189.79034524041305,164.1702543588953,407.45537160754236,156.61559684611532
2021-11-08 18:00:00,414.9102316277679,332.9986451311533,398.01591995176204,31.897964550430714,199.0904645345664,104.0384474630534,192.2993007638471,166.3405221137464,412.8417752407338,158.68599492808957
2021-11-08 19:00:00,414.43894356117386,332.62039876439917,397.5638217891021,31.861732303319624,199.0904645345664,103.92027231330125,192.08087191163773,166.15157930856253,412.3728366915466,158.50574674415876
2021-11-08 20:00:00,417.5813275395346,335.1424132328559,400.5782542003785,32.10331625354507,199.0904645345664,104.70822287590565,193.5372790949448,167.41138384409237,415.4995549096655,159.7075785864249
2021-11-08 21:00:00,417.10395534457666,334.75928386648525,400.12031964284745,32.066616263543885,199.0904645345664,104.58852213526447,193.3160304192147,167.22000186770592,415.02456256338417,159.5250034751515
2021-11-08 22:00:00,416.3899400144576,334.1862294575839,399.43537758354444,32.01172333984024,199.0904645345664,104.40948329566059,192.98510426157839,166.9337479415415,414.3141068214782,159.25192215679175
2021-11-08 23:00:00,420.04511145507945,337.1197968769123,402.94171778106863,32.29272997730323,199.0904645345664,105.32601495216302,194.67917410759307,168.3991326910643,417.95105609707326,160.64987398461795
2021-11-09 00:00:00,419.74309455009313,336.87740415554555,402.65199839813727,32.269511160811064,199.0904645345664,105.25028442660066,194.5391977097591,168.27805192266408,417.6505448401729,160.5343650156903
2021-11-09 01:00:00,423.51907711859366,339.90793216739166,406.2742305369481,32.55980566051657,199.0904645345664,106.19710938807037,196.28926013837267,169.79187072986156,421.4077029626469,161.97852210085753
2021-11-09 02:00:00,423.58053685986755,339.9572585252741,406.3331877609413,32.56453063594257,199.11935590948073,106.21252037477598,196.31774501141555,169.81651038604062,421.46885630801955,162.00202790873752
2021-11-09 03:00:00,423.7035098710041,340.0559542020124,406.4511535579397,32.573984702029364,199.17716382235906,106.24335577044293,196.37473956650666,169.8658111583983,421.59121626049676,162.04905999696766
2021-11-09 04:00:00,422.72172042018065,339.26798964484624,405.50934060255554,32.498505519519234,198.7156381712138,105.99717275924425,195.91970758488986,169.47220464449035,420.6143213350561,161.67356615772775
2021-11-09 05:00:00,423.7035098710041,340.0559542020124,406.4511535579397,32.573984702029364,199.17716382235906,106.24335577044293,196.37473956650666,169.8658111583983,421.59121626049676,162.04905999696766
2021-11-09 06:00:00,426.9260610649916,342.64230927273127,409.54248893676265,32.82173184324709,200.69204059854198,107.05140820573081,197.8683020145772,171.15775531230156,424.79770203577044,163.28155248195264
2021-11-09 07:00:00,421.5008634658985,338.2881542956914,404.33819449251206,32.404647019823884,198.14173019093596,105.69104374044501,195.35387449439196,168.98275423396473,419.3995507319223,161.20663889084622
2021-11-09 08:00:00,422.72172042018065,339.26798964484624,405.50934060255554,32.498505519519234,198.7156381712138,105.99717275924425,195.91970758488986,169.47220464449035,420.6143213350561,161.67356615772775
2021-11-09 09:00:00,422.47698357234725,339.0715687505664,405.2745689478428,32.47969034770305,198.6005907616488,105.9358051675469,195.80627889327897,169.37408786658068,420.37080457643106,161.57996444045594
2021-11-09 10:00:00,424.9371785560267,341.04607198976026,407.6345897307681,32.66882815726893,199.7570944201822,106.55269732167439,196.94651053627373,169.37408786658068,422.81873472391356,162.52088722071773
2021-11-09 11:00:00,427.426194098894,343.04370603275197,410.02225755757013,32.860181668220854,200.9271462252499,107.17681621065766,198.1000997032749,169.37408786658068,425.29534175114395,163.47283267229608
2021-11-09 12:00:00,424.8753245271248,340.9964291845216,407.57525427374765,32.66407286932755,199.72801769610356,106.53718746762463,196.9178429219308,169.37408786658068,422.7571890565593,162.4972306141354
2021-11-09 13:00:00,425.3706615420209,341.39397675570734,408.05042215981433,32.70215398022155,199.9608687805642,106.66139287417391,197.1474177898083,169.37408786658068,423.250056662571,162.68667652566455
2021-11-09 14:00:00,427.05098456493744,342.7425703727379,409.6623258025818,32.831335861343135,200.75076540925116,107.08273268508873,197.9262005667395,169.37408786658068,424.9220027532644,163.3293305514426
2021-11-09 15:00:00,427.6140462205314,343.19447238465625,410.2024607179382,32.87462358808677,201.01545291125572,107.22391999744819,198.18716391351663,169.37408786658068,425.48225737160305,163.54467833564462
2021-11-09 16:00:00,422.7829489428371,339.31713043129537,410.2024607179382,32.503212719044065,198.74442085345183,107.22391999744819,195.9480852945632,169.37408786658068,420.67524461450785,161.69698353405417
2021-11-09 17:00:00,427.05098456493744,339.31713043129537,410.2024607179382,32.831335861343135,200.75076540925116,107.22391999744819,195.9480852945632,169.37408786658068,424.9220027532644,163.3293305514426
2021-11-09 18:00:00,422.47698357234725,339.31713043129537,410.2024607179382,32.47969034770305,198.6005907616488,107.22391999744819,195.9480852945632,169.37408786658068,420.37080457643106,161.57996444045594
2021-11-09 19:00:00,422.3547213863909,339.31713043129537,410.2024607179382,32.4702909292838,198.54311699786308,107.22391999744819,195.9480852945632,169.37408786658068,420.24915190544965,161.53320421344384
2021-11-09 20:00:00,421.1967502887947,338.38682372448517,410.2024607179382,32.381267043619104,197.9987707896438,107.22391999744819,195.9480852945632,169.37408786658068,419.0969536534722,161.09032818457578
2021-11-09 21:00:00,424.38113979374054,340.94514225220735,410.2024607179382,32.62608034490846,199.4957082832555,107.22391999744819,195.9480852945632,169.37408786658068,422.2654679875781,162.30822540260397
