Date,CELR,TRU,NEO,XTZ,QTUM,SKL,HIVE,NKN,KNC,BNT
2022-10-09 09:00:00,16539.046994862005,17582.027945983078,6789.361082410477,5700.043650010595,4013.7030526481763,10062.096216216554,9253.377221041175,4738.58262563807,5026.522415894605,4083.9614471966083
2022-10-09 10:00:00,16539.046994862005,17582.027945983078,6789.361082410477,5700.043650010595,4018.3072431301357,10062.096216216554,9242.77466908352,4738.58262563807,5026.522415894605,4088.646232338216
2022-10-09 11:00:00,16539.046994862005,17582.027945983078,6789.361082410477,5700.043650010595,4006.816516098022,10062.096216216554,9269.281048977648,4738.58262563807,5026.522415894605,4076.9543643589827
2022-10-09 12:00:00,16539.046994862005,17582.027945983078,6789.361082410477,5700.043650010595,4014.853110829451,10062.096216216554,9250.726583051754,4738.58262563807,5026.522415894605,4085.131636723027
2022-10-09 13:00:00,16539.046994862005,17582.027945983078,6789.361082410477,5700.043650010595,4011.404911764896,10062.096216216554,9258.678497019995,4738.58262563807,5026.522415894605,4081.6230782030807
2022-10-09 14:00:00,16539.046994862005,17582.027945983078,6789.361082410477,5700.043650010595,4003.3821019413676,10062.096216216554,9277.232962945882,4738.58262563807,5026.522415894605,4073.4598320466757
2022-10-09 15:00:00,16539.046994862005,17582.027945983078,6789.361082410477,5700.043650010595,4004.5262522991666,10062.096216216554,9274.582324956467,4738.58262563807,5026.522415894605,4074.6240103353425
2022-10-09 16:00:00,16539.046994862005,17582.027945983078,6789.361082410477,5700.043650010595,4005.671056830984,10062.096216216554,9271.931686967055,4738.58262563807,5026.522415894605,4075.7888542491028
2022-10-09 17:00:00,16539.046994862005,17582.027945983078,6789.361082410477,5700.043650010595,4001.0957615062202,10062.096216216554,9282.534238924707,4738.58262563807,5026.522415894605,4075.7888542491028
2022-10-09 18:00:00,16539.046994862005,17582.027945983078,6789.361082410477,5700.043650010595,4007.9626306621226,10062.096216216554,9266.630410988231,4738.58262563807,5026.522415894605,4075.7888542491028
2022-10-09 19:00:00,16539.046994862005,17582.027945983078,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9261.3291350094,4738.58262563807,5026.522415894605,4075.7888542491028
2022-10-09 20:00:00,16539.046994862005,17582.027945983078,6789.361082410477,5700.043650010595,4004.5262522991666,10062.096216216554,9274.582324956467,4738.58262563807,5026.522415894605,4075.7888542491028
2022-10-09 21:00:00,16539.046994862005,17481.530501307556,6789.361082410477,5700.043650010595,4027.54738625892,10062.096216216554,9221.569565168202,4738.58262563807,5026.522415894605,4075.7888542491028
2022-10-09 22:00:00,16539.046994862005,17556.903584814205,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9221.569565168202,4738.58262563807,5026.522415894605,4075.7888542491028
2022-10-09 23:00:00,16539.046994862005,17687.55026289239,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9221.569565168202,4738.58262563807,5026.522415894605,4075.7888542491028
2022-10-10 00:00:00,16539.046994862005,17712.674624061274,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9208.489324650234,4738.58262563807,5026.522415894605,4075.7888542491028
2022-10-10 01:00:00,16539.046994862005,17682.525390658615,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9224.190073711872,4738.58262563807,5026.522415894605,4075.7888542491028
2022-10-10 02:00:00,16539.046994862005,17632.276668320854,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9250.477306751804,4738.58262563807,5026.522415894605,4075.7888542491028
2022-10-10 03:00:00,16539.046994862005,17642.326412788407,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9245.20788077245,4738.58262563807,5026.522415894605,4075.7888542491028
2022-10-10 04:00:00,16539.046994862005,17577.00307374932,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9279.566858030894,4738.58262563807,5026.522415894605,4075.7888542491028
2022-10-10 05:00:00,16539.046994862005,17531.77922364534,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9303.50383186932,4738.58262563807,5026.522415894605,4075.7888542491028
2022-10-10 06:00:00,16539.046994862005,17571.978201515547,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9282.220437344027,4738.58262563807,5026.522415894605,4075.7888542491028
2022-10-10 07:00:00,16539.046994862005,17275.510739722755,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9441.51392361607,4819.902106415453,5026.522415894605,4075.7888542491028
2022-10-10 08:00:00,16539.046994862005,17391.082801099605,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9378.77054879863,4787.871552111045,5026.522415894605,4075.7888542491028
2022-10-10 09:00:00,16539.046994862005,17350.883823229393,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9400.49952777065,4798.964217160825,5026.522415894605,4075.7888542491028
2022-10-10 10:00:00,16539.046994862005,17350.883823229393,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9376.061487403827,4786.4885736153465,5026.522415894605,4075.7888542491028
2022-10-10 11:00:00,16539.046994862005,17350.883823229393,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9346.364776674933,4771.328373698915,5026.522415894605,4075.7888542491028
2022-10-10 12:00:00,16539.046994862005,17350.883823229393,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9373.353990583899,4785.106393836653,5026.522415894605,4075.7888542491028
2022-10-10 13:00:00,16539.046994862005,17350.883823229393,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9403.222731573593,4785.106393836653,5026.522415894605,4088.7765939352958
2022-10-10 14:00:00,16539.046994862005,17350.883823229393,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9378.770548798624,4785.106393836653,5026.522415894605,4078.144120850806
2022-10-10 15:00:00,16539.046994862005,17350.883823229393,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9438.76849938704,4785.106393836653,5026.522415894605,4104.2328590475845
2022-10-10 16:00:00,16539.046994862005,17350.883823229393,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9351.750178447715,4785.106393836653,5026.522415894605,4066.3949300676004
2022-10-10 17:00:00,16539.046994862005,17350.883823229393,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9397.777900808349,4785.106393836653,5026.522415894605,4086.409033660869
2022-10-10 18:00:00,16539.046994862005,17340.84280249836,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9392.33937193056,4785.106393836653,5026.522415894605,4084.044213618241
2022-10-10 19:00:00,16539.046994862005,17376.03732253823,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9411.401817741962,4785.106393836653,5026.522415894605,4092.3330827093773
2022-10-10 20:00:00,16539.046994862005,17391.164458918844,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9419.595144919334,4785.106393836653,5026.522415894605,4095.895763860894
2022-10-10 21:00:00,16539.046994862005,17730.755244211345,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9603.528067867464,4785.106393836653,5026.522415894605,4175.87479356942
2022-10-10 22:00:00,16539.046994862005,17830.988612149467,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9657.817574945562,4812.15698041294,4998.266816515315,4199.481345511646
2022-10-10 23:00:00,16539.046994862005,18155.090192497533,6789.361082410477,5700.043650010595,4010.2568279321076,10062.096216216554,9833.36106312997,4899.624238463463,4909.038607949138,4275.812421164691
2022-10-11 00:00:00,16569.163620649306,18188.14953730936,6801.724107143241,5710.423092165394,4017.55926828646,10062.096216216554,9851.26703168195,4908.5461642391165,4909.038607949138,4283.5984225385855
2022-10-11 01:00:00,16529.032434162727,18144.0971012517,6785.250055415375,5696.592215768991,4007.8285767495877,10062.096216216554,9827.4068632734,4896.657466293639,4909.038607949138,4273.2233733771245
2022-10-11 02:00:00,16579.226884312022,18199.19609032322,6805.855126947155,5713.891311474332,4019.9993285769474,10062.096216216554,9857.250188093543,4911.527364460337,4909.038607949138,4286.200061422606
2022-10-11 03:00:00,16609.4901521264,18232.416405669108,6818.278348961661,5724.321292572247,4027.337325525977,10062.096216216554,9875.243343289332,4920.492732329751,4909.038607949138,4294.023973916837
2022-10-11 04:00:00,16619.602474897856,18243.516811395537,6822.429507773813,5727.806419691011,4029.7892812797213,10068.222302192942,9881.255668003661,4923.488466108946,4909.038607949138,4296.638295970971
2022-10-11 05:00:00,16554.091610078678,18171.604828815754,6795.536971812306,5705.228650298658,4013.9047268053023,10028.535555701586,9842.305903393584,4904.081143471161,4909.038607949138,4279.7018806139
2022-10-11 06:00:00,16524.029700375144,18138.605546438972,6783.196408304171,5694.868065582619,4006.6155535726048,10010.323929389777,9824.432466523014,4895.175427108925,4909.038607949138,4271.930024898499
2022-10-11 07:00:00,16524.029700375144,18138.605546438972,6783.196408304171,5694.868065582619,4006.6155535726048,10010.323929389777,9824.432466523014,4895.175427108925,4909.038607949138,4271.930024898499
2022-10-11 08:00:00,16599.390127710387,18221.32949998004,6814.132238685613,5720.8404039784045,4024.888351779837,10055.977580633571,9869.238330614784,4917.50064188747,4909.038607949138,4291.4128313361625
2022-10-11 09:00:00,16599.390127710387,18221.32949998004,6814.132238685613,5720.8404039784045,4024.888351779837,10055.977580633571,9869.238330614784,4917.50064188747,4909.038607949138,4291.4128313361625
2022-10-11 10:00:00,16549.073698102293,18166.09661274154,6793.477093979079,5703.499269076985,4012.6880233415836,10025.495684360054,9839.322482386186,4902.594607810818,4909.038607949138,4278.404608143268
2022-10-11 11:00:00,16549.073698102293,18166.09661274154,6793.477093979079,5703.499269076985,4012.6880233415836,10025.495684360054,9839.322482386186,4902.594607810818,4909.038607949138,4278.404608143268
2022-10-11 12:00:00,16721.407084238734,18355.26882861695,6864.220806443179,5762.892523333836,4054.4740548250793,10129.895945697954,9941.78403350445,4953.6476603883275,4909.038607949138,4322.957672975387
2022-10-11 13:00:00,16721.407084238734,18355.26882861695,6864.220806443179,5762.892523333836,4054.4740548250793,10129.895945697954,9941.78403350445,4953.6476603883275,4909.038607949138,4322.957672975387
2022-10-11 14:00:00,16579.226884312022,18199.19609032322,6805.855126947155,5713.891311474332,4019.9993285769474,10043.76260634796,9857.250188093543,4911.527364460337,4909.038607949138,4286.200061422606
