reference_coin,trading_coin,trading_type,is_sharpe,is_return,is_trades,oos_trades,oos_total_return,oos_mean_return
XVS,YFI,both,4.857380,2.811870,82,326,-1.140196,-0.003498
ZEC,YFI,both,3.402893,6.788412,119,281,0.271164,0.000965
ZEN,YFI,both,3.122821,6.848194,143,290,1.087466,0.003750
ZIL,YFI,both,3.551392,7.723437,123,263,-0.009998,-0.000038
AAVE,ZEC,both,2.262036,0.332097,61,284,-1.095522,-0.003857
BEL,ZEC,both,2.533697,0.710409,92,315,-0.344942,-0.001095
INJ,ZEC,both,3.579149,0.582083,69,339,-1.720901,-0.005076
XVS,ZEC,both,2.824674,0.656528,83,346,-3.084360,-0.008914
AAVE,ZEN,both,3.016271,1.430258,74,285,-0.357330,-0.001254
AUDIO,ZEN,both,2.435298,0.626650,73,333,-0.247240,-0.000742
AXS,ZEN,both,3.123071,0.760421,52,327,0.806657,0.002467
BEL,ZEN,both,2.253119,2.210859,103,318,-0.215753,-0.000678
CTK,ZEN,both,4.593425,4.028973,61,308,1.387932,0.004506
FIL,ZEN,both,4.064282,1.684292,69,269,-1.243189,-0.004622
FLM,ZEN,both,2.191004,0.653597,85,305,-1.488386,-0.004880
GRT,ZEN,both,3.850990,0.073482,8,302,-0.699712,-0.002317
INJ,ZEN,both,5.111850,3.621546,70,322,-0.173575,-0.000539
JUV,ZEN,both,12.786984,0.196160,3,359,-0.092519,-0.000258
PAXG,ZEN,both,3.438243,2.373777,136,391,-0.746492,-0.001909
PSG,ZEN,both,9.557171,0.118793,3,347,0.531043,0.001530
ROSE,ZEN,both,4.018794,0.544551,37,351,0.400446,0.001141
RUNE,ZEN,both,2.728083,1.434261,116,328,-0.714928,-0.002180
SKL,ZEN,both,4.258170,0.361763,18,337,1.208021,0.003585
TUSD,ZEN,both,2.389078,1.936062,189,409,-2.156302,-0.005272
USDC,ZEN,both,2.274978,1.770875,183,419,-1.985863,-0.004740
UTK,ZEN,both,2.864420,1.522776,91,327,1.701509,0.005203
XVS,ZEN,both,5.062401,5.034084,78,325,-0.866599,-0.002666
AVA,ZIL,both,2.197956,0.241580,34,339,0.675405,0.001992
GRT,ZIL,both,3.642971,0.147369,5,283,-2.177399,-0.007694
LRC,ZIL,both,2.283794,2.014768,186,282,-0.769530,-0.002729
ROSE,ZIL,both,2.792398,0.423061,39,322,-0.781258,-0.002426
COMP,ZRX,both,2.093298,1.256746,164,271,-3.310991,-0.012218
JST,ZRX,both,2.134920,0.877423,115,256,-3.215549,-0.012561
