Date,PAXG,1INCH,KNC,RIF,PSG,KMD,ASR,CHZ,OG,MDT
2022-12-21 13:00:00,756.4878563700373,432.79544269743496,236.25250972803744,234.60984671408048,178.95793629697965,197.49424745400614,185.8494720172473,175.22581985563158,144.4970617356445,143.6950884724528
2022-12-21 14:00:00,756.4878563700373,432.79544269743496,236.25250972803744,234.60984671408048,178.95793629697965,197.05634446630322,185.43738893073453,175.22581985563158,144.176669137561,143.6950884724528
2022-12-21 15:00:00,757.3274655335998,432.79544269743496,236.25250972803744,234.60984671408048,178.95793629697965,197.27505295072748,185.64320179303274,175.22581985563158,144.33668763826856,143.6950884724528
2022-12-21 16:00:00,757.3274655335998,432.79544269743496,236.25250972803744,234.60984671408048,178.95793629697965,197.27505295072748,185.64320179303274,175.22581985563158,144.33668763826856,143.6950884724528
2022-12-21 17:00:00,752.3175815278651,432.79544269743496,236.25250972803744,234.60984671408048,178.95793629697965,195.9700360624096,184.41513210090685,175.22581985563158,143.38186941794928,143.6950884724528
2022-12-21 18:00:00,754.8142106701035,432.79544269743496,236.25250972803744,234.60984671408048,178.95793629697965,196.62037910243967,184.41513210090685,175.22581985563158,143.38186941794928,143.6950884724528
2022-12-21 19:00:00,750.6623173220836,432.79544269743496,237.55921608715255,234.60984671408048,178.95793629697965,195.53885886535267,184.41513210090685,175.22581985563158,143.38186941794928,143.6950884724528
2022-12-21 20:00:00,754.8142106701035,430.4148297012997,236.25250972803744,233.31936350883262,178.95793629697965,196.62037910243967,184.41513210090685,175.22581985563158,143.38186941794928,143.6950884724528
2022-12-21 21:00:00,751.4890379358741,432.31932009820804,237.2978748153296,234.35175007303096,178.95793629697965,195.75421003150385,184.41513210090685,175.22581985563158,143.38186941794928,143.6950884724528
2022-12-21 22:00:00,751.4890379358741,432.31932009820804,237.2978748153296,234.35175007303096,178.95793629697965,195.75421003150385,184.41513210090685,175.22581985563158,143.38186941794928,143.6950884724528
2022-12-21 23:00:00,751.4890379358741,434.2238104951165,238.34323990262183,235.38413663722937,178.95793629697965,194.89563893487443,184.41513210090685,175.22581985563158,143.38186941794928,143.6950884724528
2022-12-22 00:00:00,751.4890379358741,434.2238104951165,238.34323990262183,235.38413663722937,178.95793629697965,194.89563893487443,184.41513210090685,175.22581985563158,143.38186941794928,143.6950884724528
2022-12-22 01:00:00,751.4890379358741,431.36707489975385,236.77519227168347,233.83555679093178,178.95793629697965,196.18633853046967,184.41513210090685,175.22581985563158,143.38186941794928,143.6950884724528
2022-12-22 02:00:00,751.4890379358741,431.36707489975385,236.77519227168347,233.83555679093178,178.95793629697965,196.18633853046967,184.41513210090685,175.22581985563158,143.38186941794928,143.6950884724528
2022-12-22 03:00:00,751.4890379358741,431.36707489975385,236.51385099986047,233.5774601498822,178.95793629697965,196.4031190150337,184.41513210090685,175.22581985563158,143.38186941794928,143.6950884724528
2022-12-22 04:00:00,751.4890379358741,431.36707489975385,238.08189863079883,235.12603999617986,178.95793629697965,195.1095748722343,184.41513210090685,175.22581985563158,143.38186941794928,143.6950884724528
2022-12-22 05:00:00,751.4890379358741,431.36707489975385,236.77519227168347,233.83555679093178,178.95793629697965,195.1095748722343,184.41513210090685,175.22581985563158,142.59492172630294,143.6950884724528
2022-12-22 06:00:00,751.4890379358741,431.36707489975385,236.51385099986047,233.5774601498822,178.95793629697965,194.89422214058723,184.41513210090685,175.22581985563158,142.43753218797372,143.6950884724528
2022-12-22 07:00:00,751.4890379358741,431.36707489975385,236.25250972803744,233.31936350883262,178.95793629697965,194.6788694089402,184.41513210090685,175.22581985563158,142.2801426496445,143.6950884724528
2022-12-22 08:00:00,751.4890379358741,431.36707489975385,237.2978748153296,234.35175007303096,178.95793629697965,195.54028033552842,184.41513210090685,175.22581985563158,142.90970080296148,143.6950884724528
2022-12-22 09:00:00,751.4890379358741,431.36707489975385,237.2978748153296,235.38413663722937,178.95793629697965,196.40169126211666,184.41513210090685,175.22581985563158,143.5392589562785,143.6950884724528
2022-12-22 10:00:00,751.4890379358741,431.36707489975385,237.2978748153296,237.19081312457658,178.95793629697965,197.9091603836461,184.41513210090685,175.22581985563158,144.6409857245833,143.6950884724528
2022-12-22 11:00:00,751.4890379358741,431.36707489975385,237.2978748153296,236.41652320142776,178.95793629697965,197.2631021887049,184.41513210090685,175.22581985563158,144.1688171095955,143.6950884724528
2022-12-22 12:00:00,751.4890379358741,431.36707489975385,237.2978748153296,237.19081312457658,178.95793629697965,197.9091603836461,184.41513210090685,175.22581985563158,144.6409857245833,143.6950884724528
2022-12-22 13:00:00,737.5877173211733,431.36707489975385,232.90825145095454,232.8031702267334,178.95793629697965,194.24816394564607,184.41513210090685,175.22581985563158,141.96536357298595,141.03696387611794
2022-12-22 14:00:00,737.5877173211733,431.36707489975385,232.90825145095454,232.8031702267334,178.95793629697965,194.24816394564607,184.41513210090685,175.22581985563158,141.96536357298595,141.03696387611794
2022-12-22 15:00:00,740.858616289338,431.36707489975385,233.94110400727808,232.8031702267334,178.95793629697965,195.1095748722343,184.41513210090685,175.22581985563158,141.96536357298595,141.6624049576085
2022-12-22 16:00:00,736.7699925791322,431.36707489975385,232.65003831187371,231.5183845190804,178.95793629697965,194.03281121399908,184.41513210090685,175.22581985563158,141.96536357298595,140.88060360574534
2022-12-22 17:00:00,731.8636441268845,431.36707489975385,231.10075947738832,229.97664166989662,178.95793629697965,192.7406948241166,184.41513210090685,174.05894425170942,141.96536357298595,139.94244198350944
2022-12-22 18:00:00,733.4990936109674,431.36707489975385,231.61718575555022,230.490555952958,178.95793629697965,193.17140028741085,184.41513210090685,174.44790278635023,141.96536357298595,140.25516252425479
2022-12-22 19:00:00,745.7649647415853,431.36707489975385,235.4903828417634,234.3449130759171,178.95793629697965,196.40169126211666,184.41513210090685,177.36509179615535,141.96536357298595,142.6005665798443
2022-12-22 20:00:00,744.9472399995445,431.36707489975385,235.23216970268257,234.08795593438654,178.95793629697965,196.18633853046967,184.41513210090685,177.17061252883508,141.96536357298595,142.44420630947172
