Date,PAXG,ASR,ATM,DCR,1INCH,NMR,MDT,SNX,OG,STRAX
2022-02-17 14:00:00,13.43722302777307,19.089971868856157,18.970582759013276,11.023642371955772,8.797813974270113,8.648930335311585,8.887491125817725,12.863959649323446,6.94857478832925,12.38057849842944
2022-02-17 15:00:00,13.216611903436497,19.089971868856157,19.287238920392866,11.207648542049116,8.944666711321661,8.648930335311585,8.741577092408779,12.863959649323446,6.94857478832925,12.587234588691539
2022-02-17 16:00:00,13.341062109683545,19.089971868856157,19.10732064688174,11.103099581768806,8.861227656178736,8.648930335311585,8.82388949440886,12.863959649323446,6.94857478832925,12.469816355588073
2022-02-17 17:00:00,13.623276885080697,19.089971868856157,18.71150044515726,10.873091869152127,8.677661734864298,8.648930335311585,9.010548695252124,12.863959649323446,6.94857478832925,12.211496242760449
2022-02-17 18:00:00,13.712938405423854,19.089971868856157,18.71150044515726,10.801998576161516,8.620923177367107,8.648930335311585,9.069851570908062,12.863959649323446,6.94857478832925,12.13165184425009
2022-02-17 19:00:00,13.830737954396643,19.089971868856157,18.87223961337024,10.70999549111485,8.547496808841338,8.648930335311585,9.147765172844794,12.863959649323446,6.94857478832925,12.028323799119045
2022-02-17 20:00:00,13.98914688041461,19.089971868856157,19.088390856967287,10.588718697189693,8.450707504875544,8.648930335311585,9.252538154682272,12.863959649323446,6.94857478832925,11.892118648719029
2022-02-17 21:00:00,14.123014314676954,19.089971868856157,19.27105488430669,10.488351695320594,8.370606011938333,8.731695218903086,9.34107918965531,12.863959649323446,6.94857478832925,11.892118648719029
2022-02-17 22:00:00,14.027928673746455,18.961445325580687,19.14130916825393,10.559444988311204,8.370606011938333,8.672907567924332,9.278188755507136,12.863959649323446,6.94857478832925,11.892118648719029
2022-02-17 23:00:00,14.100525438379703,19.059573824478996,19.240368491178813,10.505079528965439,8.370606011938333,8.71779124562458,9.32620485973548,12.863959649323446,6.94857478832925,11.892118648719029
2022-02-18 00:00:00,14.022375257802775,18.953938815158843,19.133731452827075,10.505079528965439,8.370606011938333,8.669474112830144,9.27451567999031,12.863959649323446,6.94857478832925,11.826208252407836
2022-02-18 01:00:00,13.983624122072568,18.901559197430412,19.080854974276036,10.505079528965439,8.370606011938333,8.645515834587028,9.24888535635828,12.863959649323446,6.94857478832925,11.793526271449739
2022-02-18 02:00:00,13.983624122072568,18.901559197430412,19.080854974276036,10.505079528965439,8.370606011938333,8.645515834587028,9.24888535635828,12.863959649323446,6.94857478832925,11.793526271449739
2022-02-18 03:00:00,13.961576626413017,18.871757763930333,19.0507708513367,10.505079528965439,8.370606011938333,8.631884749313738,9.234302959265088,12.863959649323446,6.94857478832925,11.774931827190462
2022-02-18 04:00:00,13.923160338525866,18.81983075750442,18.998351277453303,10.505079528965439,8.370606011938333,8.608133494107287,9.234302959265088,12.863959649323446,6.94857478832925,11.74253225062193
2022-02-18 05:00:00,13.56588276568741,18.33690135851829,18.510840922957186,10.505079528965439,8.370606011938333,8.387243052090753,8.997344591486168,12.863959649323446,6.94857478832925,11.441211047714365
2022-02-18 06:00:00,13.702328781899347,18.33690135851829,18.510840922957186,10.400471306922894,8.2872526008658,8.387243052090753,8.997344591486168,12.863959649323446,6.879381780096177,11.441211047714365
2022-02-18 07:00:00,13.628518623012623,18.33690135851829,18.510840922957186,10.456798811099652,8.332135206827935,8.342063597404614,8.997344591486168,12.863959649323446,6.916639553760142,11.441211047714365
2022-02-18 08:00:00,13.67587640973351,18.33690135851829,18.510840922957186,10.420588272700314,8.303282102995132,8.371051463187097,8.997344591486168,12.863959649323446,6.892688127833311,11.441211047714365
2022-02-18 09:00:00,13.744866085063947,18.33690135851829,18.510840922957186,10.368284161679037,8.261605397458863,8.413280283141088,8.952184174617704,12.863959649323446,6.858091623716774,11.441211047714365
2022-02-18 10:00:00,13.841547440879172,18.33690135851829,18.510840922957186,10.295863084880345,8.203899189793256,8.472459276926372,8.889654366645983,12.863959649323446,6.810188771863104,11.441211047714365
2022-02-18 11:00:00,13.712938405423854,18.508876986734165,18.510840922957186,10.392424520611925,8.280840800014058,8.393737239510102,8.973027443941604,12.863959649323446,6.874059241001325,11.548514316626102
2022-02-18 12:00:00,13.712938405423854,18.17209138147806,18.510840922957186,10.203325042304238,8.130163479998314,8.549299404437933,8.809755167571005,12.863959649323446,6.748979572272303,11.338378748340608
2022-02-18 13:00:00,13.712938405423854,18.129097474424096,18.510840922957186,10.179184683371334,8.110928077443111,8.569574422788383,8.788911898247095,12.863959649323446,6.733011954987743,11.338378748340608
2022-02-18 14:00:00,13.712938405423854,18.129097474424096,18.510840922957186,9.941804487197858,7.92177995231697,8.774189918921326,8.583953083228687,12.863959649323446,6.575997051689614,11.338378748340608
2022-02-18 15:00:00,13.657666585974338,18.129097474424096,18.510840922957186,9.982038418752687,7.953838956575641,8.738824381158643,8.618691865435201,12.863959649323446,6.602609747163875,11.338378748340608
2022-02-18 16:00:00,13.67972176011398,18.129097474424096,18.510840922957186,9.96594484613076,7.941015354872176,8.752936330098743,8.604796352552599,12.84321969019516,6.591964668974173,11.338378748340608
2022-02-18 17:00:00,13.553868319920927,18.129097474424096,18.510840922957186,10.058482888706866,8.014751064667115,8.672409315861833,8.684695551627575,12.962474455182845,6.653173868564972,11.338378748340608
2022-02-18 18:00:00,12.686136577986646,18.129097474424096,18.510840922957186,10.74648311829441,8.562960037490342,8.11719329451688,9.278728727358898,13.849107707917357,7.1082509611748135,11.338378748340608
2022-02-18 19:00:00,12.23492617929375,17.4842961790028,17.85246208069552,10.364260768523552,8.258399497032995,8.416546308095725,8.948710296397051,13.356533678620412,6.8554303541693455,10.935104326366684
2022-02-18 20:00:00,12.239675762437878,17.49108356105986,17.85939238429828,10.368284161679028,8.261605397458856,8.413280283141095,8.952184174617697,13.361718668402478,6.858091623716768,10.939349320282192
2022-02-18 21:00:00,12.225427013005477,17.47072141488867,17.838601473490023,10.356213982212585,8.251987696181258,8.423085971116778,8.941762539955748,13.346163699056264,6.850107815074494,10.926614338535652
2022-02-18 22:00:00,12.225427013005477,17.253525189062547,17.61683175820188,10.227465401237135,8.149398882553518,8.529120098211877,8.830598436894915,13.180244026029921,6.764947189556861,10.790774533239171
2022-02-18 23:00:00,12.225427013005477,17.443571886660408,17.810880259079006,10.340120409590655,8.239164094477792,8.436195832550423,8.927867027073145,13.325423739927972,6.839462736884791,10.909634362873593
2022-02-19 00:00:00,12.225427013005477,17.368910684032677,17.734646919448707,10.295863084880345,8.203899189793256,8.472459276926372,8.889654366645983,13.268388852325169,6.810188771863104,10.862939429802928
2022-02-19 01:00:00,12.225427013005477,17.226375660834293,17.58911054379087,10.211371828615212,8.136575280850057,8.542562367870206,8.816702924012315,13.159504066901638,6.754302111367161,10.773794557577117
2022-02-19 02:00:00,12.225427013005477,17.21958827877722,17.582180240188112,10.207348435459727,8.133369380424188,8.54592955839755,8.813229045791664,13.154319077119561,6.754302111367161,10.7695495636616
2022-02-19 03:00:00,12.225427013005477,17.212800896720157,17.57524993658536,10.203325042304247,8.130163479998323,8.549299404437926,8.809755167571014,13.149134087337492,6.754302111367161,10.765304569746087
2022-02-19 04:00:00,12.225427013005477,17.19243875054896,17.5544590257771,10.1912548628378,8.120545778720723,8.559424907088266,8.799333532909062,13.133579117991275,6.754302111367161,10.752569587999544
2022-02-19 05:00:00,12.225427013005477,17.19243875054896,17.5544590257771,10.1912548628378,8.120545778720723,8.559424907088266,8.799333532909062,13.133579117991275,6.754302111367161,10.752569587999544
2022-02-19 06:00:00,12.225427013005477,17.19243875054896,17.5544590257771,10.1912548628378,8.120545778720723,8.532476698014397,8.799333532909062,13.133579117991275,6.7330370909457,10.752569587999544
2022-02-19 07:00:00,12.225427013005477,17.19243875054896,17.5544590257771,10.1912548628378,8.120545778720723,8.593350491341493,8.799333532909062,13.133579117991275,6.781073027385267,10.752569587999544
2022-02-19 08:00:00,12.225427013005477,17.19243875054896,17.5544590257771,10.1912548628378,8.120545778720723,8.569574422788376,8.799333532909062,13.133579117991275,6.762311165254162,10.752569587999544
2022-02-19 09:00:00,12.225427013005477,17.19243875054896,17.5544590257771,10.1912548628378,8.120545778720723,8.400241491536066,8.799333532909062,13.133579117991275,6.62868936384852,10.752569587999544
2022-02-19 10:00:00,12.225427013005477,16.77944719590579,17.5544590257771,10.1912548628378,7.925476488414375,8.60699614515863,8.799333532909062,12.818088259674553,6.7918409083338735,10.494274619206065
2022-02-19 11:00:00,12.225427013005477,16.87270335340587,17.5544590257771,10.1912548628378,7.969524392677105,8.559424907088273,8.799333532909062,12.88932813090737,6.7918409083338735,10.552599289578792
2022-02-19 12:00:00,12.225427013005477,17.139149517691777,17.5544590257771,10.1912548628378,8.095375547713452,8.426359615100896,8.938288661735106,13.092870620143955,6.7918409083338735,10.719241204929418
2022-02-19 13:00:00,12.225427013005477,17.199099904656105,17.5544590257771,10.1912548628378,8.12369205759663,8.39698810598552,8.969553565720961,13.138667680222186,6.7918409083338735,10.756735635883306
2022-02-19 14:00:00,12.225427013005477,17.005926435548805,17.5544590257771,10.1912548628378,8.032449970195271,8.492371049610115,8.868811097322078,12.99109937552565,6.7918409083338735,10.635920247254093
2022-02-19 15:00:00,12.225427013005477,17.052554514298848,17.5544590257771,10.1912548628378,8.054473922326634,8.469149722521335,8.89312824486664,13.026719311142058,6.7918409083338735,10.665082582440458
2022-02-19 16:00:00,12.225427013005477,17.025909897870257,17.5544590257771,10.1912548628378,8.041888806823,8.48240347795564,8.879232731984033,13.006365062218396,6.7918409083338735,10.648418390905395
2022-02-19 17:00:00,12.225427013005477,17.23240567519185,17.5544590257771,10.1912548628378,8.041888806823,8.380758905935297,8.986922956824218,13.164110491376762,6.7918409083338735,10.777565875302137
2022-02-19 18:00:00,12.225427013005477,16.93265374037019,17.5544590257771,10.1912548628378,8.041888806823,8.529120098211884,8.830598436894922,12.935125190985593,6.7918409083338735,10.590093720532677
2022-02-19 19:00:00,12.225427013005477,16.74614142537006,17.5544590257771,10.1912548628378,8.041888806823,8.624114275916705,8.7333298467167,12.792645448519986,6.7918409083338735,10.590093720532677
2022-02-19 20:00:00,12.225427013005477,16.74614142537006,17.5544590257771,10.223788796956994,8.041888806823,8.651645366981082,8.70553882095149,12.792645448519986,6.7918409083338735,10.590093720532677
2022-02-19 21:00:00,12.225427013005477,16.74614142537006,17.5544590257771,10.187202674025537,8.041888806823,8.651645366981082,8.736803724937351,12.792645448519986,6.7918409083338735,10.590093720532677
2022-02-19 22:00:00,12.225427013005477,16.74614142537006,17.5544590257771,10.1912548628378,8.041888806823,8.651645366981082,8.7333298467167,12.792645448519986,6.794542515695981,10.590093720532677
2022-02-19 23:00:00,12.225427013005477,16.74614142537006,17.5544590257771,10.19531027663121,8.041888806823,8.651645366981082,8.7333298467167,12.792645448519986,6.797246273163429,10.590093720532677
2022-02-20 00:00:00,12.274270109341892,16.74614142537006,17.5544590257771,10.236042638903006,8.041888806823,8.651645366981082,8.7333298467167,12.792645448519986,6.824402670579188,10.632403323890783
2022-02-20 01:00:00,12.393101284260895,16.74614142537006,17.5544590257771,10.335141075100536,8.041888806823,8.568689118955694,8.7333298467167,12.792645448519986,6.890471917894196,10.73533905594943
