Date,OG,CKB,ASR,PSG,FUN,DCR,DENT,ZRX,ADA,SUSHI
2021-04-07 15:00:00,509.1804784283669,1317.5273043626091,348.44927713412585,461.92187642303645,746.7461744209077,1378.6498931828228,1347.0452394270117,832.6288082627591,865.2074059884098,867.6417016537118
2021-04-07 16:00:00,509.1804784283669,1255.0365356231816,365.7992606419743,484.9218866505484,711.3277490582815,1378.6498931828228,1347.0452394270117,832.6288082627591,824.1703240697028,826.4891602625823
2021-04-07 17:00:00,503.09778292498373,1255.0365356231816,361.4294043491415,479.12898549980974,719.9280455562559,1378.6498931828228,1347.0452394270117,832.6288082627591,834.1349418724176,836.481813916303
2021-04-07 18:00:00,511.70841913652964,1255.0365356231816,367.6153531301367,487.3293901379695,707.8136494139477,1378.6498931828228,1347.0452394270117,832.6288082627591,820.0987598062279,822.4061404900943
2021-04-07 19:00:00,495.39795599177813,1255.0365356231816,355.8977881176405,471.79599697900557,731.117678634266,1378.6498931828228,1347.0452394270117,832.6288082627591,847.0996596587455,849.4830084550152
2021-04-07 20:00:00,475.49062038011397,1255.0365356231816,341.59620163385534,452.8370950729658,761.7273360625408,1378.6498931828228,1347.0452394270117,832.6288082627591,882.5651273221712,885.0482596311609
2021-04-07 21:00:00,480.03630837982587,1255.0365356231816,341.59620163385534,457.16621548180166,754.5141841610135,1378.6498931828228,1334.2894389322553,832.6288082627591,874.207705939249,876.6673243086854
2021-04-07 22:00:00,488.96582273046175,1255.0365356231816,347.950488031289,465.67030613183755,740.7352145029686,1378.6498931828228,1309.9225892691954,832.6288082627591,858.2428881693081,860.6575888849824
2021-04-07 23:00:00,481.15678624950834,1255.0365356231816,342.39353920523644,458.23331107076393,752.7571343388471,1378.6498931828228,1331.182256760456,832.6288082627591,872.1719238075118,874.6258144224416
2021-04-08 00:00:00,481.15678624950834,1255.0365356231816,342.39353920523644,458.23331107076393,752.7571343388471,1378.6498931828228,1331.182256760456,832.6288082627591,872.1719238075118,874.6258144224416
2021-04-08 01:00:00,487.86948680505697,1255.0365356231816,342.39353920523644,458.23331107076393,742.3997880187057,1378.6498931828228,1331.182256760456,832.6288082627591,860.1715238730596,862.5916508824768
2021-04-08 02:00:00,485.69149802467746,1255.0365356231816,343.9289362420311,458.23331107076393,745.7289350501794,1378.6498931828228,1331.182256760456,832.6288082627591,864.0287952805619,866.4597748774652
2021-04-08 03:00:00,472.05209594684806,1255.0365356231816,353.86636706350856,458.23331107076393,745.7289350501794,1378.6498931828228,1331.182256760456,832.6288082627591,888.9939130013421,891.4951329561421
2021-04-08 04:00:00,483.2345761962984,1284.7671975404735,345.6775828672697,447.6293824549285,745.7289350501794,1378.6498931828228,1362.716740819433,832.6288082627591,868.4217988279954,870.8651383162025
2021-04-08 05:00:00,470.0691598740997,1249.7645386540491,355.3591141826146,460.1663188913589,745.7289350501794,1378.6498931828228,1325.590396584434,832.6288082627591,892.7440379808585,895.2558090623811
2021-04-08 06:00:00,466.4859742819197,1240.2379866681204,358.08870891469417,463.7009617633041,745.7289350501794,1378.6498931828228,1315.4858485399598,832.6288082627591,899.6014093719741,902.1324739423611
2021-04-08 07:00:00,468.2707125862026,1244.9830387452819,356.7239115486544,461.93364032733155,745.7289350501794,1378.6498931828228,1320.518792962877,832.6288082627591,896.1727236764162,898.694141502371
2021-04-08 08:00:00,484.2502769622897,1287.467623153504,344.952534266561,446.6904929420679,745.7289350501794,1378.6498931828228,1365.5810069660618,832.6288082627591,866.6003095522301,869.0385242074575
