week_start,coin_top_1,coin_top_1_count,coin_top_2,coin_top_2_count,coin_top_3,coin_top_3_count,coin_top_4,coin_top_4_count,coin_top_5,coin_top_5_count,coin_top_6,coin_top_6_count,coin_top_7,coin_top_7_count,coin_top_8,coin_top_8_count,coin_top_9,coin_top_9_count,coin_top_10,coin_top_10_count,total_trades_week,active_coins_week
2024-11-11,RUNE,1501,BEAMX,1405,TIA,1387,FXS,1107,CYBER,922,OP,898,MEME,797,GNS,796,ORDI,681,WLD,476,22138,213
2024-11-18,TIA,1617,BEAMX,1231,RUNE,1212,FXS,1132,OP,1019,CYBER,926,ORDI,749,GNS,742,GMX,495,MEME,467,21651,214
2024-11-25,TIA,1735,RUNE,1338,BEAMX,1229,FXS,1073,CYBER,961,OP,931,ORDI,873,GNS,872,MEME,715,WLD,558,22912,213
2024-12-02,RUNE,2157,BEAMX,1699,TIA,1384,CYBER,1190,FXS,1189,OP,988,GNS,968,ORDI,835,MEME,733,GMX,576,24797,214
2024-12-09,BEAMX,1119,RUNE,992,TIA,848,FXS,723,OP,719,CYBER,711,GNS,476,MEME,379,ORDI,368,GMX,367,15360,214
2024-12-16,RUNE,899,BEAMX,841,FXS,563,TIA,560,OP,520,ORDI,446,GNS,436,CYBER,432,MEME,299,PIVX,274,12591,211
2024-12-23,FXS,1543,BEAMX,765,RUNE,732,TIA,630,OP,451,GNS,441,CYBER,394,PIVX,323,MEME,317,ORDI,305,12201,207
2024-12-30,FXS,1208,RUNE,1009,TIA,912,BEAMX,763,OP,632,CYBER,596,ORDI,548,GNS,527,MEME,385,ARK,380,14995,211
2025-01-06,TIA,1240,RUNE,1006,BEAMX,621,FXS,578,CYBER,512,ARK,442,ORDI,435,OP,401,GNS,390,WLD,355,13808,206
2025-01-13,RUNE,1273,TIA,1221,BEAMX,867,FXS,803,CYBER,776,GNS,770,OP,707,ORDI,570,MEME,485,GMX,412,17458,206
2025-01-20,RUNE,1487,TIA,727,BEAMX,705,CYBER,580,FXS,539,OP,510,ORDI,451,MEME,397,WLD,369,GNS,365,14281,204
2025-01-27,RUNE,1234,BEAMX,907,TIA,832,FXS,793,CYBER,708,OP,627,ORDI,596,GNS,510,GMX,417,MEME,372,15275,205
2025-02-03,RUNE,1308,TIA,745,BEAMX,593,GNS,578,FXS,521,OP,488,MEME,384,CYBER,351,GMX,351,ORDI,309,12043,205
2025-02-10,RUNE,1250,TIA,781,BEAMX,723,CYBER,630,FXS,600,GNS,535,ORDI,515,OP,499,GMX,485,MEME,382,14033,206
2025-02-17,RUNE,1561,TIA,1397,ORDI,959,FXS,949,BEAMX,888,GNS,834,OP,812,CYBER,787,MEME,481,ARK,466,19017,206
2025-02-24,RUNE,1597,TIA,1235,FXS,1081,OP,892,BEAMX,842,ORDI,836,CYBER,657,GNS,627,MEME,517,WLD,470,18308,206
2025-03-03,RUNE,1425,TIA,877,FXS,709,ORDI,649,OP,554,BEAMX,519,CYBER,448,GNS,433,MEME,345,WLD,332,13926,203
2025-03-10,RUNE,1451,TIA,1203,FXS,845,BEAMX,702,ORDI,583,GNS,505,OP,454,CYBER,441,GMX,404,MEME,350,14781,203
2025-03-17,RUNE,1700,FXS,1521,TIA,1330,BEAMX,1306,CYBER,868,OP,682,ORDI,635,GNS,626,MEME,510,ARK,463,19495,206
2025-03-24,BEAMX,1522,RUNE,1311,TIA,1206,FXS,1130,OP,727,ORDI,689,CYBER,677,GNS,602,MEME,509,GMX,417,19204,206
2025-03-31,RUNE,1345,TIA,1219,FXS,1013,BEAMX,881,CYBER,717,OP,648,GNS,595,ORDI,539,MEME,451,GMX,418,17417,206
2025-04-07,RUNE,1311,BEAMX,1055,TIA,1012,FXS,821,CYBER,738,GNS,679,OP,656,ORDI,578,ARK,525,GMX,461,17804,206
2025-04-14,RUNE,1356,TIA,1056,FXS,968,CYBER,877,BEAMX,865,MEME,769,GNS,672,OP,620,ORDI,601,ARK,521,17898,206
2025-04-21,BEAMX,1583,RUNE,1571,TIA,1427,FXS,1336,CYBER,910,OP,889,GNS,775,ORDI,767,MEME,634,WLD,550,23011,206
2025-04-28,RUNE,1703,FXS,1317,BEAMX,1196,TIA,969,CYBER,851,OP,791,GNS,710,ORDI,682,MEME,619,WLD,526,20206,206
2025-05-05,RUNE,1663,TIA,1565,BEAMX,1204,FXS,1146,CYBER,1054,OP,820,ORDI,814,GNS,760,MEME,637,WLD,510,21660,206
2025-05-12,RUNE,1280,TIA,951,FXS,925,GNS,743,ORDI,740,CYBER,739,BEAMX,734,OP,646,MEME,547,IOTX,385,17521,206
2025-05-19,FXS,1322,RUNE,1238,TIA,893,CYBER,794,ORDI,658,BEAMX,612,GNS,516,OP,512,WLD,404,VANRY,328,15095,203
2025-05-26,RUNE,1372,FXS,1067,BEAMX,823,CYBER,823,TIA,749,OP,745,GNS,673,ORDI,539,IOTX,474,WLD,423,16678,205
2025-06-02,RUNE,1099,FXS,838,BEAMX,732,TIA,718,CYBER,710,OP,620,GNS,533,GMX,419,ORDI,377,WLD,348,14489,206
2025-06-09,RUNE,1224,TIA,1084,FXS,1017,CYBER,993,GNS,746,OP,720,BEAMX,669,ORDI,517,MEME,444,GMX,435,17417,206
2025-06-16,RUNE,1086,CYBER,1022,FXS,982,TIA,853,BEAMX,719,OP,570,ORDI,424,MEME,414,WLD,404,GNS,376,16361,205
2025-06-23,RUNE,1107,BEAMX,1061,GNS,1027,TIA,1001,FXS,764,CYBER,696,OP,547,MEME,455,ORDI,420,SEI,416,16568,206
2025-06-30,BEAMX,1285,TIA,1247,RUNE,1230,FXS,950,CYBER,867,GNS,725,OP,577,MEME,518,ARK,489,ORDI,463,19266,206
2025-07-07,TIA,1581,RUNE,1282,FXS,1199,BEAMX,1192,CYBER,1134,GNS,1106,OP,743,ORDI,613,MEME,504,GMX,474,20985,206
2025-07-14,FXS,1783,RUNE,1372,TIA,1299,CYBER,1152,BEAMX,1116,OP,837,GNS,800,ORDI,795,MEME,564,WLD,508,21183,206
2025-07-21,FXS,1202,BEAMX,1158,RUNE,908,TIA,878,CYBER,800,OP,674,GNS,604,ORDI,557,MEME,400,WLD,333,17073,206
2025-07-28,CYBER,848,FXS,847,GNS,763,RUNE,703,TIA,702,MEME,542,OP,459,BEAMX,445,GMX,368,IOTX,316,13006,198
2025-08-04,BEAMX,1051,FXS,836,RUNE,800,GNS,766,CYBER,762,TIA,718,OP,616,GMX,462,ORDI,425,IOTX,366,15050,205
2025-08-11,RUNE,1339,BEAMX,1027,TIA,1023,CYBER,937,FXS,877,OP,718,GNS,701,MEME,672,ORDI,459,GMX,404,17576,205
2025-08-18,CYBER,1088,MEME,953,RUNE,935,FXS,916,BEAMX,884,GNS,783,TIA,766,OP,604,ORDI,511,NTRN,367,16889,204
2025-08-25,MEME,474,RUNE,471,CYBER,464,TIA,388,GNS,366,FXS,362,BEAMX,355,NTRN,289,ARK,245,OP,241,8662,200
