Date,BNB,DOT,NEO,COTI,SUSHI,EGLD,FLM,BNT,DASH,AVA
2022-07-02 07:00:00,2807.6048947310583,1101.7408953542106,1072.2847989961335,1124.7934373117112,1041.0120944819002,748.530942130846,599.0582744583855,651.9850570679519,718.272710343795,753.080590909281
2022-07-02 08:00:00,2799.912826526316,1098.7224271477608,1069.3470324235413,1121.7118114560628,1038.160006551813,748.530942130846,597.4170189119243,650.1987966376288,716.3048399044972,751.0173564136393
2022-07-02 09:00:00,2782.7588337157395,1091.990975926297,1062.7955529873182,1114.8395130877138,1031.7995980705562,748.530942130846,593.7568737994618,646.2152778018639,711.9163146770359,746.4161609012344
2022-07-02 10:00:00,2796.082576421629,1097.2193868917445,1067.8841773860263,1120.1773219739068,1036.7398150243823,748.530942130846,596.5997589681323,649.3093317995472,715.3249427226853,749.9899728891337
2022-07-02 11:00:00,2771.439136765032,1087.5489787360887,1058.4723168395733,1110.3045726954927,1027.6024471631506,748.530942130846,591.3415916009557,643.5866054853817,709.0203839054684,743.3798917721447
2022-07-02 12:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,700.4722479976997,734.4175086161509
2022-07-02 13:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,702.3539733113267,736.3904233471546
2022-07-02 14:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,704.2458358657009,738.373966575026
2022-07-02 15:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,698.6005786643725,732.4551371836428
2022-07-02 16:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,693.0451068658487,726.6304442438126
2022-07-02 17:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,695.8117539990458,729.5311645801155
2022-07-02 18:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,698.6005786643725,732.4551371836428
2022-07-02 19:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,700.0033910713291,733.9259306318028
2022-07-02 20:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,695.8117539990458,729.5311645801155
2022-07-02 21:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,698.6005786643725,732.4551371836428
2022-07-02 22:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,703.2986323204881,737.3808610382739
2022-07-02 23:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,705.195594241784,739.3697507511216
2022-07-03 00:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,712.4012712946632,746.9246187765076
2022-07-03 01:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,709.0203839054684,743.3798917721447
2022-07-03 02:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,708.5400177917112,742.8762468590198
2022-07-03 03:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,709.0203839054684,743.3798917721447
2022-07-03 04:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,723.2400181608339,758.2886171258045
2022-07-03 05:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,709.9830728177636,744.3892331051687
2022-07-03 06:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,709.9830728177636,744.3892331051687
2022-07-03 07:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,709.9830728177636,744.3892331051687
2022-07-03 08:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.2122221107901,635.8273563904474,709.9830728177636,744.3892331051687
2022-07-03 09:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,583.8134424369944,635.8273563904474,709.9830728177636,744.3892331051687
2022-07-03 10:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,581.4321503536346,635.8273563904474,709.9830728177636,744.3892331051687
2022-07-03 11:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,584.6115469379333,635.8273563904474,709.9830728177636,744.3892331051687
2022-07-03 12:00:00,2738.0259388669933,1074.4372027031015,1045.7110966767384,1096.918449247054,1015.2134022542847,748.530942130846,589.8528918415149,635.8273563904474,709.9830728177636,744.3892331051687
