trading_coin,reference_coin,trade_type,time_entered,time_exited,log_return
RUNE,HOT,short,2024-05-20 19:00:00,2024-05-23 14:00:00,0.1461773388654213
RUNE,HOT,long,2024-05-24 08:00:00,2024-05-25 20:00:00,0.0713195060270976
RUNE,HOT,long,2024-05-26 08:00:00,2024-05-27 12:00:00,0.0338667563591273
RUNE,HOT,short,2024-05-27 16:00:00,2024-05-29 21:00:00,0.0562890666314728
RUNE,HOT,short,2024-05-30 06:00:00,2024-05-30 13:00:00,-0.021459719692896
RUNE,HOT,short,2024-05-31 04:00:00,2024-06-02 08:00:00,0.032757915227385
RUNE,HOT,short,2024-06-02 18:00:00,2024-06-03 18:00:00,-0.022623503637821
RUNE,HOT,long,2024-06-04 07:00:00,2024-06-05 00:00:00,0.0390221740164025
RUNE,HOT,short,2024-06-05 16:00:00,2024-06-06 17:00:00,0.020163599497254
RUNE,HOT,long,2024-06-07 05:00:00,2024-06-07 18:00:00,-0.0887450495207063
RUNE,HOT,short,2024-06-08 00:00:00,2024-06-08 12:00:00,0.0167979118663421
RUNE,HOT,short,2024-06-09 07:00:00,2024-06-09 17:00:00,-0.0112761954071728
RUNE,HOT,short,2024-06-12 09:00:00,2024-06-12 12:00:00,-0.0663226429310724
RUNE,HOT,long,2024-06-12 12:00:00,2024-06-13 00:00:00,-0.0272981813729653
RUNE,HOT,short,2024-06-13 03:00:00,2024-06-13 11:00:00,-0.0089322558963313
RUNE,HOT,short,2024-06-13 16:00:00,2024-06-14 05:00:00,-0.0182995333169137
RUNE,HOT,short,2024-06-17 00:00:00,2024-06-18 01:00:00,0.1544706968975661
RUNE,HOT,long,2024-06-20 12:00:00,2024-06-21 02:00:00,-0.0194225758701898
RUNE,HOT,short,2024-06-24 17:00:00,2024-06-25 14:00:00,-0.0570045472419852
RUNE,HOT,short,2024-06-27 15:00:00,2024-06-27 21:00:00,-0.0223853629608001
RUNE,HOT,short,2024-06-28 07:00:00,2024-06-28 11:00:00,-0.0097466658522943
RUNE,HOT,long,2024-07-01 00:00:00,2024-07-01 08:00:00,-0.0040860530350721
RUNE,HOT,long,2024-07-02 10:00:00,2024-07-03 05:00:00,-0.0129529275606581
RUNE,HOT,short,2024-07-03 06:00:00,2024-07-04 00:00:00,0.0539194065758824
RUNE,HOT,long,2024-07-04 02:00:00,2024-07-05 07:00:00,-0.1690971827094266
RUNE,HOT,short,2024-07-05 12:00:00,2024-07-07 02:00:00,-0.0821576185781622
RUNE,HOT,short,2024-07-09 21:00:00,2024-07-10 06:00:00,-0.0337126229012671
RUNE,HOT,short,2024-07-11 15:00:00,2024-07-12 09:00:00,0.0317577014431675
RUNE,HOT,short,2024-07-12 23:00:00,2024-07-13 11:00:00,-0.0137705288107781
RUNE,HOT,short,2024-07-15 00:00:00,2024-07-15 02:00:00,-0.0212257041672453
RUNE,HOT,long,2024-07-15 03:00:00,2024-07-15 13:00:00,-0.0159841028351874
RUNE,HOT,long,2024-07-15 18:00:00,2024-07-16 01:00:00,0.0340417018014275
RUNE,HOT,short,2024-07-16 02:00:00,2024-07-16 18:00:00,0.0060277457975174
RUNE,HOT,long,2024-07-17 03:00:00,2024-07-19 07:00:00,0.0623825734825029
RUNE,HOT,short,2024-07-19 09:00:00,2024-07-19 13:00:00,-0.0274969821758439
RUNE,HOT,long,2024-07-19 14:00:00,2024-07-19 20:00:00,0.0002164267944819
RUNE,HOT,long,2024-07-20 06:00:00,2024-07-20 09:00:00,-0.0160551452512329
RUNE,HOT,long,2024-07-20 19:00:00,2024-07-21 02:00:00,0.0041254183921451
RUNE,HOT,long,2024-07-23 08:00:00,2024-07-24 10:00:00,0.0
RUNE,HOT,short,2024-07-25 08:00:00,2024-07-25 18:00:00,0.0164603229552876
RUNE,HOT,long,2024-07-26 06:00:00,2024-07-26 19:00:00,0.0208918278547397
RUNE,HOT,short,2024-07-27 07:00:00,2024-07-28 11:00:00,0.026743021393194
RUNE,HOT,long,2024-07-28 17:00:00,2024-07-29 01:00:00,-0.0043792493897594
RUNE,HOT,long,2024-07-29 04:00:00,2024-07-30 01:00:00,-0.0048682496401107
RUNE,HOT,short,2024-07-30 05:00:00,2024-07-30 11:00:00,-0.0059473412344894
RUNE,HOT,short,2024-07-30 16:00:00,2024-07-30 19:00:00,0.0097816234757133
RUNE,HOT,short,2024-07-31 10:00:00,2024-08-02 13:00:00,0.1118735647333572
RUNE,HOT,short,2024-08-04 11:00:00,2024-08-04 14:00:00,0.0220629628812729
RUNE,HOT,short,2024-08-04 19:00:00,2024-08-05 21:00:00,0.1206125321963947
RUNE,HOT,short,2024-08-07 15:00:00,2024-08-08 09:00:00,-0.0235767305639969
RUNE,HOT,short,2024-08-09 11:00:00,2024-08-09 22:00:00,0.0058596929422681
