trading_coin,reference_coin,trade_type,profit_factor,profit_factor_quantile,total_cumulative_return,max_drawdown,last_year_drawdown,num_trades,sharpe_ratio,drawdown_quantile,passes_filter_1_drawdown,passes_filter_2_return,passes_filter_3_trades,passes_filter_4_statistical,passes_filter_5_2022,passes_all_filters
AAVE,CTK,short,1.4270,0.0000,4.4341,-0.5985,-0.3802,304,1.3483,0.0000,True,True,True,True,False,False
FLM,MTL,short,1.4268,0.0000,3.7505,-0.5567,-0.3967,290,1.2035,0.0000,True,False,True,True,False,False
ETH,BAT,long,1.4264,0.0000,4.4916,-0.3791,-0.2437,384,1.4950,0.0000,True,True,True,True,True,True
BAL,KSM,short,1.4263,0.0000,3.2747,-0.5188,-0.3037,271,1.4544,0.0000,True,False,True,True,False,False
BAL,EOS,short,1.4262,0.0000,2.4031,-0.3194,-0.1803,232,1.6818,0.0000,True,False,True,True,True,False
BAL,CTXC,short,1.4260,0.0000,3.6100,-0.3963,-0.3963,318,1.5042,0.0000,True,False,True,True,False,False
MKR,UMA,long,1.4257,0.0000,2.8848,-0.3453,-0.2830,309,1.0638,0.0000,True,False,True,True,True,False
ZEN,NEAR,short,1.4253,0.0000,3.6851,-0.5453,-0.1616,263,1.5322,0.0000,True,False,True,True,True,False
YFI,CHZ,short,1.4251,0.0000,2.8879,-0.2744,-0.2744,287,1.6765,0.0000,True,False,True,True,True,False
RUNE,DUSK,short,1.4247,0.0000,4.7707,-0.5204,-0.3013,299,1.6110,0.0000,True,True,True,True,False,False
FLM,SAND,short,1.4245,0.0000,3.5620,-0.5284,-0.3221,266,1.4109,0.0000,True,False,True,True,False,False
AUDIO,LRC,long,1.4239,0.0000,4.0382,-0.6271,-0.3977,254,1.1998,0.0000,True,True,True,True,False,False
RUNE,ETC,both,1.4236,0.0000,24.2452,-0.5677,-0.3985,502,1.4329,0.0000,True,True,True,True,False,False
AVAX,BAND,short,1.4236,0.0000,2.6047,-0.6416,-0.2945,252,1.1126,0.0000,True,False,True,True,True,False
LINK,STORJ,short,1.4235,0.0000,2.3444,-0.3705,-0.3705,256,1.4049,0.0000,True,False,True,True,False,False
ENJ,SNX,short,1.4232,0.0000,3.2334,-0.5032,-0.2710,276,1.2495,0.0000,True,False,True,True,True,False
AVAX,ALGO,long,1.4229,0.0000,3.4810,-0.6680,-0.3961,273,1.1386,0.0000,True,False,True,True,False,False
LTO,KMD,short,1.4229,0.0000,5.0340,-0.6181,-0.3105,342,1.2847,0.0000,True,True,True,True,False,False
CRV,COTI,short,1.4225,0.0000,4.8064,-0.4097,-0.2295,293,1.5720,0.0000,True,True,True,True,True,True
NEO,TRU,short,1.4221,0.0000,3.1811,-0.4166,-0.2473,308,1.4218,0.0000,True,False,True,True,True,False
MANA,EOS,short,1.4220,0.0000,2.1748,-0.4083,-0.1951,226,1.3329,0.0000,True,False,True,True,True,False
AAVE,IOTA,short,1.4219,0.0000,2.5773,-0.4469,-0.3243,248,1.5902,0.0000,True,False,True,True,False,False
SXP,XTZ,long,1.4216,0.0000,2.1408,-0.3725,-0.3360,231,1.1276,0.0000,True,False,True,True,False,False
RUNE,FIO,both,1.4215,0.0000,45.5029,-0.4974,-0.3869,628,1.3316,0.0000,True,True,True,True,False,False
JST,ASR,short,1.4206,0.0000,3.7434,-0.5932,-0.3362,352,1.1996,0.0000,True,False,True,True,False,False
FIL,MDT,short,1.4203,0.0000,3.8721,-0.5656,-0.1937,344,1.3982,0.0000,True,False,True,True,True,False
MKR,JST,both,1.4200,0.0000,11.8959,-0.6713,-0.3910,580,1.1005,0.0000,True,True,True,True,False,False
ETH,SUSHI,both,1.4200,0.0000,6.1996,-0.5172,-0.3781,466,1.4327,0.0000,True,True,True,True,False,False
RUNE,RIF,both,1.4195,0.0000,49.0585,-0.5639,-0.3733,662,1.3833,0.0000,True,True,True,True,False,False
RSR,HBAR,short,1.4193,0.0000,3.4617,-0.6081,-0.3328,270,1.1439,0.0000,True,False,True,True,False,False
MBL,XRP,short,1.4192,0.0000,2.9233,-0.3840,-0.3840,280,1.1318,0.0000,True,False,True,True,False,False
IOTX,AAVE,short,1.4189,0.0000,3.6112,-0.6529,-0.2689,269,1.4051,0.0000,True,False,True,True,True,False
RUNE,JUV,short,1.4187,0.0000,6.2594,-0.6984,-0.3198,360,1.4416,0.0000,True,True,True,True,False,False
MKR,ETH,long,1.4174,0.0000,1.9679,-0.6642,-0.2188,220,1.0618,0.0000,True,False,True,True,True,False
ZEN,AVA,short,1.4174,0.0000,4.4345,-0.4053,-0.2630,351,1.3542,0.0000,True,True,True,True,True,True
BCH,ATM,short,1.4169,0.0000,3.1281,-0.3201,-0.2703,339,1.4361,0.0000,True,False,True,True,True,False
RUNE,OG,short,1.4169,0.0000,5.7851,-0.5525,-0.2249,355,1.4703,0.0000,True,True,True,True,True,True
LTO,SAND,short,1.4168,0.0000,3.5349,-0.6547,-0.3998,300,1.0254,0.0000,True,False,True,True,False,False
FIL,XLM,short,1.4168,0.0000,2.1040,-0.2808,-0.2808,255,1.4488,0.0000,True,False,True,True,True,False
FIL,XTZ,both,1.4167,0.0000,8.1722,-0.6034,-0.3793,507,1.0375,0.0000,True,True,True,True,False,False
CTXC,JUV,short,1.4166,0.0000,5.1171,-0.5730,-0.3593,353,1.2414,0.0000,True,True,True,True,False,False
BNT,RLC,short,1.4165,0.0000,1.9822,-0.3018,-0.2022,288,1.2963,0.0000,True,False,True,True,True,False
FIL,MTL,both,1.4164,0.0000,12.0832,-0.4440,-0.3761,549,1.2068,0.0000,True,True,True,True,False,False
RUNE,FIO,short,1.4160,0.0000,6.1374,-0.4804,-0.3313,328,1.5446,0.0000,True,True,True,True,False,False
EGLD,HIVE,short,1.4152,0.0000,3.3222,-0.5110,-0.2704,334,1.4566,0.0000,True,False,True,True,True,False
ETH,COTI,both,1.4150,0.0000,9.2398,-0.3008,-0.2764,548,1.5565,0.0000,True,True,True,True,True,True
RUNE,ATM,long,1.4149,0.0000,5.8542,-0.5373,-0.3287,332,1.1276,0.0000,True,True,True,True,False,False
TRB,ZIL,short,1.4146,0.0000,3.7107,-0.4745,-0.3971,270,1.2275,0.0000,True,False,True,True,False,False
BCH,DOT,short,1.4145,0.0000,1.5117,-0.3449,-0.3449,222,1.1281,0.0000,True,False,True,True,False,False
SXP,DOT,short,1.4145,0.0000,2.0141,-0.4839,-0.2775,241,1.0610,0.0000,True,False,True,True,True,False
ATOM,HIVE,short,1.4144,0.0000,4.3056,-0.4276,-0.1823,319,1.5042,0.0000,True,True,True,True,True,True
AAVE,KNC,short,1.4136,0.0000,3.4109,-0.4435,-0.2235,287,1.5016,0.0000,True,False,True,True,True,False
MKR,VTHO,long,1.4120,0.0000,2.8187,-0.3909,-0.3622,302,1.0749,0.0000,True,False,True,True,False,False
CTXC,RSR,short,1.4120,0.0000,3.3979,-0.6088,-0.3014,297,1.1376,0.0000,True,False,True,True,False,False
JST,ATM,short,1.4119,0.0000,3.6004,-0.5346,-0.3611,337,1.2582,0.0000,True,False,True,True,False,False
FIL,ETC,short,1.4118,0.0000,2.0466,-0.3462,-0.2769,233,1.4536,0.0000,True,False,True,True,True,False
NEAR,ONG,short,1.4115,0.0000,4.2836,-0.4573,-0.2718,316,1.4018,0.0000,True,True,True,True,True,True
AAVE,PSG,short,1.4114,0.0000,4.2386,-0.5860,-0.2822,335,1.4162,0.0000,True,True,True,True,True,True
LINK,HIVE,both,1.4112,0.0000,15.8203,-0.4906,-0.3082,615,1.4025,0.0000,True,True,True,True,False,False
AAVE,DCR,short,1.4109,0.0000,4.2390,-0.3586,-0.3516,329,1.4677,0.0000,True,True,True,True,False,False
RUNE,1INCH,long,1.4108,0.0000,5.3128,-0.6581,-0.1970,296,1.2956,0.0000,True,True,True,True,True,True
MKR,PSG,short,1.4104,0.0000,3.8238,-0.4852,-0.3642,377,1.4475,0.0000,True,False,True,True,False,False
SXP,IOST,short,1.4102,0.0000,1.9179,-0.5617,-0.2906,213,1.1075,0.0000,True,False,True,True,True,False
RSR,CELR,short,1.4100,0.0000,4.1633,-0.4067,-0.3910,283,1.2542,0.0000,True,True,True,True,False,False
RUNE,ATOM,short,1.4098,0.0000,4.0261,-0.3926,-0.3926,273,1.3637,0.0000,True,True,True,True,False,False
BAL,VET,short,1.4097,0.0000,2.3239,-0.3350,-0.3350,221,1.6363,0.0000,True,False,True,True,False,False
RUNE,WAN,long,1.4088,0.0000,4.5691,-0.5517,-0.3789,284,1.2251,0.0000,True,True,True,True,False,False
ENJ,SC,short,1.4087,0.0000,2.3323,-0.4893,-0.3285,243,1.4184,0.0000,True,False,True,True,False,False
FIL,SKL,short,1.4086,0.0000,2.8622,-0.3117,-0.2540,285,1.3823,0.0000,True,False,True,True,True,False
HARD,ONG,short,1.4083,0.0000,3.3664,-0.3900,-0.2846,342,1.1138,0.0000,True,False,True,True,True,False
RUNE,DASH,long,1.4081,0.0000,4.8089,-0.5916,-0.3417,279,1.1811,0.0000,True,True,True,True,False,False
RSR,TFUEL,short,1.4080,0.0000,4.4392,-0.4738,-0.3104,314,1.2040,0.0000,True,True,True,True,False,False
FIL,HBAR,short,1.4076,0.0000,2.3307,-0.4103,-0.2777,270,1.1271,0.0000,True,False,True,True,True,False
BAL,TFUEL,short,1.4075,0.0000,3.3285,-0.4189,-0.3621,290,1.4107,0.0000,True,False,True,True,False,False
SXP,LTC,short,1.4074,0.0000,2.2308,-0.4118,-0.1855,245,1.1140,0.0000,True,False,True,True,True,False
RUNE,DIA,long,1.4072,0.0000,5.1572,-0.6400,-0.3953,308,1.1577,0.0000,True,True,True,True,False,False
ETH,ATOM,long,1.4070,0.0000,3.7729,-0.3510,-0.2695,398,1.3824,0.0000,True,False,True,True,True,False
ZEN,FUN,long,1.4069,0.0000,4.0243,-0.6362,-0.3834,313,1.2177,0.0000,True,True,True,True,False,False
OGN,DOT,short,1.4065,0.0000,3.1576,-0.6603,-0.2420,274,1.1134,0.2000,True,False,True,True,True,False
AVAX,KAVA,long,1.4065,0.0000,3.8633,-0.4392,-0.2713,309,1.0987,0.0000,True,False,True,True,True,False
FLM,ATOM,short,1.4063,0.0000,3.6588,-0.3930,-0.3350,278,1.2991,0.0000,True,False,True,True,False,False
BTC,OXT,short,1.4063,0.0000,1.5537,-0.2723,-0.2723,342,1.4280,0.0000,True,False,True,True,True,False
FIL,DIA,short,1.4062,0.0000,2.6795,-0.3558,-0.3558,306,1.2937,0.0000,True,False,True,True,False,False
SNX,CELR,short,1.4061,0.0000,4.0697,-0.4710,-0.2814,304,1.3202,0.0000,True,True,True,True,True,True
CTXC,ROSE,short,1.4061,0.0000,3.7538,-0.4552,-0.2787,314,1.1322,0.0000,True,False,True,True,True,False
ENJ,HIVE,short,1.4056,0.0000,3.3256,-0.4744,-0.1839,299,1.3353,0.0000,True,False,True,True,True,False
OGN,CKB,short,1.4052,0.0000,3.9384,-0.7182,-0.3211,296,1.2566,0.2000,False,False,True,True,False,False
LINK,NEAR,short,1.4052,0.0000,2.4874,-0.2954,-0.2740,250,1.4559,0.0000,True,False,True,True,True,False
BEL,SNX,short,1.4044,0.0000,3.4225,-0.5385,-0.3932,283,1.0878,0.0000,True,False,True,True,False,False
KNC,NEO,short,1.4037,0.0000,2.5186,-0.4252,-0.3821,239,1.4436,0.0000,True,False,True,True,False,False
EGLD,RIF,long,1.4035,0.0000,4.1725,-0.4190,-0.3121,336,1.3020,0.0000,True,True,True,True,False,False
MKR,ONT,both,1.4019,0.0000,11.1824,-0.6233,-0.3732,542,1.1742,0.0000,True,True,True,True,False,False
BAL,COS,short,1.4019,0.0000,3.3284,-0.5219,-0.2931,325,1.5246,0.0000,True,False,True,True,True,False
FLM,DENT,short,1.4016,0.0000,2.9138,-0.4500,-0.2000,253,1.2440,0.0000,True,False,True,True,True,False
MKR,ICX,short,1.4013,0.0000,2.9653,-0.3914,-0.2404,307,1.5255,0.0000,True,False,True,True,True,False
SXP,TRU,both,1.4006,0.0000,16.1908,-0.5358,-0.2890,615,1.2927,0.0000,True,True,True,True,True,True
