Date,FUN,ASR,SUSHI,CKB,ATOM,AAVE,SKL,CTK,NEAR,FLM
2021-10-19 12:00:00,889.8345495170101,1644.6604322289802,2885.4208995890244,1164.0023263513046,1127.437053794126,4095.5853608945445,1229.372172799076,836.574782398781,2142.2791247058353,744.3988099839002
2021-10-19 13:00:00,889.8345495170101,1644.6604322289802,2885.4208995890244,1164.466368101564,1127.8865184145193,4095.5853608945445,1229.372172799076,836.9082917204198,2143.1331667743675,744.3988099839002
2021-10-19 14:00:00,895.6906035346983,1644.6604322289802,2885.4208995890244,1172.1297904277542,1135.3092065774397,4095.5853608945445,1229.372172799076,842.4160348922555,2157.237253425691,744.3988099839002
2021-10-19 15:00:00,889.4090628022268,1644.6604322289802,2885.4208995890244,1163.9095623788508,1127.3472038535942,4066.8627348379046,1229.372172799076,842.4160348922555,2142.1083979665373,744.3988099839002
2021-10-19 16:00:00,890.9000494964749,1644.6604322289802,2885.4208995890244,1165.8607159519293,1129.2370650558714,4073.68033820915,1229.372172799076,842.4160348922555,2145.699383546269,744.3988099839002
2021-10-19 17:00:00,895.6906035346983,1644.6604322289802,2885.4208995890244,1172.1297904277542,1135.3092065774397,4095.5853608945445,1229.372172799076,842.4160348922555,2157.237253425691,744.3988099839002
2021-10-19 18:00:00,900.1697790000275,1644.6604322289802,2885.4208995890244,1177.9913847983398,1140.9866683299645,4116.066591123248,1229.372172799076,842.4160348922555,2168.0251796809252,744.3988099839002
2021-10-19 19:00:00,909.5603031819348,1644.6604322289802,2885.4208995890244,1190.2801294808328,1152.8893817404155,4159.005183108885,1229.372172799076,842.4160348922555,2190.6419052717283,744.3988099839002
2021-10-19 20:00:00,894.2552019264697,1644.6604322289802,2885.4208995890244,1170.2513773020687,1133.489800797668,4089.0219228161886,1229.372172799076,842.4160348922555,2153.7801424426375,744.3988099839002
2021-10-19 21:00:00,894.2552019264697,1644.6604322289802,2885.4208995890244,1165.7676555499536,1129.146927997677,4073.3551721540575,1229.372172799076,845.6560965649181,2145.528111245539,747.261882329992
2021-10-19 22:00:00,894.2552019264697,1644.6604322289802,2885.4208995890244,1151.157656556303,1114.995878769993,4022.3057930752766,1229.372172799076,856.3888008556128,2118.6392510194783,756.7458094764215
2021-10-19 23:00:00,894.2552019264697,1644.6604322289802,2885.4208995890244,1170.8142687774423,1134.035009937061,4090.988744327885,1208.732441356954,842.0110271831729,2154.816111727121,744.0409259406388
2021-10-20 00:00:00,894.2552019264697,1644.6604322289802,2885.4208995890244,1175.242390659839,1138.3240294483705,4106.461221271911,1204.1781344190208,838.8384667953574,2162.965814571829,741.2375009350903
2021-10-20 01:00:00,894.2552019264697,1644.6604322289802,2885.4208995890244,1176.5678875960539,1139.6078880169903,4111.092692882143,1202.8215323524025,837.8934488074976,2165.4053152085808,740.4024381674803
2021-10-20 02:00:00,894.2552019264697,1644.6604322289802,2885.4208995890244,1179.7994336157863,1142.737920183771,4122.384166471124,1199.5269273334723,835.5984051226949,2171.352789214324,738.3744285889985
2021-10-20 03:00:00,894.2552019264697,1644.6604322289802,2885.4208995890244,1177.136873436755,1140.1590000769645,4113.080808958334,1202.2401314667088,837.4884410984147,2166.4525008208366,740.0445541242186
2021-10-20 04:00:00,894.2552019264697,1644.6604322289802,2885.4208995890244,1181.1352356433335,1144.0317601257502,4113.080808958334,1198.1703252668538,834.6533871348349,2173.8112557771224,737.5393658213883
2021-10-20 05:00:00,894.2552019264697,1644.6604322289802,2885.4208995890244,1181.6130411593704,1144.4945561452184,4113.080808958334,1197.6858245287758,834.3158807105993,2174.690629262469,737.2411291186703
2021-10-20 06:00:00,894.2552019264697,1644.6604322289802,2885.4208995890244,1176.4731100958447,1139.516087800459,4113.080808958334,1202.918432500018,837.9609500923448,2165.2308826876197,740.4620855080238
2021-10-20 07:00:00,894.2552019264697,1644.6604322289802,2885.4208995890244,1174.4863038785538,1137.591693924801,4113.080808958334,1204.9533355999458,839.3784770741346,2161.57428047319,741.7146796594391
2021-10-20 08:00:00,894.2552019264697,1644.6604322289802,2885.4208995890244,1174.4863038785538,1137.591693924801,4113.080808958334,1204.9533355999458,839.3784770741346,2161.57428047319,741.7146796594391
2021-10-20 09:00:00,894.2552019264697,1644.6604322289802,2885.4208995890244,1172.69449082462,1135.8561678139472,4113.080808958334,1206.794438404642,840.6610014862301,2158.276551925816,742.847979129767
2021-10-20 10:00:00,894.2552019264697,1644.6604322289802,2885.4208995890244,1169.2208140845262,1135.8561678139472,4113.080808958334,1210.3797438664192,843.1585490255742,2151.883450298944,745.0549307298796
2021-10-20 11:00:00,894.2552019264697,1644.6604322289802,2885.4208995890244,1162.8901336674749,1135.8561678139472,4113.080808958334,1210.3797438664192,847.7486363951793,2140.232198239041,745.0549307298796
2021-10-20 12:00:00,894.2552019264697,1644.6604322289802,2868.519043611063,1156.0783019654727,1135.8561678139472,4113.080808958334,1210.3797438664192,852.7437314738675,2127.6954149991384,745.0549307298796
2021-10-20 13:00:00,894.2552019264697,1644.6604322289802,2860.1421529548984,1152.7022248405538,1135.8561678139472,4113.080808958334,1210.3797438664192,855.2412790132114,2121.4819398330005,745.0549307298796
2021-10-20 14:00:00,894.2552019264697,1644.6604322289802,2839.301189214022,1152.7022248405538,1135.8561678139472,4113.080808958334,1210.3797438664192,861.518898503995,2106.023362664273,745.0549307298796
2021-10-20 15:00:00,894.2552019264697,1644.6604322289802,2824.914334108089,1152.7022248405538,1135.8561678139472,4092.239660487622,1210.3797438664192,865.9064820190589,2095.352056258506,745.0549307298796
2021-10-20 16:00:00,894.2552019264697,1644.6604322289802,2823.8136895455905,1153.1515163220167,1135.4136149549843,4090.6452399856007,1210.3797438664192,866.2439884432946,2094.5356641225053,745.0549307298796
2021-10-20 17:00:00,894.2552019264697,1644.6604322289802,2795.710621658584,1164.7432365437528,1124.1137880510196,4049.934451838853,1210.3797438664192,874.9516541885752,2073.6904935722973,745.0549307298796
2021-10-20 18:00:00,894.2552019264697,1644.6604322289802,2797.6531365659357,1163.9345118771198,1124.8948444929604,4052.7484262128633,1210.3797438664192,874.3441426249509,2075.131334647118,745.0549307298796
2021-10-20 19:00:00,894.2552019264697,1644.6604322289802,2807.4063431932573,1159.8908885439562,1128.8164642638144,4066.8771587182537,1210.3797438664192,871.3065848068297,2082.3656784694854,745.0549307298796
2021-10-20 20:00:00,894.2552019264697,1644.6604322289802,2808.7119111717993,1159.3517387662012,1129.341413789902,4068.7684362684245,1210.3797438664192,870.901577097747,2083.334070507217,745.0549307298796
2021-10-20 21:00:00,894.2552019264697,1644.6604322289802,2824.473973338937,1152.881941433139,1135.6791052780447,4091.6017431594087,1210.3797438664192,866.0414845887532,2095.0254230463065,745.0549307298796
2021-10-20 22:00:00,894.2552019264697,1644.6604322289802,2790.3288733301424,1166.989693951066,1121.9498668451,4042.138320222932,1210.3797438664192,876.6391863097534,2069.6986353803118,745.0549307298796
