Date,FUN,ONG,DUSK,YFI,WING,LTC,CTXC,EOS,FIO,MDT
2022-02-08 15:00:00,1016.5680742690059,1038.1333186307652,2354.5465049266127,784.2205227705251,1425.884675595659,572.1833259952463,854.9382572224911,703.3348193231546,1350.4029464827681,459.4166634258361
2022-02-08 16:00:00,1018.0039048823803,1038.1333186307652,2354.5465049266127,784.2205227705251,1425.884675595659,572.1833259952463,856.1457971338224,703.3348193231546,1350.4029464827681,460.0655570182455
2022-02-08 17:00:00,1014.6599220883037,1038.1333186307652,2354.5465049266127,784.2205227705251,1425.884675595659,572.1833259952463,853.3334927790888,703.3348193231546,1350.4029464827681,458.5543139872141
2022-02-08 18:00:00,1018.963380758801,1038.1333186307652,2354.5465049266127,784.2205227705251,1425.884675595659,572.1833259952463,856.952720599547,703.3348193231546,1350.4029464827681,460.49917205784794
2022-02-08 19:00:00,996.8834919180154,1038.1333186307652,2354.5465049266127,784.2205227705251,1425.884675595659,572.1833259952463,838.3834361974358,703.3348193231546,1321.14110301357,450.5206284494021
2022-02-08 20:00:00,1002.4294362402295,1038.1333186307652,2354.5465049266127,784.2205227705251,1425.884675595659,572.1833259952463,843.0475999593128,703.3348193231546,1328.4909839760933,453.02700190391886
2022-02-08 21:00:00,995.5065810175762,1038.1333186307652,2354.5465049266127,784.2205227705251,1425.884675595659,572.1833259952463,837.2254480258924,703.3348193231546,1319.316322484546,449.89836238800797
2022-02-08 22:00:00,998.2642169760735,1038.1333186307652,2354.5465049266127,784.2205227705251,1425.884675595659,572.1833259952463,839.5446320924461,703.3348193231546,1322.9709383363036,449.89836238800797
2022-02-08 23:00:00,991.3985758689481,1030.9934746236763,2354.5465049266127,784.2205227705251,1425.884675595659,572.1833259952463,833.7705974838325,703.3348193231546,1313.8721010712675,449.89836238800797
2022-02-09 00:00:00,1005.2256131892956,1045.3727420521793,2354.5465049266127,784.2205227705251,1425.884675595659,572.1833259952463,845.3991971697992,703.3348193231546,1332.1966770973654,449.89836238800797
