Date,YFI,BNT,NEAR,PAXG,1INCH,UTK,STRAX,EGLD,SNX,DOT
2022-08-16 02:00:00,1642.2951461090818,921.5663576537629,951.2579768738889,551.5696546264102,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-16 03:00:00,1652.1082626457983,921.5663576537629,951.2579768738889,551.5696546264102,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-16 04:00:00,1661.3260340682857,921.5663576537629,951.2579768738889,554.6470818839824,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-16 05:00:00,1653.5197178039748,921.5663576537629,951.2579768738889,552.0408803031521,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-16 06:00:00,1653.5197178039748,921.5663576537629,951.2579768738889,552.0408803031521,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-16 07:00:00,1652.8136888894558,921.5663576537629,951.2579768738889,551.8051668615198,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-16 08:00:00,1645.7864198040418,921.5663576537629,951.2579768738889,549.459056458197,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-16 09:00:00,1651.4034383016663,921.5663576537629,951.2579768738889,549.459056458197,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-16 10:00:00,1648.590144539653,921.5663576537629,949.6374351756368,549.459056458197,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1049.269420878757,822.5010169145116
2022-08-16 11:00:00,1645.086978061668,921.5663576537629,947.6195060741161,549.459056458197,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-16 12:00:00,1644.38813057736,921.5663576537629,947.2169489347474,549.459056458197,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-16 13:00:00,1644.38813057736,921.5663576537629,947.2169489347474,549.459056458197,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-16 14:00:00,1644.38813057736,921.5663576537629,947.2169489347474,549.459056458197,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-16 15:00:00,1644.38813057736,921.5663576537629,947.2169489347474,549.459056458197,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-16 16:00:00,1644.38813057736,921.5663576537629,947.2169489347474,549.459056458197,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-16 17:00:00,1644.38813057736,921.5663576537629,947.2169489347474,549.459056458197,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-16 18:00:00,1644.38813057736,921.5663576537629,948.4205282853634,549.459056458197,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-16 19:00:00,1644.38813057736,921.5663576537629,950.827686986595,549.459056458197,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-16 20:00:00,1644.38813057736,921.5663576537629,949.6241076359792,549.459056458197,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-16 21:00:00,1644.38813057736,921.5663576537629,949.6241076359792,549.459056458197,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
2022-08-16 22:00:00,1644.38813057736,921.5663576537629,950.4264938697233,549.459056458197,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1047.039779100434,822.5010169145116
