Date,AXS,BTC,BAL,BNB,ETH,BNT,TWT,SOL,IOST,YFI
2022-11-18 23:00:00,1320.131953588865,1297.4483780333253,1205.1505041224527,1144.754236427317,1228.884379216722,1195.0252178918615,1131.987465163822,1165.7979480665283,1101.856805845651,1095.5080746657318
2022-11-19 00:00:00,1320.131953588865,1297.4483780333253,1205.1505041224527,1144.754236427317,1228.884379216722,1195.0252178918615,1131.987465163822,1165.7979480665283,1101.856805845651,1095.5080746657318
2022-11-19 01:00:00,1320.131953588865,1297.4483780333253,1205.1505041224527,1144.754236427317,1228.884379216722,1195.0252178918615,1131.987465163822,1165.7979480665283,1101.856805845651,1095.5080746657318
2022-11-19 02:00:00,1318.6171722307595,1295.9596248743658,1203.7676578756111,1143.4406916924604,1227.4742996077525,1193.6539898736264,1130.6885696214654,1164.4602567893437,1100.5924836358454,1094.2510372880317
2022-11-19 03:00:00,1319.3741281275622,1296.7035741423758,1204.4586840856427,1144.0970870378635,1228.178934682154,1194.339210304093,1131.3376445753236,1165.1287184752155,1101.2242818468874,1094.87919517396
2022-11-19 04:00:00,1319.3741281275622,1296.7035741423758,1204.4586840856427,1144.0970870378635,1228.178934682154,1194.339210304093,1131.3376445753236,1165.1287184752155,1101.2242818468874,1094.87919517396
2022-11-19 05:00:00,1320.8906501139154,1298.1940380207002,1205.8431193547065,1145.4121411608953,1229.590634607076,1194.339210304093,1132.6380326725364,1166.467946887256,1102.490056883493,1096.1376770074933
2022-11-19 06:00:00,1320.8906501139154,1298.1940380207002,1205.8431193547065,1145.4121411608953,1229.590634607076,1194.339210304093,1132.6380326725364,1166.467946887256,1102.490056883493,1096.1376770074933
2022-11-19 07:00:00,1320.8906501139154,1298.1940380207002,1205.8431193547065,1145.4121411608953,1229.590634607076,1194.339210304093,1132.6380326725364,1166.467946887256,1102.490056883493,1096.1376770074933
2022-11-19 08:00:00,1320.131953588865,1297.4483780333253,1205.1505041224527,1144.754236427317,1228.884379216722,1194.339210304093,1131.987465163822,1165.7979480665283,1101.856805845651,1095.5080746657318
2022-11-19 09:00:00,1320.8906501139154,1298.1940380207002,1205.8431193547065,1145.4121411608953,1229.590634607076,1194.339210304093,1132.6380326725364,1166.467946887256,1102.490056883493,1096.1376770074933
2022-11-19 10:00:00,1320.8906501139154,1298.1940380207002,1205.8431193547065,1145.4121411608953,1229.590634607076,1194.339210304093,1132.6380326725364,1166.467946887256,1102.490056883493,1096.1376770074933
2022-11-19 11:00:00,1320.8906501139154,1298.1940380207002,1205.8431193547065,1145.4121411608953,1229.590634607076,1194.339210304093,1132.6380326725364,1166.467946887256,1102.490056883493,1096.1376770074933
2022-11-19 12:00:00,1320.131953588865,1297.4483780333253,1205.8431193547065,1144.754236427317,1228.884379216722,1194.339210304093,1132.6380326725364,1166.467946887256,1101.856805845651,1095.5080746657318
2022-11-19 13:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1132.6380326725364,1166.467946887256,1100.5924836358454,1094.2510372880317
2022-11-19 14:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1132.6380326725364,1166.467946887256,1099.3310595858327,1092.996881371369
2022-11-19 15:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1133.287108909025,1166.467946887256,1098.7014312584643,1092.3708808665747
2022-11-19 16:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1133.287108909025,1166.467946887256,1098.7014312584643,1092.3708808665747
2022-11-19 17:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1132.6380326725364,1166.467946887256,1099.3310595858327,1092.996881371369
2022-11-19 18:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1131.3398801995593,1166.467946887256,1100.5924836358454,1094.2510372880317
2022-11-19 19:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1132.6380326725364,1166.467946887256,1099.3310595858327,1092.996881371369
2022-11-19 20:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1133.9361851455133,1166.467946887256,1098.0725237420029,1091.7455970194846
2022-11-19 21:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1133.9361851455133,1166.467946887256,1098.0725237420029,1091.7455970194846
2022-11-19 22:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1133.9361851455133,1166.467946887256,1098.0725237420029,1091.7455970194846
2022-11-19 23:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1133.9361851455133,1166.467946887256,1098.0725237420029,1091.7455970194846
2022-11-20 00:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1133.9361851455133,1166.467946887256,1098.0725237420029,1091.7455970194846
2022-11-20 01:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1133.287108909025,1166.467946887256,1098.7014312584643,1092.3708808665747
2022-11-20 02:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1133.287108909025,1166.467946887256,1098.7014312584643,1092.3708808665747
2022-11-20 03:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1133.287108909025,1166.467946887256,1098.7014312584643,1092.3708808665747
2022-11-20 04:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1133.9361851455133,1166.467946887256,1098.0725237420029,1091.7455970194846
2022-11-20 05:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1132.6380326725364,1166.467946887256,1099.3310595858327,1092.996881371369
2022-11-20 06:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1133.287108909025,1166.467946887256,1098.7014312584643,1092.3708808665747
2022-11-20 07:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1132.6380326725364,1166.467946887256,1099.3310595858327,1092.996881371369
2022-11-20 08:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1132.6380326725364,1166.467946887256,1099.3310595858327,1092.996881371369
2022-11-20 09:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1131.988956436048,1166.467946887256,1099.9614099640355,1093.6235997666506
2022-11-20 10:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1194.339210304093,1130.690803963071,1166.467946887256,1101.2242818468874,1094.87919517396
2022-11-20 11:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1228.178934682154,1194.339210304093,1131.3398801995593,1166.467946887256,1101.2242818468874,1094.2510372880317
2022-11-20 12:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1226.0650294589495,1192.2835490126924,1129.392651490094,1166.467946887256,1101.2242818468874,1096.1376770074933
2022-11-20 13:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1226.7696645333506,1192.968769443159,1130.0417277265822,1166.467946887256,1100.5917578481246,1095.5080746657318
2022-11-20 14:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1226.0650294589495,1192.2835490126924,1129.392651490094,1166.467946887256,1101.2242818468874,1095.5080746657318
2022-11-20 15:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1226.7696645333506,1192.968769443159,1130.0417277265822,1166.467946887256,1100.5917578481246,1095.5080746657318
2022-11-20 16:00:00,1320.131953588865,1295.9596248743658,1205.8431193547065,1144.754236427317,1227.4742996077525,1193.6539898736264,1130.0417277265822,1166.467946887256,1100.5917578481246,1095.5080746657318
2022-11-20 17:00:00,1320.131953588865,1295.9596248743658,1206.5353369892382,1144.754236427317,1228.178934682154,1194.339210304093,1130.0417277265822,1166.467946887256,1100.5917578481246,1096.1369541575027
