reference_coin,trading_coin,trading_type,is_sharpe,is_return,is_trades,oos_trades,oos_total_return,oos_mean_return
VOXEL,ARDR,both,9.271815,0.151589,6,333,-2.581353,-0.007752
VOXEL,ARPA,both,4.116160,0.096083,9,313,-1.504388,-0.004806
BICO,ASR,both,5.482116,0.156494,12,351,-3.361494,-0.009577
FLUX,ASR,both,2.042992,0.046033,16,362,-2.797761,-0.007729
PEOPLE,ASR,both,15.924129,0.043523,2,362,-4.007654,-0.011071
ALCX,ATA,both,2.767686,0.163281,18,323,-0.629185,-0.001948
CHESS,ATA,both,3.176796,0.647040,53,335,-4.021576,-0.012005
MOVR,ATA,both,2.623174,0.311778,33,305,-1.448237,-0.004748
QI,ATA,both,2.345418,0.312910,27,285,-2.112928,-0.007414
VOXEL,ATA,both,3.591869,0.124841,10,330,-1.533920,-0.004648
BICO,ATM,both,2.017211,0.065571,11,315,-2.592151,-0.008229
FXS,ATM,both,10.468756,0.261649,12,366,-1.770051,-0.004836
PEOPLE,ATM,both,101.350598,0.028236,2,354,-2.100900,-0.005935
ADX,ATOM,both,2.639321,0.464152,51,353,-0.475692,-0.001348
ALCX,ATOM,both,4.641659,0.436062,17,324,-0.327780,-0.001012
AMP,ATOM,both,6.591713,0.862268,26,341,-0.466957,-0.001369
AUCTION,ATOM,both,2.265707,0.344668,54,349,-0.331470,-0.000950
ENS,ATOM,both,5.658453,1.149141,30,284,-0.140252,-0.000494
FLUX,ATOM,both,10.691189,0.654655,12,322,0.179208,0.000557
