Date,ONG,PSG,OG,CKB,PAXG,STRAX,HIVE,LSK,KMD,YFI
2022-03-15 15:00:00,477.475592216418,346.12312975157533,412.0983781061575,211.36541114515643,414.2489880807562,312.18398540931173,151.2743591832102,142.74374314613877,516.6079508938908,194.8096483682229
2022-03-15 16:00:00,476.0019021169846,345.05484848691,410.8264695317558,211.36541114515643,412.9704418212477,311.2204545901472,150.8074630128917,142.30317603766304,515.0134819096504,194.8096483682229
2022-03-15 17:00:00,478.3352447744208,346.7462938226301,412.8403247745585,211.36541114515643,414.99480673213617,311.2204545901472,151.54671528256273,143.00074062608294,517.5380578013644,194.8096483682229
2022-03-15 18:00:00,479.19489733242364,347.36945789368497,413.58227144295955,211.36541114515643,415.7406253835162,311.2204545901472,151.54671528256273,143.25773810602715,518.468164708838,194.8096483682229
2022-03-15 19:00:00,479.19489733242364,344.5207078545773,410.19051524455494,211.36541114515643,412.3311686914935,311.2204545901472,151.54671528256273,142.0828924834252,514.2162474175302,194.8096483682229
2022-03-15 20:00:00,479.19489733242364,345.23289536435425,411.0384542941561,211.36541114515643,413.18353286449917,311.2204545901472,151.54671528256273,142.0828924834252,515.2792267403572,194.8096483682229
2022-03-15 21:00:00,479.19489733242364,344.6097312932995,410.2965076257551,211.7476270785111,412.4377142131192,311.2204545901472,151.54671528256273,142.0828924834252,514.3491198328836,194.8096483682229
2022-03-15 22:00:00,479.19489733242364,344.5207078545773,410.19051524455494,211.802342227627,412.3311686914935,311.2204545901472,151.54671528256273,142.0828924834252,514.2162474175302,194.8096483682229
2022-03-15 23:00:00,479.19489733242364,343.0073093963014,408.3886447641525,212.7368451650445,410.5198948238564,311.2204545901472,151.54671528256273,142.0828924834252,511.957416356523,194.8096483682229
2022-03-16 00:00:00,479.19489733242364,347.4584813324071,413.6882638241596,210.01154609810828,415.84717090514187,311.2204545901472,151.54671528256273,142.0828924834252,518.6010371241914,194.8096483682229
2022-03-16 01:00:00,479.19489733242364,348.170668842184,414.53620287376083,209.58196482253047,416.69953507814756,311.2204545901472,151.2367245583846,142.0828924834252,519.6640164470183,194.8096483682229
