Date,TRU,DOT,BNT,AVA,STPT,CHR,STORJ,1INCH,KMD,ASR
2021-11-17 02:00:00,6430.200039102577,12223.649081108195,3329.128600835527,5174.896680135282,3949.2380241279297,3288.787363083338,5341.017468807209,1081.4259232646864,5642.192702491846,2605.8178823742473
2021-11-17 03:00:00,6553.880936833485,12458.763367243231,3393.1623185284598,5274.4325986404165,3949.2380241279297,3288.787363083338,5240.225000694766,1102.2264781782967,5750.71676929714,2655.9391683459794
2021-11-17 04:00:00,6592.493509783621,12532.164900475631,3413.1533328325945,5305.507226856653,3949.2380241279297,3288.787363083338,5209.532733828795,1108.7203099562043,5784.59745356806,2671.5867893322766
2021-11-17 05:00:00,6634.122689995488,12611.300928491813,3434.70614512924,5339.009560402284,3949.2380241279297,3288.787363083338,5176.842868547404,1115.721472341761,5821.125066297646,2688.4568807081273
2021-11-17 06:00:00,6622.056260948569,12588.36294935669,3428.458953159198,5329.298739084708,3942.054979340501,3288.787363083338,5176.842868547404,1113.6921499111647,5810.537352462983,2683.56699914991
2021-11-17 07:00:00,6548.45104376237,12448.441276632428,3390.3510821419404,5270.062729047506,3898.23840613719,3288.787363083338,5176.842868547404,1101.3132830845282,5745.952298071541,2653.7387216447814
2021-11-17 08:00:00,6415.720324246273,12196.12350614605,3321.631970471475,5163.2436945541895,3898.23840613719,3288.787363083338,5176.842868547404,1078.9907363479708,5629.487445890249,2599.950024504386
2021-11-17 09:00:00,6599.733367211773,12545.92768795671,3416.90164801462,5311.333719647197,3789.548149818345,3288.787363083338,5032.502702635807,1109.937903414562,5790.9500818688575,2674.5207182672075
2021-11-17 10:00:00,6582.237045093741,12512.667618210775,3407.843219658058,5297.253028736713,3799.6211925630505,3288.787363083338,5045.879657574069,1106.9953858901974,5790.9500818688575,2667.4303900077907
2021-11-17 11:00:00,6515.871685335693,12512.667618210775,3407.843219658058,5297.253028736713,3838.321038042858,3288.787363083338,5097.272876308619,1106.9953858901974,5849.931980850854,2640.5360414375937
2021-11-17 12:00:00,6515.871685335693,12597.8195466278,3407.843219658058,5297.253028736713,3864.4418020754056,3288.787363083338,5131.961132108985,1106.9953858901974,5889.742275863637,2622.6879737500985
2021-11-17 13:00:00,6515.871685335693,12805.534945198182,3407.843219658058,5297.253028736713,3928.159500697705,3288.787363083338,5216.577945999535,1106.9953858901974,5986.853538632544,2580.146004193604
2021-11-17 14:00:00,6515.871685335693,12748.755686478906,3407.843219658058,5297.253028736713,3910.7421897040444,3288.787363083338,5193.44783623897,1106.9953858901974,5960.308055961247,2591.6372258554156
2021-11-17 15:00:00,6515.871685335693,12591.950268046628,3407.843219658058,5297.253028736713,3862.641372611151,3288.787363083338,5129.570169971402,1106.9953858901974,5886.998266230826,2623.9104441396526
2021-11-17 16:00:00,6515.871685335693,12635.512882344685,3407.843219658058,5297.253028736713,3876.0044142929282,3288.787363083338,5147.3162285304425,1106.9953858901974,5907.364693145323,2614.8641632569497
2021-11-17 17:00:00,6515.871685335693,12608.398047833216,3407.843219658058,5285.885532966891,3867.686808253673,3288.787363083338,5136.270485550763,1104.619859311034,5894.6879448767695,2620.4875270489
2021-11-17 18:00:00,6515.871685335693,12747.553087131064,3407.843219658058,5344.224237556754,3910.373286563802,3288.787363083338,5192.957934547032,1116.8112114041753,5959.745815789946,2591.881719933326
2021-11-17 19:00:00,6515.871685335693,12666.305209173906,3386.122970437256,5310.162259100118,3885.4501088070933,3288.787363083338,5159.860067872631,1109.6930970189953,5921.760745448424,2591.881719933326
2021-11-17 20:00:00,6515.871685335693,12723.548656122435,3401.4260400710928,5334.1607327313,3903.009811775056,3288.787363083338,5183.179273527265,1114.7081868087432,5948.523245757388,2591.881719933326
2021-11-17 21:00:00,6515.871685335693,12776.47823358952,3415.575869489938,5356.350679998029,3919.2462145091117,3288.787363083338,5204.741142491546,1119.3453391411233,5973.268922491182,2591.881719933326
2021-11-17 22:00:00,6515.871685335693,12675.809987494265,3388.663912540576,5314.146997686816,3888.3657453205956,3288.787363083338,5163.732019898047,1110.5258092201163,5926.204426713181,2591.881719933326
2021-11-17 23:00:00,6515.871685335693,12684.138377762,3390.890367148027,5317.6385528758365,3890.9205191348674,3288.787363083338,5167.12474790061,1111.2554582406292,5930.098122131521,2591.881719933326
2021-11-18 00:00:00,6504.881646885914,12662.744591142837,3385.1710992873955,5308.66952233313,3884.357872082354,3288.787363083338,5158.409582471241,1109.3811518080643,5920.096082570206,2591.881719933326
2021-11-18 01:00:00,6464.2980664462675,12583.74245988233,3364.0512125519213,5275.5490401656725,3860.1235879376923,3288.787363083338,5126.22656337956,1102.4597869536885,5883.160945450157,2591.881719933326
2021-11-18 02:00:00,6542.893207876199,12736.739894125953,3404.9524949665492,5339.690965347706,3907.056287545983,3288.787363083338,5188.5529749418565,1115.863869189035,5954.690423486262,2591.881719933326
2021-11-18 03:00:00,6733.27807328482,13107.353082121857,3504.0296771673225,5495.065096250162,4020.7436673969823,3288.787363083338,5339.5292981700395,1148.3332349268344,6127.95978595434,2591.881719933326
2021-11-18 04:00:00,6698.841738450881,13040.317502332946,3486.1088460479673,5466.96141487399,4020.7436673969823,3288.787363083338,5312.221081166949,1142.460257849625,6096.619260174586,2591.881719933326
2021-11-18 05:00:00,6709.200438346042,13060.482292130697,3491.4995623460995,5475.415206566074,4014.5358223059507,3288.787363083338,5320.435591392007,1144.226892055249,6106.046718197472,2591.881719933326
2021-11-18 06:00:00,6709.200438346042,13008.934373958062,3477.7190962259424,5453.80449964759,4030.4434253517175,3288.787363083338,5299.436567590787,1139.7107866861438,6081.946995878826,2591.881719933326
2021-11-18 07:00:00,6709.200438346042,13035.286030353656,3484.763766913773,5464.852044211359,4022.29562866974,3288.787363083338,5310.1714154657175,1139.7107866861438,6094.266942528141,2591.881719933326
