Date,FUN,EOS,ZEC,TRX,LTC,DASH,NEO,BCH,VET,FIL
2021-06-11 12:00:00,471.6764352844954,5314.123974589991,4184.133679083281,1206.2737813437948,2493.5618624247513,2139.996254460717,4621.702878219716,1064.2755233418613,1290.8920329229775,4538.266964258134
2021-06-11 13:00:00,471.6764352844954,5374.064841143576,4184.133679083281,1206.2737813437948,2521.6880897302103,2164.1344248397204,4621.702878219716,1076.280060199849,1305.4526994506136,4589.456521707277
2021-06-11 14:00:00,471.6764352844954,5571.11388531884,4184.133679083281,1206.2737813437948,2614.1499863536515,2243.4860204171773,4621.702878219716,1115.7436624071765,1353.3192984304694,4757.736594169876
2021-06-11 15:00:00,471.6764352844954,5673.170928476622,4184.133679083281,1206.2737813437948,2662.0385098105617,2284.5843634636126,4621.702878219716,1136.1829320848947,1378.110707992235,4844.893406778593
2021-06-11 16:00:00,471.6764352844954,5601.34335740643,4184.133679083281,1206.2737813437948,2628.334649541654,2255.6594204641265,4621.702878219716,1121.7978093145887,1360.6625566728308,4783.55259228698
2021-06-11 17:00:00,471.6764352844954,5568.167764808358,4184.133679083281,1206.2737813437948,2612.767569650133,2242.299618502625,4621.702878219716,1115.153634029383,1352.6036351314578,4755.220604432081
2021-06-11 18:00:00,471.6764352844954,5669.657939990096,4184.133679083281,1206.2737813437948,2660.3900999964467,2283.1696839719266,4621.702878219716,1135.4793753598597,1377.2573427206132,4841.8933112463
2021-06-11 19:00:00,471.6764352844954,5832.334585123443,4184.133679083281,1206.2737813437948,2736.723335756724,2348.6795239640314,4621.702878219716,1168.0591142712294,1416.7742953076065,4980.819322004634
2021-06-11 20:00:00,471.6764352844954,5792.389285538897,4184.133679083281,1206.2737813437948,2717.9796865487956,2332.5935628718585,4590.049120471978,1160.0591494936536,1407.0708956065503,4946.705997899146
2021-06-11 21:00:00,471.6764352844954,5813.978213330725,4184.133679083281,1206.2737813437948,2728.1099219836024,2341.2874181212364,4607.156782636574,1164.3828287179062,1412.3152171577747,4965.142962911608
2021-06-11 22:00:00,471.6764352844954,5824.269294052387,4184.133679083281,1206.2737813437948,2732.938835748763,2345.431633480911,4615.311718999897,1166.443854274173,1414.8150975100739,4973.931555704879
2021-06-11 23:00:00,471.6764352844954,5913.07083913776,4184.133679083281,1206.2737813437948,2774.6074432573723,2381.1919911206073,4685.680513951797,1184.228405654835,1436.3865188036098,5049.7681602634175
2021-06-12 00:00:00,471.6764352844954,6042.526896360281,4184.133679083281,1206.2737813437948,2835.352485844539,2433.323909551212,4685.680513951797,1210.1549579349598,1467.8336197145493,5160.323757126664
2021-06-12 01:00:00,471.6764352844954,6098.523207119751,4184.133679083281,1206.2737813437948,2835.352485844539,2455.873608403153,4685.680513951797,1221.3695067907465,1481.436085855369,5160.323757126664
