Date,STORJ,1INCH,LRC,KNC,SKL,TRU,NEAR,STRAX,DOT,DIA
2022-09-27 19:00:00,4570.415097852147,9152.01051085295,8842.951376847768,7367.646685626295,4254.657503468856,5427.221880284805,5365.882318925408,4366.887468605525,2269.346450989907,3464.040224521363
2022-09-27 20:00:00,4570.415097852147,9152.01051085295,8842.951376847768,7367.646685626295,4254.657503468856,5427.221880284805,5365.882318925408,4366.887468605525,2267.252957953938,3464.040224521363
2022-09-27 21:00:00,4570.415097852147,9152.01051085295,8842.951376847768,7367.646685626295,4282.157598135784,5427.221880284805,5365.882318925408,4366.887468605525,2281.9074092057185,3464.040224521363
2022-09-27 22:00:00,4570.415097852147,9152.01051085295,8842.951376847768,7367.646685626295,4270.371843278528,5427.221880284805,5365.882318925408,4366.887468605525,2275.626930097813,3464.040224521363
2022-09-27 23:00:00,4570.415097852147,9152.01051085295,8842.951376847768,7367.646685626295,4293.9433529930375,5427.221880284805,5365.882318925408,4366.887468605525,2288.187888313624,3464.040224521363
2022-09-28 00:00:00,4570.415097852147,9152.01051085295,8842.951376847768,7367.646685626295,4325.372032612382,5427.221880284805,5365.882318925408,4366.887468605525,2304.9358326013726,3464.040224521363
2022-09-28 01:00:00,4445.880626521025,8902.636927450963,8601.999023255188,7166.893369941654,4207.514484039837,5279.341175099932,5219.672991434252,4247.898709242976,2242.131041522316,3464.040224521363
2022-09-28 02:00:00,4458.334073654139,8927.574285791163,8626.094258614445,7186.96870151012,4219.300238897093,5294.129245618421,5234.293924183368,4259.797585179232,2248.411520630222,3454.364134508733
2022-09-28 03:00:00,4470.78752078725,8952.511644131358,8650.1894939737,7207.044033078583,4231.085993754346,5308.917316136907,5248.914856932483,4271.696461115486,2254.691999738128,3444.741950290046
2022-09-28 04:00:00,4479.089818875992,8969.13654969149,8666.252984213204,7220.42758745756,4238.943163659183,5318.776029815899,5258.662145431894,4279.629045072989,2258.8789858100645,3438.3568864340864
2022-09-28 05:00:00,4462.4852226985095,8935.886738571224,8634.126003734194,7193.660478699609,4223.22882384951,5299.058602457915,5239.167568433074,4263.763877157983,2250.5050136661903,3451.1507725231436
2022-09-28 06:00:00,4479.089818875993,8969.13654969149,8666.252984213204,7220.4275874575615,4238.943163659183,5318.776029815899,5258.662145431895,4263.763877157983,2258.8789858100645,3438.356886434086
2022-09-28 07:00:00,4462.4852226985095,8935.886738571224,8634.126003734194,7193.660478699609,4223.22882384951,5299.058602457915,5239.167568433074,4263.763877157983,2250.5050136661903,3451.1507725231436
2022-09-28 08:00:00,4437.578328432284,8886.012021890829,8634.126003734194,7153.509815562679,4199.657314135001,5269.48246142094,5209.925702934843,4263.763877157983,2237.944055450379,3470.5211229769684
