Reference Coin,Trading Coin,Number of Trades,Profit Factor,Total Cummulative Return,Max DrawDown,Sharpe Ratio,Mean Exit Hour,STD Exit Hour
CTK,OXT,1352,0.8557991428744054,-8.172326664813772,-0.9997225017780118,-0.5342360232822863,11.165007112375534,6.945130821631726
CTK,PAXG,1562,0.9763459292928536,-0.1995617461238144,-0.3703587951313355,-0.09962019068335963,11.133906633906633,6.740526053989183
CTK,PSG,1374,0.9649107010776268,-2.0949039934959384,-0.9248000857585565,-0.1214930201718144,10.795549374130736,6.687924693827117
CTK,QTUM,1091,1.0069831510772618,0.3400146668815638,-0.9066346388005322,0.02230213946299165,11.620071684587813,6.93538466831834
CTK,RIF,1389,0.9474607852623711,-2.2730078995740883,-0.9673890065705546,-0.12459629332852944,11.573204419889503,6.802196391454718
CTK,RLC,1263,0.9841905380825443,-0.976641235411815,-0.9576784775116389,-0.060725694964792715,10.787136294027565,6.751438377178844
CTK,ROSE,1181,0.9044074344795623,-6.185736454113482,-0.9988848396506187,-0.35739674648544634,11.205930807248764,6.706882658769631
CTK,RSR,1139,0.9998137664615819,-0.010316231445598678,-0.8484827992090025,-0.0007001093229672146,10.726495726495726,6.577806098978007
CTK,RUNE,1174,1.0441865750842052,2.748977956891736,-0.8792559899590644,0.17829097633651356,11.023294509151414,6.6259180341131945
CTK,RVN,1109,1.0126758442634285,0.6585272117250884,-0.87848259961054,0.04077041742824678,11.01054481546573,6.864372288925142
CTK,SAND,1143,1.006464923893603,0.4091397580436188,-0.9071371338121851,0.022554525871202415,11.609060402684564,7.134472011324944
CTK,SC,1155,0.9839525926989403,-0.7899366928332014,-0.8810920542597319,-0.05607088749785263,10.966442953020135,6.716257568729275
CTK,SKL,1159,0.9573349477492945,-2.563455724003251,-0.977496643651642,-0.15440608900319683,10.826086956521738,6.649884199880693
CTK,SNX,1152,1.0053010825177018,0.2923125965715843,-0.845661711521936,0.020537127679067214,11.168614357262104,6.732088827632773
CTK,SOL,1199,1.0350330946233404,1.9889205117202713,-0.7975474993174619,0.13164358763388978,11.14975845410628,6.630948025414996
CTK,STORJ,1172,1.0004137850885422,0.02341002208046239,-0.8976974382835202,0.0015345821193293399,11.469522240527183,6.944283942519886
CTK,STPT,1346,0.9336025325336011,-4.0783755598805005,-0.9886321977644121,-0.21481170464864763,11.102710413694721,7.126470259353401
CTK,STRAX,1278,0.9626856631169346,-2.056913368086577,-0.9790451757380517,-0.12540647346533468,10.773273273273274,6.873154080473624
CTK,STX,1262,0.9801354628732151,-1.1011810974891856,-0.8219600281644903,-0.07037274125344203,11.167927382753405,6.910725092478333
CTK,SUN,1356,0.9665738850698122,-1.8388474103953323,-0.9025364128578043,-0.1196412396140758,10.942172073342736,6.874852751890723
CTK,SUSHI,1170,0.9938188811396852,-0.36376736635352924,-0.8413018282272643,-0.024678156247303427,11.12807881773399,6.587968730479642
CTK,SXP,1063,1.0332588243762568,1.537005965191008,-0.6653515755314496,0.11351197963413319,10.90791896869245,6.921461882522202
CTK,TFUEL,1277,0.9587425091373671,-2.3757712104829847,-0.9646171807101419,-0.15583739403603783,10.692424242424243,7.176145160495992
CTK,THETA,1127,1.0161614668428773,0.7891894133621487,-0.830588454124856,0.06000708243589006,11.200692041522492,7.003430667515927
CTK,TRB,1201,0.9776215716702099,-1.3824318763422174,-0.9523384338119159,-0.08165285684521333,11.174679487179487,6.972769776507444
CTK,TROY,1322,0.8735097127921343,-8.726914077951747,-0.9998546752799142,-0.4368619136803163,11.049346879535559,6.9089092092998685
CTK,TRU,1346,0.9456683010551173,-3.588548511478519,-0.9772413972681347,-0.19449423184202028,10.893830703012913,6.821633887609676
CTK,TRX,1255,1.0065563102678043,0.2363169578834896,-0.6544086974692216,0.02209801647576251,11.038402457757297,6.905075049840691
CTK,TWT,1274,0.9639892558779364,-2.063135673922181,-0.9488949830354744,-0.1389366821707344,10.841149773071104,6.803777997528671
CTK,UMA,1307,0.9160511489084086,-4.739108783152628,-0.9969116297842199,-0.3009268861868356,11.37444279346211,6.780315567180258
CTK,UNI,1206,0.9782539957682875,-1.0778064974842014,-0.8741738947167343,-0.08782703265834664,10.891760904684975,6.744019042743711
CTK,UTK,1220,0.9374894598058452,-3.810387792331617,-0.9903618726594497,-0.2311249219400834,11.056872037914692,6.826506488188768
CTK,VET,1073,0.9919033872255382,-0.3733714583413186,-0.6119054908428381,-0.02925169083113408,10.613843351548269,6.815629150169686
CTK,VTHO,1278,0.9437955349700601,-3.3498472566864534,-0.9939932246607855,-0.18590765592505087,10.718373493975903,6.923448674147138
CTK,WAN,1233,0.9448724485209223,-2.7382379280523708,-0.9386749957326186,-0.1879012346894317,11.106084243369734,6.649810414526264
CTK,WING,1346,0.9214082524164525,-5.360250286830278,-0.9994130562081062,-0.2554032558967009,10.910662824207494,6.712876762085311
CTK,WIN,1221,0.9971487214136696,-0.1403296161375236,-0.8739764535438616,-0.008679403973732135,11.098569157392687,6.491774402434556
CTK,XLM,1153,0.9539436538902477,-1.8233905424563535,-0.8999685072427085,-0.1690917954175797,10.839797639123104,6.702382187402322
CTK,XRP,1175,0.9910438301580655,-0.37436391637854904,-0.8978825690658598,-0.030474441834873845,10.815485996705107,6.910953475460901
CTK,XTZ,1102,0.9734662604397251,-1.237155337365683,-0.9031976073691476,-0.10004752140013526,10.96283185840708,6.881496861770534
CTK,XVS,1333,0.9809753093761708,-1.2400280603504972,-0.9601838354517042,-0.06706527911445942,10.997105643994212,6.833208999712412
CTK,YFI,1185,0.9985227670717375,-0.0691018877824785,-0.6964186138881311,-0.005681914489627634,11.310231023102311,6.951743531543601
CTK,ZEC,1163,0.9858170535518926,-0.6828774683934729,-0.8856157939256224,-0.055011082518980126,11.01669449081803,6.645066701197532
CTK,ZEN,1137,1.035761684097553,1.886532096692184,-0.6741415939018972,0.13663173238704313,11.135506003430532,6.835360736756781
CTK,ZIL,1067,0.9778512892021839,-1.0575236843769704,-0.8564171916652205,-0.08090951729867678,10.913200723327305,6.823583575843504
CTK,ZRX,1125,1.0124815453086842,0.6297085810926062,-0.9023752736155738,0.04538665871313444,11.269097222222221,6.759121364375512
CTSI,1INCH,1139,0.9395451308304433,-2.9829647827581325,-0.9827149676826902,-0.22320769940998958,11.01522842639594,6.791927279980735
CTSI,AAVE,1123,0.9923560954977311,-0.37601585936889714,-0.809332488685112,-0.029341526787708107,11.531951640759932,6.980714770742328
CTSI,ADA,1080,0.947261353635716,-2.0568757656252448,-0.9338615094807984,-0.17083417062831002,11.459074733096086,6.806146786542772
CTSI,ALGO,1155,0.9128709369948635,-4.292540237795787,-0.9961422489715813,-0.33300107982364113,11.963210702341136,6.829239362999235
CTSI,ANKR,1105,0.9538951353471397,-2.3546166272349245,-0.9749274590475172,-0.1579179424056533,10.8719723183391,7.014533804283321
CTSI,ARDR,1294,0.8742224947817856,-6.5694075626098885,-0.9987022783407494,-0.3946490904268886,11.485163204747774,7.123653297514618
CTSI,ARPA,1110,0.9081507146489394,-4.8955017863258785,-0.9959139548068965,-0.3121400732761448,11.168674698795181,6.632140898361616
CTSI,ASR,1329,0.8635315994718751,-8.69781163900261,-0.9999145845929907,-0.4582024803936626,11.304721030042918,6.795002210731117
CTSI,ATM,1344,0.9041584655513827,-5.731861961974987,-0.9981248412551118,-0.3248401322388984,11.26142857142857,6.677654597060067
CTSI,ATOM,1204,0.9576794540232092,-2.3237564272893705,-0.9276358908221826,-0.16320918340093568,11.290529695024077,6.88425368172483
CTSI,AUDIO,1161,0.9463984174118999,-3.1720212369125083,-0.9876105950781318,-0.1828118214038819,10.904761904761905,6.630084467797173
CTSI,AVA,1327,0.8715701832312145,-7.206018448291825,-0.9995000396603887,-0.43371136436091423,11.515239477503629,6.5172055362831856
CTSI,AVAX,1098,0.9832436810298737,-0.9365904924683515,-0.9570392969369199,-0.05417030840430335,11.558875219683655,6.693790174606311
CTSI,AXS,1142,0.9764330749941728,-1.4594685478930622,-0.9271247047812667,-0.08201147755585374,11.5109243697479,6.990214298964581
CTSI,BAL,1144,0.9951047338986919,-0.21901417105451504,-0.6678945786157517,-0.01858624429793774,11.508474576271187,6.793267618435571
CTSI,BAND,1128,0.9357900640062509,-3.423435209349946,-0.9952459573626048,-0.23384377079381355,10.814432989690722,6.7823247506958255
CTSI,BAT,1048,0.9697703880805747,-1.332106323155692,-0.8774168953703162,-0.10521972317841354,11.645101663585953,6.852663650728506
CTSI,BCH,1148,0.9618094531116735,-1.399155551395726,-0.8634079907660103,-0.140605672401064,11.522689075630252,6.951302919979691
CTSI,BEL,1178,0.9205455194507995,-4.5091105173160315,-0.9931677574170323,-0.2740114029867608,11.536704730831975,6.825847662598431
CTSI,BNB,1134,0.9896836361282391,-0.3670919506327093,-0.9016664529755115,-0.031588374243705246,10.786324786324787,6.565566387096722
CTSI,BNT,1117,0.915155192822824,-2.9078899432357623,-0.9843848358213682,-0.30655666791831915,11.088541666666666,6.580667915750749
CTSI,BTC,1166,0.9658357625873212,-0.8822299264536912,-0.778597791096317,-0.12564658607644127,11.624584717607974,6.678143273470353
CTSI,CELO,1199,0.9346102283636233,-3.66377436708002,-0.9874529151256499,-0.2209603706195313,10.859677419354838,6.991893752622
CTSI,CELR,1088,0.9413264923810422,-3.561939565439817,-0.9913874471678967,-0.2117749963233134,11.297345132743363,6.845566720098832
CTSI,CHR,1067,1.0047398318296892,0.29335563787679186,-0.8867550188657477,0.016337427209954517,11.136936936936937,6.901524028938003
CTSI,CHZ,1093,0.9684963258287771,-1.716850570027092,-0.9766280976463143,-0.10602014111920505,11.547368421052632,6.659325035942167
CTSI,CKB,1200,0.8922452078318144,-5.713222199960501,-0.9976028194147397,-0.39458173886379216,10.8592,6.684704316188697
CTSI,COMP,1172,0.9591932750693262,-1.9568028862570466,-0.9397942600791068,-0.16296733921369191,11.08774834437086,6.817248310251658
CTSI,COS,1323,0.8052665560307914,-11.788805157962791,-0.9999930379073042,-0.6850809422681137,11.491994177583697,6.540934791117935
CTSI,COTI,1128,0.89421244295811,-6.158570538123588,-0.9983267846719406,-0.3782801620450411,10.988054607508532,6.6400644088952845
CTSI,CRV,1182,0.9786435187033483,-1.2849900465767234,-0.9327876331470859,-0.08443854928202821,10.852459016393443,6.568912368638828
CTSI,CTK,1229,0.9207325110958078,-4.0972941474188165,-0.9905907061446694,-0.26869424752075693,10.674528301886792,6.921110847812053
CTSI,CTXC,1285,0.9508981461073303,-3.3730994550862166,-0.994188043416826,-0.1627087390347374,11.139849624060151,6.718746699070347
CTSI,DASH,1089,0.951837377146457,-1.9161624109083322,-0.921605623987713,-0.17260109771696286,11.04642857142857,6.620669220337275
CTSI,DATA,1273,0.9081156853397274,-5.396870942723938,-0.9977555199852186,-0.3148847423676858,11.38368580060423,6.731341534960338
CTSI,DCR,1326,0.9386767009287533,-2.8333587915158045,-0.9905320866528797,-0.21587374426680633,11.464912280701755,6.621115993959871
CTSI,DENT,1063,0.8745652072016035,-7.292080255057408,-0.9997945689063257,-0.38056650118629026,11.059139784946236,6.81020572021872
CTSI,DGB,1086,0.939498618079432,-2.744217924134185,-0.9757424689792368,-0.2025252411639177,11.798214285714286,6.771533361690663
CTSI,DIA,1276,0.8757544494028126,-6.986657068742563,-0.9996159375919036,-0.42950379664216626,11.340393343419063,6.783046099688625
CTSI,DOGE,1080,1.0178131028709825,0.8952372953738212,-0.9500140000117324,0.04695890023188627,10.82394366197183,6.816360954347984
CTSI,DOT,1100,0.9087077778886288,-4.071179358676247,-0.9936707271210787,-0.3299541754713966,11.339191564147628,6.66099853309974
CTSI,DUSK,1265,0.915165440777845,-5.023117064991405,-0.9939661204298114,-0.31820234760993205,11.17199391171994,6.84091491705619
CTSI,EGLD,1168,0.9811884476455838,-0.9248700351139885,-0.914223183992904,-0.06686414044110439,11.770382695507488,6.884803653939599
CTSI,ENJ,1044,0.9686384768895474,-1.6677166317214365,-0.9335849218153457,-0.10427008306169282,11.690166975881262,6.7707079965865615
CTSI,EOS,1105,0.9711943324448445,-1.1395641412221555,-0.7986412099356975,-0.10192233599144812,11.248239436619718,6.57046974977379
CTSI,ETC,1065,1.0211080723702364,0.9262279907623503,-0.760921264767874,0.07117082403493048,11.396021699819169,6.802635791343911
CTSI,ETH,1109,0.9883098069234015,-0.3870887799088445,-0.7559649024082676,-0.04406557376467718,11.279929577464788,6.672813462191548
CTSI,FET,1291,0.868905168720113,-8.922409685310543,-0.9999277429368638,-0.5283431790780236,11.083457526080476,6.800277252747717
CTSI,FIL,1076,0.9921850318629577,-0.32454262869729833,-0.6843952983257361,-0.025895590804086297,11.485663082437275,6.595165154830954
CTSI,FIO,1346,0.8927102171459071,-6.411935860491676,-0.9991169753087861,-0.36083552753008646,11.220314735336194,6.781281282473972
CTSI,FIRO,1264,0.9075606382805407,-4.927101736929205,-0.9942623990050761,-0.27330392822291816,11.103658536585366,6.66962480141287
CTSI,FLM,1087,0.9454279199820512,-2.8865930217520055,-0.9799608840812285,-0.18460061747023254,11.1101243339254,6.71657697136507
CTSI,FUN,1320,0.8897099228558025,-4.530041930146042,-0.9936220188756231,-0.3537253760655203,11.309941520467836,6.718595117133198
CTSI,GRT,1073,0.9232466099679824,-3.928415752636585,-0.9901124830268764,-0.2769992210401607,11.32616487455197,6.735665408629244
CTSI,HARD,1341,0.8971722997747187,-6.074320860824708,-0.9980247307664895,-0.35746532554407545,11.324786324786325,6.626573908587706
